,Średnia kursów,Odchylenie standardowe,Skośność,Kurtoza,Indeks Shannona,Współczynnik Zmienności (CV),Indeks Gini'ego,Wskaźnik HHI
B365H,2.611142694435405,1.7882596647797893,3.861721436341673,21.077013725482974,12.35598121488678,0.6848571196781937,0.28181452644524785,0.00018602528762841922
BWH,2.580725675235926,1.6909982361718068,3.7983596567822056,21.39680890618381,12.371059742035085,0.6552413735401065,0.27431288133411,0.00018546688951144347
WHH,2.5899479336153597,1.7850979377804652,4.117416147307604,24.037647827608115,12.357714208581353,0.6892408587104728,0.2778818553688681,0.00018534674585559725
IWH,2.5290807028961924,1.5381993239172462,3.623871878625153,18.940662378363875,12.395869407746448,0.6082049189477298,0.2582932761525242,0.00018379791359411955
B365D,3.993080052066385,1.2141410794425187,3.8378343415966123,22.234266105425597,12.533078829786685,0.3040612919378391,0.12250418975798892,0.00016797886210109307
BWD,3.9684526521314676,1.1725327264453578,3.513273851275854,17.314628605585426,12.535093274497623,0.29546345370042076,0.1219104757528796,0.0001679855483644598
WHD,3.8444614383338758,1.097646527356321,3.726124790958419,21.419023604863938,12.53842895654827,0.2855137305869356,0.11807418610716768,0.00016791129020782123
IWD,3.8225821672632607,1.0379956655933984,3.375861133687741,15.715698109689306,12.542092660249885,0.2715430617771497,0.1135401981828814,0.00016748352977196285
B365A,4.338596485519036,3.4409693746728394,3.47211018726451,19.090050304634165,12.26961394933969,0.7931065694073617,0.34450868048128136,0.0002049784742491498
BWA,4.169341034819394,3.1417955445261136,3.505233472643079,19.205468095714778,12.297031715604016,0.7535472676108897,0.3299134802034859,0.00020243423493873847
WHA,4.26615196876017,3.51036050814996,3.965312572741934,24.139581569057135,12.262080800136083,0.8228400051979727,0.34306755426891267,0.0002027828163381389
IWA,4.0595802147738365,2.9468878860548102,3.3605539183590594,16.861184631180198,12.315520907410894,0.7259095103799998,0.31746609361651745,0.00019870055974006761
