,Średnia kursów,Odchylenie standardowe,Skośność,Kurtoza,Indeks Shannona,Współczynnik Zmienności (CV),Indeks Gini'ego,Wskaźnik HHI
B365H,2.733939733245513,2.113777854934989,3.275318171856438,16.132997802355316,12.266993067637046,0.7731618328051738,0.3341401324110315,0.00019542163799246947
BWH,2.6890614193973326,2.063183273050103,3.7465247499212313,22.816425095994425,12.278819978239778,0.7672503343238994,0.3250977056820577,0.0001941855107819709
WHH,2.6653894286184756,2.133273155505922,4.2405600820532445,29.107507511151667,12.266869819587306,0.800360777528723,0.3274696636149758,0.00019405907454917625
IWH,2.607747406553598,1.8960398199756392,3.5988599551284586,20.49404333170811,12.303059280498864,0.7270795534915122,0.3119847640007007,0.0001928275535846977
B365D,4.219410505516219,1.3972368753450854,3.031564707098573,12.509605317546573,12.504328310871966,0.33114504348851975,0.14363574838455975,0.00017169546875461436
BWD,4.170808496624404,1.4225070075205883,3.457436494243073,17.312049598106203,12.502189657575592,0.34106265216249515,0.1434051532883485,0.00017155377661833113
WHD,4.119858389593282,1.2591324930192833,3.108326247074431,13.443639297599603,12.513360332667778,0.30562518755495055,0.13181430387273832,0.0001708207980687287
IWD,4.002224600691585,1.315644496901429,3.499839925926921,17.841540682898774,12.50665278194737,0.32872830192340663,0.1379308449959046,0.00017115365155939417
B365A,4.838207640375432,4.134683627161516,2.416749429977198,7.868702342599706,12.170493520287934,0.8545899503479507,0.40042453440083087,0.00022176568718087965
BWA,4.690141610406719,4.211692952929633,3.3958811580694523,19.06260124690677,12.164304557554132,0.8979884410279895,0.3958992806785296,0.0002179875608204436
WHA,4.699193150008234,4.432772781706644,3.714303092812963,23.896895186568493,12.137711741383367,0.9433050824265177,0.4054631728368125,0.00021776929772093922
IWA,4.440846369175038,3.6850396357014494,2.9104575235380734,13.376415366606917,12.205629331379305,0.8298057012915778,0.3782738870281414,0.0002147412331697208
