,Średnia kursów,Odchylenie standardowe,Skośność,Kurtoza,Indeks Shannona,Współczynnik Zmienności (CV),Indeks Gini'ego,Wskaźnik HHI
B365H,2.726053188985644,2.249247028212577,4.190873976165025,29.93889195855855,11.735460398440393,0.8250928622010912,0.3326826369879642,0.0002762806002174891
BWH,2.6901906330901384,2.107266225484197,3.6631253045275414,20.179829499446072,11.755427393397264,0.7833148326234584,0.3249852587482177,0.0002758408459833199
WHH,2.673158390209461,2.0990960642025462,3.8842869384733096,25.544459412708463,11.756490464296157,0.7852494157811827,0.3234590893989143,0.0002757717015183548
IWH,2.6258860908449044,1.993837286180284,3.842568785001465,23.709113348461386,11.773671876281679,0.7593007530417084,0.3138880585025079,0.00027390634913978016
B365D,3.7772770063544368,1.2328034048888572,2.9245083332795914,12.649345825000083,11.990261873150613,0.32637357620712937,0.1416435630480045,0.00024523997549704665
BWD,3.7502518239585783,1.2424826374597284,2.7170145289840373,9.88801605338802,11.987897561301962,0.3313064550817886,0.14588761633744482,0.0002457285750133728
WHD,3.6284655212991295,1.1356275948445778,2.9635539439639778,13.77962126776654,11.99496220275316,0.31297736968380496,0.1363191960891653,0.00024469945678848873
IWD,3.6492468816192045,1.0617366323149215,2.5859739209217776,9.310674041658638,12.001421851347933,0.29094678073515795,0.13098158116639277,0.00024428882741538274
B365A,5.178453753824429,4.231007082510927,2.2632787905991014,6.641088707533582,11.681560458093887,0.81704062325288,0.3875477438147885,0.00032119967020022386
BWA,5.155257707695929,4.275072253550622,2.4288942798193855,7.949394570595132,11.677699910765487,0.8292645093510381,0.38748774836919186,0.0003200366274701623
WHA,5.09002588844434,4.209061331557264,2.3999404382930956,7.617159342359162,11.679125456051466,0.8269233642038852,0.38674839494960245,0.00031851870473700015
IWA,4.866832195810779,3.971630858180798,3.022881816855341,18.34544227371509,11.698651440174269,0.8160607759600705,0.37414406874507444,0.00031281577927736056
