,Średnia kursów,Odchylenie standardowe,Skośność,Kurtoza,Indeks Shannona,Współczynnik Zmienności (CV),Indeks Gini'ego,Wskaźnik HHI
B365H,2.4295128726287265,1.2189581631707394,3.7753780034877904,35.80669723783406,12.38785979977309,0.5017294523950515,0.2301683748466492,0.00018902495828794066
BWH,2.410763888888889,1.2174654671750398,4.542371837769552,55.41842728218771,12.389487568360511,0.5050123211096232,0.22723445132149844,0.0001887604742488607
WHH,2.3846493902439025,1.1211414765345773,3.337616403938103,22.840748930964743,12.402087600105345,0.47014939853271537,0.21860079293860235,0.00018805316600352796
IWH,2.3580030487804877,1.0367224905192463,2.8856126018055837,17.17899816604933,12.413977467575396,0.43966121717078294,0.2101260844699986,0.00018714418831733117
B365D,3.6525846883468835,0.6723464551111373,2.9826869727958383,13.061587490356168,12.50614705438628,0.18407415911701513,0.08088794951188127,0.0001723659597344177
BWD,3.638341802168021,0.6932538438255255,3.202503197811544,15.771081233625498,12.50488039711119,0.19054115350361756,0.0826111422828758,0.00017245569468485002
WHD,3.585833333333334,0.6393466796889371,3.1800598277528773,17.658990972168056,12.507468847537625,0.17829793530716348,0.07898376861361778,0.0001722357268477317
IWD,3.5433180894308944,0.6169980842324272,3.0449546315227045,16.75795429560161,12.508230653101648,0.17413002972350292,0.07882431924410993,0.00017221734710218327
B365A,4.017720697831979,2.4028805086591576,2.15097215415899,6.695791963657516,12.317474804515266,0.5980705702006084,0.291994033862204,0.00020399917996444695
BWA,3.9406978319783192,2.3511797738047777,2.2271623512596648,7.407717696511966,12.320029456277407,0.5966404616779339,0.28902351829814343,0.00020291127441182357
WHA,3.8644935636856372,2.2405411569019615,2.1866763506093276,7.6188051502984635,12.329928040412463,0.5797761388338598,0.2823841008338883,0.00020112375145033348
IWA,3.7728641598915984,2.0851885750386185,2.155583775580631,7.09005745264659,12.346683571043021,0.552680533056491,0.26979479968827713,0.00019892670764095152
