,Średnia kursów,Odchylenie standardowe,Skośność,Kurtoza,Indeks Shannona,Współczynnik Zmienności (CV),Indeks Gini'ego,Wskaźnik HHI
B365H,2.4354258814102567,1.2139807702810634,2.093471942604402,6.2569139849595565,12.136561457823174,0.49846754916560887,0.24542602239933922,0.00022634155227630175
BWH,2.424306891025641,1.1878937776466987,2.180040293959011,7.347158144885492,12.141838036628279,0.48999315311278174,0.24063649954227165,0.00022571753546295954
WHH,2.379016426282051,1.1294690498929463,2.196549786094345,7.523443297512763,12.150163540604726,0.47476303123223534,0.23340852354728384,0.00022471141044902736
IWH,2.3645913461538464,1.0882448604387087,2.0928242053650497,7.095756826076721,12.1566126989971,0.46022534177366675,0.2290075064152293,0.0002241586964136865
B365D,3.773251201923077,0.7105522653777774,2.4498750921798624,7.390904712931086,12.262683271976442,0.1883130031246361,0.08685718362616582,0.00020428088995130952
BWD,3.7618910256410256,0.7136464501087315,2.356113025599155,6.968883056755407,12.262252476316862,0.18970417942585838,0.08899688675868192,0.00020443125230014305
WHD,3.6906931089743593,0.6458730553090976,2.3665196929610657,6.939849127737778,12.265577065998373,0.17500047721079284,0.08155898600317216,0.00020389688373017022
IWD,3.62058092948718,0.6508192130675415,2.4515820565480286,8.650778731545412,12.26455360804081,0.17975546624771171,0.08482285218528376,0.00020411339284903663
B365A,4.14876782852564,2.5689735041386856,1.7612717910262987,3.7164976600299777,12.052818159329682,0.619213609996496,0.3128596598572306,0.00024714808889926185
BWA,4.081149839743589,2.514907293300134,1.8425506383033676,4.250291380216248,12.056993109278046,0.6162251796807687,0.309010141963528,0.00024506820674995237
WHA,3.9955008012820517,2.4544437700529875,1.9069151060867673,4.495995648695034,12.060397647669195,0.6143019091037151,0.3053280061173877,0.00024309467277016633
IWA,3.8896714743589738,2.2742340946770225,1.83325377847676,4.350054466090709,12.078516274966333,0.5846853930129976,0.2937924003657008,0.00024115148999797527
