,Średnia kursów,Odchylenie standardowe,Skośność,Kurtoza,Indeks Shannona,Współczynnik Zmienności (CV),Indeks Gini'ego,Wskaźnik HHI
B365H,2.6821370640713704,2.2622791583124244,4.085414389799782,21.91783295833299,11.95089619016441,0.843461428059303,0.3179314094835578,0.00023383792594441387
B365D,4.04632197891322,1.688864529308717,3.7187725673389407,16.69921195474874,12.17577466031166,0.41738263492375866,0.15610773481931672,0.0002117327738876237
B365A,5.064549878345499,4.908796490871625,3.3417473184141797,13.423544192989901,11.830034437005317,0.9692463513608921,0.3954776467811424,0.0002679391677183065
BWH,2.6299614760746146,2.115716240279804,4.063797592192204,24.694444001680527,11.971689605464293,0.8044666279437848,0.3103435486541314,0.00023317125301297435
BWD,3.974393755068937,1.5895645146308126,3.6645601378755424,17.098656458467946,12.181976144720283,0.3999514423057564,0.15296485268284177,0.00021158321203552499
BWA,4.836974858069748,4.482203035571329,3.5698415354488455,16.843342286236155,11.865982085925465,0.9266541933939274,0.3800104576878597,0.00026555701007843877
LBH,2.5837084347120842,2.054921538390067,4.067669934502108,22.164045236956195,11.980507903488952,0.7953380152273479,0.30294483590325294,0.00023171629569774562
LBD,3.9134975669099745,1.574924653958709,3.9739116724525414,20.01338162180897,12.182785262076788,0.40243404449136794,0.1471162946511534,0.0002109599423393104
LBA,4.781348337388484,4.665511577883506,3.9593287807790003,21.02464500816512,11.844065539031615,0.9757732021741284,0.3842111313853732,0.00026256032251614563
VCH,2.718654095701541,2.4837778276689,4.717958402746936,31.01155282876305,11.919777214807954,0.9136056814274375,0.32696192218296816,0.0002338023682639955
VCD,4.138475871857258,1.9710282521229416,4.097651292988196,21.154011670189366,12.153905401990233,0.4762691177025969,0.1721816132788887,0.00021269339682078892
VCA,5.289377737226278,5.949098587952628,4.088653886386504,20.942566195298102,11.742888502140854,1.124725607340024,0.42042473566566463,0.0002678192592703138
