,Średnia kursów,Odchylenie standardowe,Skośność,Kurtoza,Indeks Shannona,Współczynnik Zmienności (CV),Indeks Gini'ego,Wskaźnik HHI
B365H,2.4734550940218916,1.4089066194582827,4.415077505805369,30.746063246150186,12.637000130980894,0.5696107533399242,0.23428537998048285,0.0001557273451751417
BWH,2.458544765646926,1.3700224430342707,4.635295913297269,37.631020075990094,12.643547408726517,0.5572493379732183,0.2298411711162255,0.00015544926102245484
WHH,2.4474936850968287,1.376769467792407,4.618866738263969,33.57122457992659,12.64246933544386,0.562522173673326,0.22850473446524647,0.0001551970106046841
IWH,2.4078880157170923,1.2394210165095907,4.0777579604426855,25.421976648875592,12.661537364362422,0.5147336622050005,0.2165851855788691,0.00015417634365622076
B365D,3.5442913275329784,0.9627451024860825,4.459452711859171,29.83194547194038,12.757422320380448,0.27163260960159447,0.10647750903654332,0.00014399650638964449
BWD,3.521190008419871,0.9537800263064095,4.476588878694765,29.99473517365378,12.757651085381084,0.2708686620221375,0.1066364864024916,0.00014399186498660247
WHD,3.4605529048554593,0.882676289563492,4.683429630345371,34.8180111271803,12.762126301163708,0.2550679945753812,0.10021104563681862,0.00014366884563569876
IWD,3.4631209654785295,0.8166161526335597,3.959838304640981,24.677236442584796,12.766153567461977,0.23580353120027983,0.0974214771176051,0.00014361842220584698
B365A,4.310357844513051,2.8552798618946795,3.5021308888873297,19.79129715267162,12.569058307604088,0.662422927490663,0.2938236948733353,0.00017080485990632333
BWA,4.2564257648049395,2.8370845231801747,3.7574247442752036,23.5635862670745,12.56955447886085,0.6665415256714081,0.29273967251269134,0.0001699680143973708
WHA,4.214865282065675,2.956305667017274,4.47950494546889,34.45411860158871,12.559030604544411,0.701399800272717,0.29387517159402915,0.0001688267522079722
IWA,3.99526943586865,2.3871342055913467,3.6011434676855525,22.40725516465925,12.60855232910501,0.5974901677869785,0.26664581846966434,0.00016586185240060908
