,Średnia kursów,Odchylenie standardowe,Skośność,Kurtoza,Indeks Shannona,Współczynnik Zmienności (CV),Indeks Gini'ego,Wskaźnik HHI
B365H,2.852335169717434,2.181379397790539,2.8339264262010944,10.215352871673439,12.15786048678248,0.7647696599437985,0.32958964932553103,0.00021042223400169818
BWH,2.7986973520526037,2.061935427210877,2.865891125440099,12.074095488505371,12.17537507253311,0.7367482681536197,0.32180772099192545,0.00020997685102314216
WHH,2.799276701617203,2.109408879579852,3.16467088521701,16.422309778826698,12.169856376120709,0.7535549730975865,0.3215399300206776,0.00020969834839959568
IWH,2.737558201528345,1.9563672958349934,3.2253841770467173,17.66936463037817,12.195571750136844,0.7146395261086239,0.30781480900915204,0.0002081130009859477
B365D,3.839673005153723,1.1992262921237578,2.4887588291802727,7.319462157484958,12.399328037971912,0.3123251095898324,0.13782384927145253,0.00018499027115388684
BWD,3.8149937799893374,1.190491240230681,2.414578145228496,6.8423705907719015,12.39910475812396,0.31205587974353355,0.14034062797269842,0.0001852271123578081
WHD,3.7245015105740173,1.09056032351152,2.4902460305409004,7.685488087707155,12.405934969888849,0.29280705630414516,0.1308807434969198,0.0001844670639935078
IWD,3.7031775368757773,1.1211946668663457,2.913651133674381,12.753008743803372,12.40357882595241,0.30276557245814706,0.13211674735296197,0.00018449201418019274
B365A,4.665384218944375,4.004413507524253,2.397965987574813,6.3014642876708304,12.068048753557555,0.8583244851011054,0.3871665424502855,0.00023346564819484345
BWA,4.579479296250222,3.8642523699866675,2.363020825769037,6.117928220295903,12.078434772822508,0.8438191593421553,0.382463600719694,0.00023232835082761128
WHA,4.5822463124222494,4.047939933045953,2.696562011512647,9.320767821600397,12.058063540845367,0.8833964080176533,0.38808506624541284,0.00023087005452665624
IWA,4.3772916296427935,3.570961202604879,2.5055588328807836,7.495267915768084,12.105626174454812,0.8157923905326558,0.36613356461311186,0.00022775854159390893
