,Średnia kursów,Odchylenie standardowe,Skośność,Kurtoza,Indeks Shannona,Współczynnik Zmienności (CV),Indeks Gini'ego,Wskaźnik HHI
B365H,2.8148056206088996,2.00946715496673,2.9907639875681906,13.387434881607291,12.64026836646992,0.7138919789893134,0.31805049014211745,0.00015390216220739457
BWH,2.7322599531615928,1.8597792897505783,2.8235241893000342,11.697787741928042,12.659171311091127,0.680674358089011,0.3082626296049377,0.00015296124441779407
WHH,2.7614454852979446,1.918487633794501,2.9302642114225685,12.558691857817598,12.652346616126751,0.6947403611654158,0.3108679133940904,0.0001531526379044864
IWH,2.6660200364298725,1.7295899782037611,2.9542754143745245,13.327689792916523,12.681681806557174,0.6487535557009144,0.29312668638101674,0.00015145355224815044
B365D,4.049323445225085,1.2269976983668087,2.9232691766131382,12.013000108877048,12.853471939882674,0.3030130131525231,0.13326270941126864,0.00013509833089459439
BWD,3.944306531355712,1.144241067627215,2.881100839580115,11.622606357793565,12.857590328395085,0.2900994277526204,0.12874258114179218,0.0001348524319169989
WHD,3.834350767629456,1.085688936632406,3.148172494183922,14.669702446018128,12.860387110277918,0.2831480483731594,0.12381091149318617,0.00013455279076826193
IWD,3.860264116575592,1.0729515496155688,3.190371921037464,16.743928727205265,12.861943537174152,0.2779477044092452,0.12217896208048622,0.00013447810853827865
B365A,4.817676684881603,4.07519246793776,2.427518771978609,7.503191017134558,12.522540427728176,0.8458833447097354,0.39116551665791205,0.00017166912282233778
BWA,4.5418110850897735,3.6368698669394597,2.586451900442924,10.200366806944935,12.559881632015658,0.8007532235056786,0.37279147826724596,0.00016921014561249655
WHA,4.639310434556337,3.927271979676903,2.690824435967744,10.215502552868635,12.530411022371865,0.846520627381227,0.38471616083481947,0.00016929103767146086
IWA,4.329733281290658,3.3596740040722177,2.6213531558806875,9.611180426324541,12.583360795870046,0.7759540336098315,0.35759186604620036,0.0001654622255083929
