,Średnia kursów,Odchylenie standardowe,Skośność,Kurtoza,Indeks Shannona,Współczynnik Zmienności (CV),Indeks Gini'ego,Wskaźnik HHI
B365H,2.9911975850713497,2.397002175109661,2.8293963050307918,9.609898161112795,11.827705561031769,0.8013520026469548,0.34261380996885915,0.00026229080165803817
BWH,2.879639956092206,2.200448552692555,2.7910392635664634,9.202406926469992,11.853370121545682,0.7641401655221709,0.3291421391917003,0.00026012935705530996
WHH,2.99002634467618,2.4535342458754403,3.193204983307792,13.173863111785096,11.823243927105722,0.8205727853348256,0.34144277345880825,0.00026203783719031735
IWH,2.8456026344676184,2.1515358423598316,3.057954800360249,11.788287040286212,11.86499602659887,0.7560914571483593,0.3204325490092219,0.00025854157077664013
B365D,3.97990779363337,1.2089697477575883,2.4090912451582325,6.412724587747942,12.097212619831778,0.30376828068518785,0.13382572403095483,0.00022818338533409836
BWD,3.8886893523600436,1.1707464547657453,2.4859681159355542,7.145067466393307,12.098340565119795,0.30106453580696024,0.13194244863918092,0.00022800584686243135
WHD,3.8223315038419323,1.1157979467862957,2.6038087037189,8.216618459157003,12.101729500479395,0.2919155352341303,0.12761435862970105,0.00022751688086853922
IWD,3.7677585071350164,1.1514172448110482,3.3354220710470472,17.617195882335707,12.098883263196862,0.30559741093560155,0.12837336382010534,0.00022740037454907527
B365A,4.409654226125137,3.8375740564772896,2.5072975483279905,7.0712911764096695,11.758727089575089,0.870266433531559,0.38741516382848795,0.0002856068561357734
BWA,4.183833150384193,3.4940654053242493,2.5575500160232294,7.415822887901765,11.788710621951461,0.8351349778380613,0.3719583934962267,0.00028167251480991574
WHA,4.419874862788145,4.182817101978012,3.20017824019058,13.483734076648659,11.723018748645416,0.9463655039634782,0.395896711844015,0.00028379351241515486
IWA,4.141521405049396,3.5162789419372134,2.9886671930761115,11.953298284156974,11.789860022762484,0.8490307300235419,0.3674096475983464,0.00027891824309215563
