,Średnia kursów,Odchylenie standardowe,Skośność,Kurtoza,Indeks Shannona,Współczynnik Zmienności (CV),Indeks Gini'ego,Wskaźnik HHI
B365H,2.5505142857142857,1.5595644148548762,2.7277901556800797,10.201583266866121,9.24707680054451,0.611470566383482,0.2760738130445076,0.001636360961616756
B365D,3.3675571428571427,0.797643603474174,2.2524107522928456,5.246083088258976,9.415846107660515,0.23686119333298908,0.10752831186901644,0.001469329190795816
B365A,4.9437428571428566,3.728562992765498,2.221901956946169,5.524298490841307,9.133872124995301,0.7541984080701866,0.3557464104285194,0.0018558758028923666
BWH,2.5434714285714284,1.5952368675119653,2.7092701338897345,9.70271383795164,9.237755478406815,0.6271888292482017,0.28173990873793753,0.0016412838259270241
BWD,3.333157142857143,0.8330795903619,2.261477600483866,4.932996859699232,9.412141000249676,0.24993708806893936,0.11234826697982546,0.0014719682189639378
BWA,4.781128571428571,3.2749767302180004,1.7085727776356714,2.7170033166112377,9.169485914734638,0.6849798496925712,0.3431401731211101,0.0018591130476718362
LBH,2.4215857142857145,1.45623131004911,3.045315499161816,13.513636360482373,9.257636548672725,0.601354435425652,0.2655394213776262,0.001620331549607612
LBD,3.2717428571428573,0.7129288420856258,2.3287492104504994,5.230128834298313,9.421188860473203,0.21790491282930813,0.09649318780354198,0.0014633008384419893
LBA,4.5215571428571435,2.948854160690286,1.635818821034256,2.4323843759989483,9.192688010060214,0.6521766877034144,0.3290778596681744,0.001822257592463321
VCH,2.4448714285714286,1.4466932187522252,2.6052007111200854,8.364443331862445,9.258211057781201,0.5917256841590021,0.26804433604037403,0.0016249876536359315
VCD,3.292828571428572,0.7290624110346613,2.197485588761122,4.545641690956502,9.420048127215969,0.2214091609143085,0.10023327131440883,0.0014652149501742883
VCA,4.5243,2.8574261537764567,1.513956607178467,1.9804849399411948,9.20372013723591,0.6315730950150203,0.3241870543058415,0.001832132431707751
