Club,2004/5,2005/6,2006/7,2007/8,2008/9,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
Kaiserslautern,,37.38,,,,,,,,,,,,,,,,,,,
FC Koln,,43.63,,,,,,,,,50.75,,,,,,,,115.65,,
Union Berlin,,,,,,,,,,,,,,,,,,,157.95,,
Mainz,,37.75,,,,,,,,59.45,88.0,,,,,,,,135.8,,
Ajaccio,24.55,,,,,,,,,,,,,,,,,,,,
Cesena,,,,,,,,,,,34.15,,,,,,,,,,
Milan,,,,279.4,,,,,,,236.13,213.83,,,,,,,,,
Siena,,,,42.8,,,,,,,,,,,,,,,,,
Fiorentina,,,,171.35,,,,,,,216.13,190.53,,,,,,,,,
Den Haag,,,,,17.88,,,,,,,,,23.63,21.1,,,,,,
Kifisia,,,,,,,,,,,,,,,,,,,,10.0,
AEK,,,,,,,,,,,,,,,,,,,,70.6,
Auxerre,47.85,,,,,,,,,,,,,,,,,,,,
Livorno,,,,48.35,,,,,,,,,,,,,,,,,
Monaco,103.8,,,,,,,,,,,,,,,,370.35,,,,
Roma,,,,244.4,,,,,,,276.78,332.9,,,,,,,,,
St Etienne,37.5,,,,,,,,,,,,,,,,154.5,,,,
AVS,,,,,,,,,,,,,,12.15,,,,,,,
AZ Alkmaar,,,,,82.53,,,,,,,,,70.68,67.5,,,,,,
Aberdeen,,,7.58,,,,14.8,,,,,,,,,,,,,,
Academica,13.73,,,,,,22.3,,,,,,,,,,,,,,
Ad. Demirspor,,,,,,,,,,,,,,,,,,46.0,,,
Ajax,,,,,114.7,,,,,,,,,251.0,503.15,,,,,,
A. Sebatspor,26.73,,,,,,,,,,,,,,,,,,,,
Alanyaspor,,,,,,,,,,,,,,,,,,52.28,,,
Altay,,,,,,,,,,,,,,,,,,14.25,,,
Angers,,,,,,,,,,,,,,,,,111.65,,,,
Ankaraspor,32.75,,,,,,,,,,,,,,,,,,,,
Antalyaspor,,,,,,,,,,,,,,,,,,37.65,,,
Aris,,,,,,,,,,,,,,,,,,,,32.15,
Bielefeld,,32.85,,,,,,,,,,,,,,,,,,,
Asteras Tripolis,,,,,,,,,,,,,,,,,,,,13.33,
Atalanta,,,,54.8,,,,,,,83.48,78.45,,,,,,,,,
Ath Bilbao,,,,,,,,,,,,148.0,,,,,,,,,
Ath Madrid,,,,,,,,,,,,418.5,,,,,,,,,
Atromitos,,,,,,,,,,,,,,,,,,,,14.83,
Leverkusen,,81.23,,,,,,,,175.88,177.1,,,,,,,,452.5,,
Bayern Munich,,177.88,,,,,,,,556.88,575.13,,,,,,,,948.95,,
Belenenses,24.35,,,,,,,,,,,,,19.88,,,,,,,
Besiktas,76.25,,,,,,,,,,,,,,,,,101.53,,,
Boavista,29.1,,,,,,,,,,,,,16.43,,,,,,,
Bologna,,,,,,,,,,,,75.23,,,,,,,,,
Dortmund,,78.53,,,,,,,,326.05,319.5,,,,,,,,567.55,,
M'gladbach,,49.9,,,,,,,,111.38,130.63,,,,,,,,241.68,,
Buyuksehyr,,,,,,,,,,,,,,,,,,62.88,,,
Feirense,,,,,,,,,,,,,,12.85,,,,,,,
Nacional,10.25,,,,,,26.5,,,,,,,,,,,,,,
Tondela,,,,,,,,,,,,,,17.48,,,,,,,
Maritimo,21.2,,,,,,30.5,,,,,,,28.55,,,,,,,
Cagliari,,,,41.2,,,,,,,74.2,,,,,,,,,,
Catania,,,,58.4,,,,,,,,,,,,,,,,,
Carpi,,,,,,,,,,,,52.05,,,,,,,,,
Rizespor,22.85,,,,,,,,,,,,,,,,,24.0,,,
Celta,,,,,,,,,,,,91.1,,,,,,,,,
Celtic,,,92.7,,,,61.3,,,,,,,,,,,,,,
Cercle Brugge,,,,,,16.63,,,,,,,,,23.85,,,,,,
Chievo,,,,,,,,,,,61.85,49.78,,,,,,,,,
Club Brugge,,,,,,53.65,,,,,,,,,129.65,,,,,,
Graafschap,,,,,15.93,,,,,,,,,,12.03,,,,,,
Denizlispor,27.24,,,,,,,,,,,,,,,,,,,,
La Coruna,,,,,,,,,,,,61.75,,,,,,,,,
Dijon,,,,,,,,,,,,,,,,,65.63,,,,
Diyarbakirspor,22.93,,,,,,,,,,,,,,,,,,,,
Dundee United,,,8.35,,,,18.0,,,,,,,,,,,,,,
Dunfermline,,,8.88,,,,,,,,,,,,,,,,,,
Braunschweig,,,,,,,,,,28.58,,,,,,,,,,,
Ein Frankfurt,,39.95,,,,,,,,86.2,74.9,,,,,,,,324.55,,
Estoril,6.63,,,,,,,,,,,,,26.2,,,,,,,
Excelsior,,,,,,,,,,,,,,14.8,14.0,,,,,,
Augsburg,,,,,,,,,,45.95,50.08,,,,,,,,132.23,,
Barcelona,,,,,,,,,,,,726.0,,,,,,,,,
FC Emmen,,,,,,,,,,,,,,,13.63,,,,,,
Empoli,,,,49.5,,,,,,,54.03,74.6,,,,,,,,,
Bordeaux,52.6,,,,,,,,,,,,,,,,105.7,,,,
Groningen,,,,,41.23,,,,,,,,,30.3,41.0,,,,,,
Istres,18.5,,,,,,,,,,,,,,,,,,,,
Lorient,,,,,,,,,,,,,,,,,72.88,,,,
Metz,35.7,,,,,,,,,,,,,,,,103.5,,,,
Nantes,47.35,,,,,,,,,,,,,,,,94.75,,,,
Pacos Ferreira,,,,,,,24.4,,,,,,,15.73,,,,,,,
Penafiel,5.73,,,,,,,,,,,,,,,,,,,,
Porto,158.15,,,,,,220.9,,,,,,,276.5,,,,,,,
Schalke 04,,87.18,,,,,,,,203.25,212.0,,,,,,,,87.78,,
Sochaux,49.65,,,,,,,,,,,,,,,,,,,,
Toulouse,37.1,,,,,,,,,,,,,,,,,,,,
Utrecht,,,,,27.88,,,,,,,,,46.63,45.33,,,,,,
Volendam,,,,,8.33,,,,,,,,,,,,,,,,
Falkirk,,,12.5,,,,,,,,,,,,,,,,,,
Karagumruk,,,,,,,,,,,,,,,,,,36.15,,,
Fenerbahce,90.6,,,,,,,,,,,,,,,,,152.13,,,
Feyenoord,,,,,74.73,,,,,,,,,104.2,106.55,,,,,,
For Sittard,,,,,,,,,,,,,,,21.3,,,,,,
Frosinone,,,,,,,,,,,,38.3,,,,,,,,,
Chaves,,,,,,,,,,,,,,23.75,,,,,,,
Galatasaray,79.65,,,,,,,,,,,,,,,,,130.63,,,
Gaziantep,,,,,,,,,,,,,,,,,,30.28,,,
Gaziantepspor,38.6,,,,,,,,,,,,,,,,,,,,
Genclerbirligi,46.95,,,,,,,,,,,,,,,,,,,,
Genoa,,,,63.25,,,,,,,117.33,117.55,,,,,,,,,
Germinal,,,,,,25.4,,,,,,,,,,,,,,,
Getafe,,,,,,,,,,,,49.1,,,,,,,,,
Gil Vicente,8.2,,,,,,,,,,,,,,,,,,,,
Giresunspor,,,,,,,,,,,,,,,,,,31.7,,,
Granada,,,,,,,,,,,,71.5,,,,,,,,,
Goztep,,,,,,,,,,,,,,,,,,24.68,,,
Hamburg,,106.9,,,,,,,,102.78,87.15,,,,,,,,,,
Hamilton,,,,,,,9.25,,,,,,,,,,,,,,
Hannover,,45.35,,,,,,,,80.23,76.65,,,,,,,,,,
Hatayspor,,,,,,,,,,,,,,,,,,36.18,,,
FC Brussels,,,29.03,,,,26.63,,,,,,,,,,,,,,
Hellas Verona,,,,,,,,,,,41.8,47.73,,,,,,,,,
Heracles,,,,,15.9,,,,,,,,,22.25,27.2,,,,,,
Hertha,,72.7,,,,,,,,68.08,66.0,,,,,,,,94.0,,
Hibernian,,,17.98,,,,25.0,,,,,,,,,,,,,,
Inter,,,,310.0,,,,,,,260.7,294.28,,,,,,,,,
Inverness C,,,7.53,,,,8.33,,,,,,,,,,,,,,
Istanbulspor,27.55,,,,,,,,,,,,,,,,,,,,
Juventus,,,,236.85,,,,,,,329.0,440.0,,,,,,,,,
Gent,,,,,,29.75,,,,,,,,,109.4,,,,,,
Eupen,,,,,,,,,,,,,,,24.2,,,,,,
Genk,,,,,,31.7,,,,,,,,,145.4,,,,,,
Lokeren,,,,,,19.0,,,,,,,,,18.7,,,,,,
Roeselare,,,,,,12.43,,,,,,,,,,,,,,,
Kortrijk,,,,,,15.25,,,,,,,,,28.0,,,,,,
Mechelen,,,,,,17.65,,,,,,,,,,,,,,,
Oostende,,,,,,,,,,,,,,,25.58,,,,,,
Westerlo,,,,,,16.6,,,,,,,,,,,,,,,
Beveren,,,,,,,,,,,,,,,20.9,,,,,,
Kasimpasa,,,,,,,,,,,,,,,,,,43.15,,,
Kayserispor,30.03,,,,,,,,,,,,,,,,,40.9,,,
Kilmarnock,,,9.4,,,,10.38,,,,,,,,,,,,,,
Konyaspor,37.25,,,,,,,,,,,,,,,,,46.9,,,
Lille,56.25,,,,,,,,,,,,,,,,323.2,,,,
Lens,52.5,,,,,,,,,,,,,,,,104.3,,,,
Levante,,,,,,,,,,,,53.1,,,,,,,,,
Ankaragucu,32.76,,,,,,,,,,,,,,,,,,,,
Duisburg,,24.18,,,,,,,,,,,,,,,,,,,
Malatyaspor,33.95,,,,,,,,,,,,,,,,,,,,
Montpellier,,,,,,,,,,,,,,,,,113.85,,,,
Moreirense,6.15,,,,,,,,,,,,,17.8,,,,,,,
Motherwell,,,11.85,,,,10.9,,,,,,,,,,,,,,
Mouscron,,,,,,10.35,,,,,,,,,26.95,,,,,,
Malaga,,,,,,,,,,,,77.95,,,,,,,,,
NAC Breda,,,,,25.38,,,,,,,,,17.15,17.25,,,,,,
Nijmegen,,,,,25.35,,,,,,,,,,,,,,,,
Naval,,,,,,,15.5,,,,,,,,,,,,,,
Nurnberg,,52.13,,,,,,,,56.45,,,,,,,,,,,
Nimes,,,,,,,,,,,,,,,,,60.4,,,,
OFI Crete,,,,,,,,,,,,,,,,,,,,16.65,
Nice,34.45,,,,,,,,,,,,,,,,236.1,,,,
Olympiakos,,,,,,,,,,,,,,,,,,,,133.7,
Lyon,133.9,,,,,,,,,,,,,,,,431.35,,,,
Marseille,78.6,,,,,,,,,,,,,,,,247.95,,,,
PAOK,,,,,,,,,,,,,,,,,,,,91.8,
Giannina,,,,,,,,,,,,,,,,,,,,9.53,
Lamia,,,,,,,,,,,,,,,,,,,,9.03,
Zwolle,,,,,,,,,,,,,,26.33,24.6,,,,,,
PSV Eindhoven,,,,,80.15,,,,,,,,,174.45,237.85,,,,,,
Panathinaikos,,,,,,,,,,,,,,,,,,,,73.18,
Panetolikos,,,,,,,,,,,,,,,,,,,,13.63,
Panserraikos,,,,,,,,,,,,,,,,,,,,12.15,
Paris SG,81.75,,,,,,,,,,,,,,,,805.0,,,,
Parma,,,,52.5,,,,,,,65.95,,,,,,,,,,
Portimonense,,,,,,,14.3,,,,,,,35.78,,,,,,,
Charleroi,,,,,,16.63,,,,,,,,,49.68,,,,,,
RB Leipzig,,,,,,,,,,,,,,,,,,,486.4,,
Strasbourg,35.1,,,,,,,,,,,,,,,,109.65,,,,
Espanol,,,,,,,,,,,,62.2,,,,,,,,,
Anderlecht,,,,,,83.25,,,,,,,,,131.05,,,,,,
Rangers,,,67.35,,,,72.43,,,,,,,,,,,,,,
Vallecano,,,,,,,,,,,,49.6,,,,,,,,,
Betis,,,,,,,,,,,,56.4,,,,,,,,,
Real Madrid,,,,,,,,,,,,714.3,,,,,,,,,
Sociedad,,,,,,,,,,,,119.4,,,,,,,,,
Reggina,,,,44.23,,,,,,,,,,,,,,,,,
Rio Ave,11.1,,,,,,20.4,,,,,,,32.95,,,,,,,
Roda,,,,,25.25,,,,,,,,,13.28,,,,,,,
Antwerp,,,,,,,,,,,,,,,34.05,,,,,,
Bastia,31.85,,,,,,,,,,,,,,,,,,,,
Beira Mar,8.1,,,,,,14.95,,,,,,,,,,,,,,
Sp Braga,33.05,,,,,,75.65,,,,,,,94.8,,,,,,,
Freiburg,,,,,,,,,,71.68,57.4,,,,,,,,200.95,,
Heerenveen,,,,,50.4,,,,,,,,,39.13,48.63,,,,,,
Olhanense,,,,,,,20.2,,,,,,,,,,,,,,
Paderborn,,,,,,,,,,,28.5,,,,,,,,,,
Eibar,,,,,,,,,,,,56.6,,,,,,,,,
Benfica,120.05,,,,,,168.1,,,,,,,229.08,,,,,,,
Caen,22.7,,,,,,,,,,,,,,,,,,,,
Lazio,,,,110.8,,,,,,,167.55,175.3,,,,,,,,,
Napoli,,,,76.95,,,,,,,262.18,321.93,,,,,,,,,
Werder Bremen,,111.6,,,,,,,,66.4,67.53,,,,,,,,89.5,,
Sakaryaspor,14.85,,,,,,,,,,,,,,,,,,,,
Samsunspor,34.65,,,,,,,,,,,,,,,,,,,,
Sevilla,,,,,,,,,,,,230.3,,,,,,,,,
St Truiden,,,,,,13.15,,,,,,,,,41.15,,,,,,
Sivasspor,,,,,,,,,,,,,,,,,,30.58,,,
Sp Lisbon,89.4,,,,,,126.7,,,,,,,259.08,,,,,,,
Sparta Rotterdam,,,,,15.65,,,,,,,,,15.45,,,,,,,
Sp Gijon,,,,,,,,,,,,53.2,,,,,,,,,
St Johnstone,,,,,,,10.88,,,,,,,,,,,,,,
St Mirren,,,6.83,,,,7.7,,,,,,,,,,,,,,
Brest,,,,,,,,,,,,,,,,,103.23,,,,
Reims,,,,,,,,,,,,,,,,,105.18,,,,
Stade Rennais FC,61.3,,,,,,,,,,,,,,,,297.5,,,,
Standard,,,,,,82.4,,,,,,,,,99.25,,,,,,
Hoffenheim,,,,,,,,,,97.4,121.78,,,,,,,,178.8,,
Torino,,,,60.05,,,,,,,82.58,89.83,,,,,,,,,
Trabzonspor,63.6,,,,,,,,,,,,,,,,,123.88,,,
Twente,,,,,57.25,,,,,,,,,22.15,,,,,,,
Sampdoria,,,,75.7,,,,,,,132.23,126.53,,,,,,,,,
Las Palmas,,,,,,,,,,,,32.2,,,,,,,,,
Palermo,,,,104.8,,,,,,,92.6,68.68,,,,,,,,,
Sassuolo,,,,,,,,,,,91.03,97.0,,,,,,,,,
Udinese,,,,115.05,,,,,,,107.18,93.0,,,,,,,,,
Leiria,17.83,,,,,,16.65,,,,,,,,,,,,,,
VVV Venlo,,,,,,,,,,,,,,13.58,16.38,,,,,,
Valencia,,,,,,,,,,,,254.0,,,,,,,,,
Stuttgart,,69.8,,,,,,,,108.3,86.95,,,,,,,,151.05,,
Bochum,,,,,,,,,,,,,,,,,,,53.7,,
Wolfsburg,,61.38,,,,,,,,155.23,221.05,,,,,,,,238.3,,
Villarreal,,,,,,,,,,,,140.6,,,,,,,,,
Vitesse,,,,,27.95,,,,,,,,,39.78,49.18,,,,,,
Guimaraes,20.4,,,,,,36.5,,,,,,,50.33,,,,,,,
Setubal,9.58,,,,,,18.55,,,,,,,23.95,,,,,,,
Volos NFC,,,,,,,,,,,,,,,,,,,,13.9,
Willem II,,,,,18.73,,,,,,,,,18.65,36.0,,,,,,
Yeni Malatyaspor,,,,,,,,,,,,,,,,,,20.38,,,
Waregem,,,,,,18.7,,,,,,,,,29.85,,,,,,
