Club,2024/25,2023/24,2022/23,2021/22,2020/21,2019/20,2018/19,2017/18,2016/17,2015/16,2014/15,2013/14,2012/13,2011/12,2010/11,2009/10,2008/9,2007/8,2006/7,2005/6,2004/5
Chelsea FC,€963.20m,€1.01bn,€994.95m,€914.50m,€889.20m,€705.85m,€1.17bn,€884.25m,€686.70m,€553.50m,€557.25m,€584.20m,€454.25m,€375.50m,€424.10m,€451.95m,€448.55m,€434.35m,€416.76m,€363.43m,€331.48m
Manchester City,€1.26bn,€1.46bn,€1.15bn,€1.00bn,€1.04bn,€1.05bn,€1.20bn,€1.01bn,€576.50m,€499.35m,€448.25m,€455.80m,€502.10m,€498.60m,€404.18m,€312.50m,€258.35m,€150.10m,€89.25m,€91.90m,€94.30m
Arsenal FC,€1.17bn,€1.20bn,€1.00bn,€613.05m,€619.25m,€607.65m,€659.05m,€694.00m,€542.00m,€457.85m,€414.75m,€385.75m,€296.90m,€362.43m,€324.00m,€314.30m,€311.45m,€262.40m,€278.18m,€232.33m,€247.00m
Manchester United,€854.15m,€808.75m,€848.00m,€769.15m,€770.05m,€670.45m,€797.60m,€849.50m,€531.45m,€439.85m,€505.40m,€402.55m,€457.50m,€404.10m,€388.00m,€384.88m,€425.95m,€354.55m,€259.15m,€254.58m,€293.23m
Liverpool FC,€931.00m,€955.85m,€811.85m,€918.90m,€969.65m,€1.00bn,€1.17bn,€857.50m,€425.65m,€375.25m,€324.85m,€315.75m,€276.10m,€236.90m,€339.20m,€331.55m,€342.85m,€305.65m,€239.77m,€216.35m,€222.13m
Tottenham Hotspur,€788.30m,€838.50m,€649.10m,€689.35m,€703.50m,€806.80m,€898.60m,€829.60m,€543.65m,€371.85m,€304.15m,€288.95m,€296.80m,€323.50m,€307.08m,€263.53m,€278.80m,€220.50m,€165.73m,€154.33m,€127.20m
Everton FC,€353.10m,€391.75m,€413.15m,€479.05m,€511.20m,€420.55m,€529.10m,€381.25m,€311.25m,€249.85m,€182.85m,€210.00m,€139.75m,€169.95m,€184.48m,€218.93m,€190.33m,€155.30m,€109.45m,€92.92m,€74.28m
Southampton FC,€283.20m,,€419.95m,€274.30m,€282.80m,€210.75m,€305.40m,€297.00m,€263.75m,€225.50m,€210.25m,€131.50m,€83.05m,,,,,,,,€85.48m
West Ham United,€481.50m,€487.50m,€465.75m,€354.90m,€334.90m,€303.60m,€359.00m,€260.60m,€273.05m,€201.33m,€135.90m,€109.50m,€103.00m,,€138.75m,€121.75m,€133.90m,€120.00m,€105.45m,€62.55m,
Newcastle United,€657.65m,€652.65m,€541.60m,€313.90m,€255.35m,€252.48m,€244.65m,€208.28m,,€198.00m,€140.00m,€172.30m,€200.25m,€161.70m,€119.48m,,€134.55m,€135.20m,€146.55m,€150.48m,€125.90m
Leicester City,€275.60m,,€490.80m,€526.55m,€510.60m,€411.10m,€434.10m,€304.25m,€218.65m,€161.10m,€66.70m,,,,,,,,,,
Stoke City,,,,,,,,€192.45m,€186.00m,€147.00m,€110.50m,€104.70m,€104.05m,€81.65m,€94.45m,€80.70m,€63.45m,,,,
Swansea City,,,,,,,,€165.49m,€157.10m,€145.80m,€130.75m,€128.93m,€102.25m,€75.60m,,,,,,,
Watford FC,,,,€156.20m,,€199.60m,€239.10m,€196.00m,€175.65m,€137.00m,,,,,,,,,€32.97m,,
Crystal Palace,€438.00m,€446.78m,€323.05m,€271.05m,€193.85m,€189.33m,€289.00m,€220.73m,€228.43m,€135.70m,€97.25m,€68.70m,,,,,,,,,€38.53m
Aston Villa,€615.45m,€709.90m,€509.55m,€487.75m,€430.70m,€231.70m,,,,€117.95m,€114.25m,€109.50m,€110.50m,€123.50m,€202.80m,€167.38m,€157.35m,€112.10m,€109.50m,€89.00m,€84.18m
Norwich City,,,,€163.20m,,€145.33m,,,,€116.90m,,€89.30m,€73.25m,€58.75m,,,,,,,€30.95m
West Bromwich Albion,,,,,€141.15m,,,€165.95m,€123.20m,€113.10m,€95.95m,€90.80m,€93.50m,€69.55m,€86.88m,,€66.10m,,,€65.55m,€50.40m
Sunderland AFC,,,,,,,,,€132.00m,€111.25m,€91.00m,€122.00m,€133.90m,€126.50m,€149.33m,€131.58m,€110.30m,€83.60m,,€34.35m,
AFC Bournemouth,€354.85m,€401.90m,€287.20m,,,€272.18m,€310.00m,€144.50m,€131.60m,€99.90m,,,,,,,,,,,
