Club,2024/25,2023/24,2022/23,2021/22,2020/21
Burnley FC,€187.50m,N/A,€193.35m,N/A,N/A
Leeds United,€173.58m,€244.50m,N/A,N/A,N/A
Luton Town,€101.15m,N/A,€46.83m,€30.25m,€24.95m
Sunderland AFC,€100.33m,€96.45m,€84.45m,N/A,N/A
Sheffield United,€89.10m,N/A,€118.55m,€136.40m,N/A
Middlesbrough FC,€80.78m,€107.58m,€94.48m,€74.15m,€59.05m
Norwich City,€80.23m,€94.13m,€126.55m,N/A,€182.40m
Coventry City,€77.15m,€87.33m,€66.65m,€30.78m,€21.85m
Hull City,€76.33m,€126.83m,€65.95m,€40.35m,N/A
West Bromwich Albion,€57.35m,€64.85m,€69.35m,€87.40m,N/A
Blackburn Rovers,€50.15m,€91.70m,€83.95m,€63.10m,€79.75m
Bristol City,€49.25m,€46.90m,€65.58m,€36.20m,€57.55m
Watford FC,€48.20m,€72.60m,€155.40m,N/A,€113.30m
Cardiff City,€47.55m,€58.75m,€50.20m,€45.80m,€74.25m
Stoke City,€45.50m,€74.10m,€77.35m,€75.40m,€75.70m
Swansea City,€43.90m,€78.83m,€65.43m,€63.75m,€94.95m
Preston North End,€43.65m,€42.13m,€56.90m,€47.10m,€47.90m
Queens Park Rangers,€40.40m,€34.95m,€57.43m,€42.25m,€36.95m
Plymouth Argyle,€38.18m,€53.15m,N/A,N/A,N/A
Millwall FC,€35.70m,€41.35m,€43.30m,€42.75m,€39.18m
Sheffield Wednesday,€34.15m,€26.43m,N/A,N/A,€31.10m
Derby County,€23.15m,N/A,N/A,€40.55m,€59.95m
Oxford United,€20.45m,N/A,N/A,N/A,N/A
Portsmouth FC,€18.13m,N/A,N/A,N/A,N/A
Southampton FC,N/A,€332.48m,N/A,N/A,N/A
Leicester City,N/A,€242.85m,N/A,N/A,N/A
Ipswich Town,N/A,€69.88m,N/A,N/A,N/A
Birmingham City,N/A,€50.05m,€59.15m,€47.13m,€46.30m
Huddersfield Town,N/A,€34.58m,€38.08m,€41.78m,€46.60m
Rotherham United,N/A,€20.83m,€32.40m,N/A,€16.05m
Blackpool FC,N/A,N/A,€43.33m,€17.78m,N/A
Reading FC,N/A,N/A,€39.45m,€45.70m,€68.90m
Wigan Athletic,N/A,N/A,€20.58m,N/A,N/A
Fulham FC,N/A,N/A,N/A,€188.90m,N/A
AFC Bournemouth,N/A,N/A,N/A,€180.40m,€139.55m
Nottingham Forest,N/A,N/A,N/A,€82.95m,€55.45m
Barnsley FC,N/A,N/A,N/A,€29.98m,€48.18m
Peterborough United,N/A,N/A,N/A,€16.85m,N/A
Brentford FC,N/A,N/A,N/A,N/A,€168.90m
Wycombe Wanderers,N/A,N/A,N/A,N/A,€9.45m
UD Almería,€56.50m,N/A,N/A,€63.75m,€70.60m
Granada CF,€42.00m,N/A,€55.40m,N/A,N/A
Real Zaragoza,€36.30m,€35.50m,€31.28m,€27.70m,€23.15m
Real Oviedo,€34.50m,€36.25m,€31.60m,€22.60m,€13.55m
Elche CF,€33.90m,€48.70m,N/A,N/A,N/A
Cádiz CF,€33.70m,N/A,N/A,N/A,N/A
Racing Santander,€30.50m,€26.55m,€15.55m,N/A,N/A
Sporting Gijón,€27.10m,€31.50m,€30.05m,€30.25m,€23.90m
Levante UD,€23.30m,€32.15m,€44.78m,N/A,N/A
Burgos CF,€21.60m,€20.53m,€17.10m,€9.25m,N/A
SD Eibar,€20.50m,€31.68m,€26.40m,€29.25m,N/A
Deportivo de La Coruña,€20.00m,N/A,N/A,N/A,N/A
CD Tenerife,€14.20m,€19.18m,€18.15m,€20.90m,€13.70m
SD Huesca,€13.90m,€19.95m,€22.98m,€29.90m,N/A
Albacete Balompié,€13.40m,€20.65m,€18.03m,N/A,€10.15m
Málaga CF,€12.60m,N/A,€19.25m,€24.50m,€20.28m
CD Castellón,€12.30m,N/A,N/A,N/A,€10.00m
Racing Ferrol,€12.10m,€18.60m,N/A,N/A,N/A
CD Eldense,€11.70m,€13.10m,N/A,N/A,N/A
FC Cartagena,€10.80m,€15.50m,€19.25m,€14.10m,€13.10m
CD Mirandés,€8.90m,€20.75m,€24.80m,€22.05m,€16.60m
Córdoba CF,€8.00m,N/A,N/A,N/A,N/A
RCD Espanyol Barcelona,N/A,€57.43m,N/A,N/A,€80.00m
Real Valladolid CF,N/A,€50.90m,N/A,€66.65m,N/A
Villarreal CF B,N/A,€35.90m,€25.50m,N/A,N/A
CD Leganés,N/A,€28.90m,€32.00m,€42.55m,€34.48m
FC Andorra,N/A,€20.45m,€19.00m,N/A,N/A
SD Amorebieta,N/A,€12.75m,N/A,€10.00m,N/A
AD Alcorcón,N/A,€11.33m,N/A,€9.38m,€8.40m
Deportivo Alavés,N/A,N/A,€36.08m,N/A,N/A
UD Las Palmas,N/A,N/A,€30.23m,€25.55m,€20.35m
UD Ibiza,N/A,N/A,€16.48m,€12.30m,N/A
SD Ponferradina,N/A,N/A,€15.25m,€15.55m,€11.50m
CD Lugo,N/A,N/A,€11.65m,€8.98m,€8.83m
Girona FC,N/A,N/A,N/A,€38.05m,€36.33m
Real Sociedad B,N/A,N/A,N/A,€32.55m,N/A
CF Fuenlabrada,N/A,N/A,N/A,€14.98m,€14.80m
RCD Mallorca,N/A,N/A,N/A,N/A,€50.95m
