Column Name,Count,Percentage
Div,120,96.0
Date,125,100.0
HomeTeam,125,100.0
AwayTeam,125,100.0
FTHG,125,100.0
FTAG,125,100.0
FTR,125,100.0
HTHG,125,100.0
HTAG,125,100.0
HTR,125,100.0
Attendance,4,3.2
Referee,29,23.200000000000003
HS,109,87.2
AS,109,87.2
HST,106,84.8
AST,106,84.8
HHW,4,3.2
AHW,4,3.2
HC,108,86.4
AC,108,86.4
HF,107,85.6
AF,107,85.6
HO,4,3.2
AO,4,3.2
HY,109,87.2
AY,109,87.2
HR,109,87.2
AR,109,87.2
HBP,4,3.2
ABP,4,3.2
GBH,65,52.0
GBD,65,52.0
GBA,65,52.0
IWH,120,96.0
IWD,120,96.0
IWA,120,96.0
LBH,90,72.0
LBD,90,72.0
LBA,90,72.0
SBH,60,48.0
SBD,60,48.0
SBA,60,48.0
WHH,125,100.0
WHD,125,100.0
WHA,125,100.0
SYH,5,4.0
SYD,5,4.0
SYA,5,4.0
B365H,115,92.0
B365D,115,92.0
B365A,115,92.0
SOH,9,7.199999999999999
SOD,9,7.199999999999999
SOA,9,7.199999999999999
GB>2.5,15,12.0
GB<2.5,15,12.0
B365>2.5,42,33.6
B365<2.5,42,33.6
Unnamed: 48,5,4.0
Unnamed: 49,3,2.4
Unnamed: 50,3,2.4
Unnamed: 51,1,0.8
Unnamed: 52,1,0.8
GBAHH,10,8.0
GBAHA,10,8.0
GBAH,10,8.0
LBAHH,9,7.199999999999999
LBAHA,9,7.199999999999999
LBAH,9,7.199999999999999
B365AHH,40,32.0
B365AHA,40,32.0
B365AH,10,8.0
BWH,105,84.0
BWD,105,84.0
BWA,105,84.0
SJH,50,40.0
SJD,50,40.0
SJA,50,40.0
VCH,95,76.0
VCD,95,76.0
VCA,95,76.0
Bb1X2,70,56.00000000000001
BbMxH,70,56.00000000000001
BbAvH,70,56.00000000000001
BbMxD,70,56.00000000000001
BbAvD,70,56.00000000000001
BbMxA,70,56.00000000000001
BbAvA,70,56.00000000000001
BbOU,70,56.00000000000001
BbMx>2.5,70,56.00000000000001
BbAv>2.5,70,56.00000000000001
BbMx<2.5,70,56.00000000000001
BbAv<2.5,70,56.00000000000001
BbAH,70,56.00000000000001
BbAHh,70,56.00000000000001
BbMxAHH,70,56.00000000000001
BbAvAHH,70,56.00000000000001
BbMxAHA,70,56.00000000000001
BbAvAHA,70,56.00000000000001
BSH,30,24.0
BSD,30,24.0
BSA,30,24.0
PSH,65,52.0
PSD,65,52.0
PSA,65,52.0
PSCH,65,52.0
PSCD,65,52.0
PSCA,65,52.0
Time,30,24.0
MaxH,30,24.0
MaxD,30,24.0
MaxA,30,24.0
AvgH,30,24.0
AvgD,30,24.0
AvgA,30,24.0
P>2.5,30,24.0
P<2.5,30,24.0
Max>2.5,30,24.0
Max<2.5,30,24.0
Avg>2.5,30,24.0
Avg<2.5,30,24.0
AHh,30,24.0
PAHH,30,24.0
PAHA,30,24.0
MaxAHH,30,24.0
MaxAHA,30,24.0
AvgAHH,30,24.0
AvgAHA,30,24.0
B365CH,30,24.0
B365CD,30,24.0
B365CA,30,24.0
BWCH,30,24.0
BWCD,30,24.0
BWCA,30,24.0
IWCH,25,20.0
IWCD,25,20.0
IWCA,25,20.0
WHCH,30,24.0
WHCD,30,24.0
WHCA,30,24.0
VCCH,25,20.0
VCCD,25,20.0
VCCA,25,20.0
MaxCH,30,24.0
MaxCD,30,24.0
MaxCA,30,24.0
AvgCH,30,24.0
AvgCD,30,24.0
AvgCA,30,24.0
B365C>2.5,30,24.0
B365C<2.5,30,24.0
PC>2.5,30,24.0
PC<2.5,30,24.0
MaxC>2.5,30,24.0
MaxC<2.5,30,24.0
AvgC>2.5,30,24.0
AvgC<2.5,30,24.0
AHCh,30,24.0
B365CAHH,30,24.0
B365CAHA,30,24.0
PCAHH,30,24.0
PCAHA,30,24.0
MaxCAHH,30,24.0
MaxCAHA,30,24.0
AvgCAHH,30,24.0
AvgCAHA,30,24.0
ï»¿Div,5,4.0
BFH,5,4.0
BFD,5,4.0
BFA,5,4.0
1XBH,5,4.0
1XBD,5,4.0
1XBA,5,4.0
BFEH,5,4.0
BFED,5,4.0
BFEA,5,4.0
BFE>2.5,5,4.0
BFE<2.5,5,4.0
BFEAHH,5,4.0
BFEAHA,5,4.0
BFCH,5,4.0
BFCD,5,4.0
BFCA,5,4.0
1XBCH,5,4.0
1XBCD,5,4.0
1XBCA,5,4.0
BFECH,5,4.0
BFECD,5,4.0
BFECA,5,4.0
BFEC>2.5,5,4.0
BFEC<2.5,5,4.0
BFECAHH,5,4.0
BFECAHA,5,4.0
Unnamed: 44,5,4.0
Unnamed: 45,4,3.2
Unnamed: 46,4,3.2
Unnamed: 47,4,3.2
Unnamed: 54,2,1.6
Unnamed: 55,2,1.6
Unnamed: 56,2,1.6
Unnamed: 57,2,1.6
Unnamed: 58,2,1.6
Unnamed: 59,1,0.8
Unnamed: 60,1,0.8
Unnamed: 61,1,0.8
Unnamed: 62,1,0.8
Unnamed: 70,3,2.4
Unnamed: 71,3,2.4
Unnamed: 72,3,2.4
Unnamed: 39,1,0.8
Unnamed: 40,1,0.8
Unnamed: 42,1,0.8
Unnamed: 43,1,0.8
