,Count,Percentage
1XBA,1,6.042296072507553
1XBCA,1,6.042296072507553
1XBCD,1,6.042296072507553
1XBCH,1,6.042296072507553
1XBD,1,6.042296072507553
1XBH,1,6.042296072507553
AC,21,126.88821752265862
AF,21,126.88821752265862
AHCh,6,36.25377643504532
AHh,6,36.25377643504532
AR,21,126.88821752265862
AS,21,126.88821752265862
AST,19,114.80362537764351
AY,21,126.88821752265862
Avg<2.5,6,36.25377643504532
Avg>2.5,6,36.25377643504532
AvgA,6,36.25377643504532
AvgAHA,6,36.25377643504532
AvgAHH,6,36.25377643504532
AvgC<2.5,6,36.25377643504532
AvgC>2.5,6,36.25377643504532
AvgCA,6,36.25377643504532
AvgCAHA,6,36.25377643504532
AvgCAHH,6,36.25377643504532
AvgCD,6,36.25377643504532
AvgCH,6,36.25377643504532
AvgD,6,36.25377643504532
AvgH,6,36.25377643504532
AwayTeam,21,126.88821752265862
B365<2.5,7,42.29607250755287
B365>2.5,7,42.29607250755287
B365A,21,126.88821752265862
B365AH,1,6.042296072507553
B365AHA,7,42.29607250755287
B365AHH,7,42.29607250755287
B365C<2.5,6,36.25377643504532
B365C>2.5,6,36.25377643504532
B365CA,6,36.25377643504532
B365CAHA,6,36.25377643504532
B365CAHH,6,36.25377643504532
B365CD,6,36.25377643504532
B365CH,6,36.25377643504532
B365D,21,126.88821752265862
B365H,21,126.88821752265862
BFA,1,6.042296072507553
BFCA,1,6.042296072507553
BFCD,1,6.042296072507553
BFCH,1,6.042296072507553
BFD,1,6.042296072507553
BFE<2.5,1,6.042296072507553
BFE>2.5,1,6.042296072507553
BFEA,1,6.042296072507553
BFEAHA,1,6.042296072507553
BFEAHH,1,6.042296072507553
BFEC<2.5,1,6.042296072507553
BFEC>2.5,1,6.042296072507553
BFECA,1,6.042296072507553
BFECAHA,1,6.042296072507553
BFECAHH,1,6.042296072507553
BFECD,1,6.042296072507553
BFECH,1,6.042296072507553
BFED,1,6.042296072507553
BFEH,1,6.042296072507553
BFH,1,6.042296072507553
BSA,6,36.25377643504532
BSD,6,36.25377643504532
BSH,6,36.25377643504532
BWA,21,126.88821752265862
BWCA,6,36.25377643504532
BWCD,6,36.25377643504532
BWCH,6,36.25377643504532
BWD,21,126.88821752265862
BWH,21,126.88821752265862
Bb1X2,14,84.59214501510574
BbAH,14,84.59214501510574
BbAHh,14,84.59214501510574
BbAv<2.5,14,84.59214501510574
BbAv>2.5,14,84.59214501510574
BbAvA,14,84.59214501510574
BbAvAHA,14,84.59214501510574
BbAvAHH,14,84.59214501510574
BbAvD,14,84.59214501510574
BbAvH,14,84.59214501510574
BbMx<2.5,14,84.59214501510574
BbMx>2.5,14,84.59214501510574
BbMxA,14,84.59214501510574
BbMxAHA,14,84.59214501510574
BbMxAHH,14,84.59214501510574
BbMxD,14,84.59214501510574
BbMxH,14,84.59214501510574
BbOU,14,84.59214501510574
Date,21,126.88821752265862
Div,21,126.88821752265862
FTAG,21,126.88821752265862
FTHG,21,126.88821752265862
FTR,21,126.88821752265862
GB<2.5,1,6.042296072507553
GB>2.5,1,6.042296072507553
GBA,9,54.38066465256797
GBAH,1,6.042296072507553
GBAHA,1,6.042296072507553
GBAHH,1,6.042296072507553
GBD,9,54.38066465256797
GBH,9,54.38066465256797
HC,21,126.88821752265862
HF,21,126.88821752265862
HR,21,126.88821752265862
HS,21,126.88821752265862
HST,19,114.80362537764351
HTAG,21,126.88821752265862
HTHG,21,126.88821752265862
HTR,21,126.88821752265862
HY,21,126.88821752265862
HomeTeam,21,126.88821752265862
IWA,20,120.84592145015105
IWCA,5,30.211480362537763
IWCD,5,30.211480362537763
IWCH,5,30.211480362537763
IWD,20,120.84592145015105
IWH,20,120.84592145015105
LBA,14,84.59214501510574
LBAH,1,6.042296072507553
LBAHA,1,6.042296072507553
LBAHH,1,6.042296072507553
LBD,14,84.59214501510574
LBH,14,84.59214501510574
Max<2.5,6,36.25377643504532
Max>2.5,6,36.25377643504532
MaxA,6,36.25377643504532
MaxAHA,6,36.25377643504532
MaxAHH,6,36.25377643504532
MaxC<2.5,6,36.25377643504532
MaxC>2.5,6,36.25377643504532
MaxCA,6,36.25377643504532
MaxCAHA,6,36.25377643504532
MaxCAHH,6,36.25377643504532
MaxCD,6,36.25377643504532
MaxCH,6,36.25377643504532
MaxD,6,36.25377643504532
MaxH,6,36.25377643504532
P<2.5,6,36.25377643504532
P>2.5,6,36.25377643504532
PAHA,6,36.25377643504532
PAHH,6,36.25377643504532
PC<2.5,6,36.25377643504532
PC>2.5,6,36.25377643504532
PCAHA,6,36.25377643504532
PCAHH,6,36.25377643504532
PSA,13,78.5498489425982
PSCA,13,78.5498489425982
PSCD,13,78.5498489425982
PSCH,13,78.5498489425982
PSD,13,78.5498489425982
PSH,13,78.5498489425982
SBA,8,48.338368580060425
SBD,8,48.338368580060425
SBH,8,48.338368580060425
SJA,10,60.42296072507553
SJD,10,60.42296072507553
SJH,10,60.42296072507553
Time,6,36.25377643504532
Unnamed: 54,1,6.042296072507553
Unnamed: 55,1,6.042296072507553
Unnamed: 56,1,6.042296072507553
Unnamed: 57,1,6.042296072507553
Unnamed: 58,1,6.042296072507553
Unnamed: 59,1,6.042296072507553
Unnamed: 60,1,6.042296072507553
Unnamed: 61,1,6.042296072507553
Unnamed: 62,1,6.042296072507553
Unnamed: 70,2,12.084592145015106
Unnamed: 71,2,12.084592145015106
Unnamed: 72,2,12.084592145015106
VCA,19,114.80362537764351
VCCA,5,30.211480362537763
VCCD,5,30.211480362537763
VCCH,5,30.211480362537763
VCD,19,114.80362537764351
VCH,19,114.80362537764351
WHA,21,126.88821752265862
WHCA,6,36.25377643504532
WHCD,6,36.25377643504532
WHCH,6,36.25377643504532
WHD,21,126.88821752265862
WHH,21,126.88821752265862
