Column Name,Count,Percentage
Div,24,96.0
Date,25,100.0
HomeTeam,25,100.0
AwayTeam,25,100.0
FTHG,25,100.0
FTAG,25,100.0
FTR,25,100.0
HTHG,25,100.0
HTAG,25,100.0
HTR,25,100.0
Attendance,2,8.0
Referee,2,8.0
HS,24,96.0
AS,24,96.0
HST,21,84.0
AST,21,84.0
HHW,2,8.0
AHW,2,8.0
HC,24,96.0
AC,24,96.0
HF,24,96.0
AF,24,96.0
HO,2,8.0
AO,2,8.0
HY,24,96.0
AY,24,96.0
HR,24,96.0
AR,24,96.0
HBP,2,8.0
ABP,2,8.0
GBH,13,52.0
GBD,13,52.0
GBA,13,52.0
IWH,24,96.0
IWD,24,96.0
IWA,24,96.0
LBH,18,72.0
LBD,18,72.0
LBA,18,72.0
SBH,12,48.0
SBD,12,48.0
SBA,12,48.0
WHH,25,100.0
WHD,25,100.0
WHA,25,100.0
SYH,1,4.0
SYD,1,4.0
SYA,1,4.0
B365H,23,92.0
B365D,23,92.0
B365A,23,92.0
SOH,2,8.0
SOD,2,8.0
SOA,2,8.0
GB>2.5,3,12.0
GB<2.5,3,12.0
B365>2.5,9,36.0
B365<2.5,9,36.0
GBAHH,2,8.0
GBAHA,2,8.0
GBAH,2,8.0
LBAHH,2,8.0
LBAHA,2,8.0
LBAH,2,8.0
B365AHH,8,32.0
B365AHA,8,32.0
B365AH,2,8.0
Unnamed: 54,2,8.0
Unnamed: 55,2,8.0
Unnamed: 56,2,8.0
Unnamed: 57,2,8.0
Unnamed: 58,2,8.0
BWH,21,84.0
BWD,21,84.0
BWA,21,84.0
Unnamed: 59,1,4.0
Unnamed: 60,1,4.0
Unnamed: 61,1,4.0
Unnamed: 62,1,4.0
SJH,10,40.0
SJD,10,40.0
SJA,10,40.0
VCH,19,76.0
VCD,19,76.0
VCA,19,76.0
Bb1X2,14,56.00000000000001
BbMxH,14,56.00000000000001
BbAvH,14,56.00000000000001
BbMxD,14,56.00000000000001
BbAvD,14,56.00000000000001
BbMxA,14,56.00000000000001
BbAvA,14,56.00000000000001
BbOU,14,56.00000000000001
BbMx>2.5,14,56.00000000000001
BbAv>2.5,14,56.00000000000001
BbMx<2.5,14,56.00000000000001
BbAv<2.5,14,56.00000000000001
BbAH,14,56.00000000000001
BbAHh,14,56.00000000000001
BbMxAHH,14,56.00000000000001
BbAvAHH,14,56.00000000000001
BbMxAHA,14,56.00000000000001
BbAvAHA,14,56.00000000000001
BSH,6,24.0
BSD,6,24.0
BSA,6,24.0
Unnamed: 70,2,8.0
Unnamed: 71,2,8.0
Unnamed: 72,2,8.0
PSH,13,52.0
PSD,13,52.0
PSA,13,52.0
PSCH,13,52.0
PSCD,13,52.0
PSCA,13,52.0
Time,6,24.0
MaxH,6,24.0
MaxD,6,24.0
MaxA,6,24.0
AvgH,6,24.0
AvgD,6,24.0
AvgA,6,24.0
P>2.5,6,24.0
P<2.5,6,24.0
Max>2.5,6,24.0
Max<2.5,6,24.0
Avg>2.5,6,24.0
Avg<2.5,6,24.0
AHh,6,24.0
PAHH,6,24.0
PAHA,6,24.0
MaxAHH,6,24.0
MaxAHA,6,24.0
AvgAHH,6,24.0
AvgAHA,6,24.0
B365CH,6,24.0
B365CD,6,24.0
B365CA,6,24.0
BWCH,6,24.0
BWCD,6,24.0
BWCA,6,24.0
IWCH,5,20.0
IWCD,5,20.0
IWCA,5,20.0
WHCH,6,24.0
WHCD,6,24.0
WHCA,6,24.0
VCCH,5,20.0
VCCD,5,20.0
VCCA,5,20.0
MaxCH,6,24.0
MaxCD,6,24.0
MaxCA,6,24.0
AvgCH,6,24.0
AvgCD,6,24.0
AvgCA,6,24.0
B365C>2.5,6,24.0
B365C<2.5,6,24.0
PC>2.5,6,24.0
PC<2.5,6,24.0
MaxC>2.5,6,24.0
MaxC<2.5,6,24.0
AvgC>2.5,6,24.0
AvgC<2.5,6,24.0
AHCh,6,24.0
B365CAHH,6,24.0
B365CAHA,6,24.0
PCAHH,6,24.0
PCAHA,6,24.0
MaxCAHH,6,24.0
MaxCAHA,6,24.0
AvgCAHH,6,24.0
AvgCAHA,6,24.0
ï»¿Div,1,4.0
BFH,1,4.0
BFD,1,4.0
BFA,1,4.0
1XBH,1,4.0
1XBD,1,4.0
1XBA,1,4.0
BFEH,1,4.0
BFED,1,4.0
BFEA,1,4.0
BFE>2.5,1,4.0
BFE<2.5,1,4.0
BFEAHH,1,4.0
BFEAHA,1,4.0
BFCH,1,4.0
BFCD,1,4.0
BFCA,1,4.0
1XBCH,1,4.0
1XBCD,1,4.0
1XBCA,1,4.0
BFECH,1,4.0
BFECD,1,4.0
BFECA,1,4.0
BFEC>2.5,1,4.0
BFEC<2.5,1,4.0
BFECAHH,1,4.0
BFECAHA,1,4.0
