,PremierLeague,LaLigaPrimeraDivision,Bundesliga1,SerieA,LeChampionnat
Div,23,24,21,23,23
Date,23,24,21,23,23
HomeTeam,23,24,21,23,23
AwayTeam,23,24,21,23,23
FTHG,23,24,21,23,23
FTAG,23,24,21,23,23
FTR,23,24,21,23,23
HTHG,23,24,21,23,23
HTAG,23,24,21,23,23
HTR,23,24,21,23,23
Attendance,2,0,0,0,0
Referee,23,0,0,2,0
HS,23,20,21,20,20
AS,23,20,21,20,20
HST,23,20,19,20,20
AST,23,20,19,20,20
HHW,2,0,0,0,0
AHW,2,0,0,0,0
HC,23,20,21,20,19
AC,23,20,21,20,19
HF,23,20,21,20,18
AF,23,20,21,20,18
HO,2,0,0,0,0
AO,2,0,0,0,0
HY,23,20,21,20,20
AY,23,20,21,20,20
HR,23,20,21,20,20
AR,23,20,21,20,20
HBP,2,0,0,0,0
ABP,2,0,0,0,0
GBH,11,12,9,11,11
GBD,11,12,9,11,11
GBA,11,12,9,11,11
IWH,22,23,20,22,22
IWD,22,23,20,22,22
IWA,22,23,20,22,22
LBH,16,17,14,16,16
LBD,16,17,14,16,16
LBA,16,17,14,16,16
SBH,10,11,8,10,10
SBD,10,11,8,10,10
SBA,10,11,8,10,10
WHH,23,24,21,23,23
WHD,23,24,21,23,23
WHA,23,24,21,23,23
SYH,1,1,0,1,1
SYD,1,1,0,1,1
SYA,1,1,0,1,1
B365H,21,22,21,21,21
B365D,21,22,21,21,21
B365A,21,22,21,21,21
SOH,1,2,0,1,0
SOD,1,2,0,1,0
SOA,1,2,0,1,0
GB>2.5,1,2,1,1,1
GB<2.5,1,2,1,1,1
B365>2.5,7,8,7,7,6
B365<2.5,7,8,7,7,6
Unnamed: 48,1,1,0,0,1
Unnamed: 49,1,1,0,0,1
Unnamed: 50,1,1,0,0,1
Unnamed: 51,1,0,0,0,0
Unnamed: 52,1,0,0,0,0
BWH,20,20,21,20,21
BWD,20,20,21,20,21
BWA,20,20,21,20,21
SJH,10,10,10,10,10
SJD,10,10,10,10,10
SJA,10,10,10,10,10
VCH,19,19,19,19,19
VCD,19,19,19,19,19
VCA,19,19,19,19,19
Bb1X2,14,14,14,14,14
BbMxH,14,14,14,14,14
BbAvH,14,14,14,14,14
BbMxD,14,14,14,14,14
BbAvD,14,14,14,14,14
BbMxA,14,14,14,14,14
BbAvA,14,14,14,14,14
BbOU,14,14,14,14,14
BbMx>2.5,14,14,14,14,14
BbAv>2.5,14,14,14,14,14
BbMx<2.5,14,14,14,14,14
BbAv<2.5,14,14,14,14,14
BbAH,14,14,14,14,14
BbAHh,14,14,14,14,14
BbMxAHH,14,14,14,14,14
BbAvAHH,14,14,14,14,14
BbMxAHA,14,14,14,14,14
BbAvAHA,14,14,14,14,14
BSH,6,6,6,6,6
BSD,6,6,6,6,6
BSA,6,6,6,6,6
PSH,13,13,13,13,13
PSD,13,13,13,13,13
PSA,13,13,13,13,13
PSCH,13,13,13,13,13
PSCD,13,13,13,13,13
PSCA,13,13,13,13,13
Time,6,6,6,6,6
MaxH,6,6,6,6,6
MaxD,6,6,6,6,6
MaxA,6,6,6,6,6
AvgH,6,6,6,6,6
AvgD,6,6,6,6,6
AvgA,6,6,6,6,6
P>2.5,6,6,6,6,6
P<2.5,6,6,6,6,6
Max>2.5,6,6,6,6,6
Max<2.5,6,6,6,6,6
Avg>2.5,6,6,6,6,6
Avg<2.5,6,6,6,6,6
AHh,6,6,6,6,6
B365AHH,6,7,7,6,7
B365AHA,6,7,7,6,7
PAHH,6,6,6,6,6
PAHA,6,6,6,6,6
MaxAHH,6,6,6,6,6
MaxAHA,6,6,6,6,6
AvgAHH,6,6,6,6,6
AvgAHA,6,6,6,6,6
B365CH,6,6,6,6,6
B365CD,6,6,6,6,6
B365CA,6,6,6,6,6
BWCH,6,6,6,6,6
BWCD,6,6,6,6,6
BWCA,6,6,6,6,6
IWCH,5,5,5,5,5
IWCD,5,5,5,5,5
IWCA,5,5,5,5,5
WHCH,6,6,6,6,6
WHCD,6,6,6,6,6
WHCA,6,6,6,6,6
VCCH,5,5,5,5,5
VCCD,5,5,5,5,5
VCCA,5,5,5,5,5
MaxCH,6,6,6,6,6
MaxCD,6,6,6,6,6
MaxCA,6,6,6,6,6
AvgCH,6,6,6,6,6
AvgCD,6,6,6,6,6
AvgCA,6,6,6,6,6
B365C>2.5,6,6,6,6,6
B365C<2.5,6,6,6,6,6
PC>2.5,6,6,6,6,6
PC<2.5,6,6,6,6,6
MaxC>2.5,6,6,6,6,6
MaxC<2.5,6,6,6,6,6
AvgC>2.5,6,6,6,6,6
AvgC<2.5,6,6,6,6,6
AHCh,6,6,6,6,6
B365CAHH,6,6,6,6,6
B365CAHA,6,6,6,6,6
PCAHH,6,6,6,6,6
PCAHA,6,6,6,6,6
MaxCAHH,6,6,6,6,6
MaxCAHA,6,6,6,6,6
AvgCAHH,6,6,6,6,6
AvgCAHA,6,6,6,6,6
BFH,1,1,1,1,1
BFD,1,1,1,1,1
BFA,1,1,1,1,1
1XBH,1,1,1,1,1
1XBD,1,1,1,1,1
1XBA,1,1,1,1,1
BFEH,1,1,1,1,1
BFED,1,1,1,1,1
BFEA,1,1,1,1,1
BFE>2.5,1,1,1,1,1
BFE<2.5,1,1,1,1,1
BFEAHH,1,1,1,1,1
BFEAHA,1,1,1,1,1
BFCH,1,1,1,1,1
BFCD,1,1,1,1,1
BFCA,1,1,1,1,1
1XBCH,1,1,1,1,1
1XBCD,1,1,1,1,1
1XBCA,1,1,1,1,1
BFECH,1,1,1,1,1
BFECD,1,1,1,1,1
BFECA,1,1,1,1,1
BFEC>2.5,1,1,1,1,1
BFEC<2.5,1,1,1,1,1
BFECAHH,1,1,1,1,1
BFECAHA,1,1,1,1,1
GBAHH,0,1,1,0,1
GBAHA,0,1,1,0,1
GBAH,0,1,1,0,1
LBAHH,0,1,1,0,1
LBAHA,0,1,1,0,1
LBAH,0,1,1,0,1
B365AH,0,1,1,0,1
Unnamed: 44,0,1,0,0,1
Unnamed: 45,0,1,0,0,1
Unnamed: 46,0,1,0,0,1
Unnamed: 47,0,1,0,0,1
Unnamed: 54,0,0,1,0,0
Unnamed: 55,0,0,1,0,0
Unnamed: 56,0,0,1,0,0
Unnamed: 57,0,0,1,0,0
Unnamed: 58,0,0,1,0,0
Unnamed: 59,0,0,1,0,0
Unnamed: 60,0,0,1,0,0
Unnamed: 61,0,0,1,0,0
Unnamed: 62,0,0,1,0,0
Unnamed: 70,0,0,2,1,0
Unnamed: 71,0,0,2,1,0
Unnamed: 72,0,0,2,1,0
Unnamed: 42,0,0,0,0,1
Unnamed: 43,0,0,0,0,1
