,Count,Percentage
1XBA,1,5.790387955993051
1XBCA,1,5.790387955993051
1XBCD,1,5.790387955993051
1XBCH,1,5.790387955993051
1XBD,1,5.790387955993051
1XBH,1,5.790387955993051
AC,20,115.80775911986103
AF,20,115.80775911986103
AHCh,6,34.74232773595831
AHh,6,34.74232773595831
AR,20,115.80775911986103
AS,20,115.80775911986103
AST,20,115.80775911986103
AY,20,115.80775911986103
Avg<2.5,6,34.74232773595831
Avg>2.5,6,34.74232773595831
AvgA,6,34.74232773595831
AvgAHA,6,34.74232773595831
AvgAHH,6,34.74232773595831
AvgC<2.5,6,34.74232773595831
AvgC>2.5,6,34.74232773595831
AvgCA,6,34.74232773595831
AvgCAHA,6,34.74232773595831
AvgCAHH,6,34.74232773595831
AvgCD,6,34.74232773595831
AvgCH,6,34.74232773595831
AvgD,6,34.74232773595831
AvgH,6,34.74232773595831
AwayTeam,24,138.96931094383325
B365<2.5,8,46.32310364794441
B365>2.5,8,46.32310364794441
B365A,22,127.38853503184714
B365AH,1,5.790387955993051
B365AHA,7,40.53271569195136
B365AHH,7,40.53271569195136
B365C<2.5,6,34.74232773595831
B365C>2.5,6,34.74232773595831
B365CA,6,34.74232773595831
B365CAHA,6,34.74232773595831
B365CAHH,6,34.74232773595831
B365CD,6,34.74232773595831
B365CH,6,34.74232773595831
B365D,22,127.38853503184714
B365H,22,127.38853503184714
BFA,1,5.790387955993051
BFCA,1,5.790387955993051
BFCD,1,5.790387955993051
BFCH,1,5.790387955993051
BFD,1,5.790387955993051
BFE<2.5,1,5.790387955993051
BFE>2.5,1,5.790387955993051
BFEA,1,5.790387955993051
BFEAHA,1,5.790387955993051
BFEAHH,1,5.790387955993051
BFEC<2.5,1,5.790387955993051
BFEC>2.5,1,5.790387955993051
BFECA,1,5.790387955993051
BFECAHA,1,5.790387955993051
BFECAHH,1,5.790387955993051
BFECD,1,5.790387955993051
BFECH,1,5.790387955993051
BFED,1,5.790387955993051
BFEH,1,5.790387955993051
BFH,1,5.790387955993051
BSA,6,34.74232773595831
BSD,6,34.74232773595831
BSH,6,34.74232773595831
BWA,20,115.80775911986103
BWCA,6,34.74232773595831
BWCD,6,34.74232773595831
BWCH,6,34.74232773595831
BWD,20,115.80775911986103
BWH,20,115.80775911986103
Bb1X2,14,81.06543138390272
BbAH,14,81.06543138390272
BbAHh,14,81.06543138390272
