,Count,Percentage
1XBA,1,5.931198102016608
1XBCA,1,5.931198102016608
1XBCD,1,5.931198102016608
1XBCH,1,5.931198102016608
1XBD,1,5.931198102016608
1XBH,1,5.931198102016608
AC,19,112.69276393831554
AF,18,106.76156583629894
AHCh,6,35.587188612099645
AHh,6,35.587188612099645
AR,20,118.62396204033215
AS,20,118.62396204033215
AST,20,118.62396204033215
AY,20,118.62396204033215
Avg<2.5,6,35.587188612099645
Avg>2.5,6,35.587188612099645
AvgA,6,35.587188612099645
AvgAHA,6,35.587188612099645
AvgAHH,6,35.587188612099645
AvgC<2.5,6,35.587188612099645
AvgC>2.5,6,35.587188612099645
AvgCA,6,35.587188612099645
AvgCAHA,6,35.587188612099645
AvgCAHH,6,35.587188612099645
AvgCD,6,35.587188612099645
AvgCH,6,35.587188612099645
AvgD,6,35.587188612099645
AvgH,6,35.587188612099645
AwayTeam,23,136.41755634638196
B365<2.5,6,35.587188612099645
B365>2.5,6,35.587188612099645
B365A,21,124.55516014234875
B365AH,1,5.931198102016608
B365AHA,7,41.51838671411625
B365AHH,7,41.51838671411625
B365C<2.5,6,35.587188612099645
B365C>2.5,6,35.587188612099645
B365CA,6,35.587188612099645
B365CAHA,6,35.587188612099645
B365CAHH,6,35.587188612099645
B365CD,6,35.587188612099645
B365CH,6,35.587188612099645
B365D,21,124.55516014234875
B365H,21,124.55516014234875
BFA,1,5.931198102016608
BFCA,1,5.931198102016608
BFCD,1,5.931198102016608
BFCH,1,5.931198102016608
BFD,1,5.931198102016608
BFE<2.5,1,5.931198102016608
BFE>2.5,1,5.931198102016608
BFEA,1,5.931198102016608
BFEAHA,1,5.931198102016608
BFEAHH,1,5.931198102016608
BFEC<2.5,1,5.931198102016608
BFEC>2.5,1,5.931198102016608
BFECA,1,5.931198102016608
BFECAHA,1,5.931198102016608
BFECAHH,1,5.931198102016608
BFECD,1,5.931198102016608
BFECH,1,5.931198102016608
BFED,1,5.931198102016608
BFEH,1,5.931198102016608
BFH,1,5.931198102016608
BSA,6,35.587188612099645
BSD,6,35.587188612099645
BSH,6,35.587188612099645
BWA,21,124.55516014234875
BWCA,6,35.587188612099645
BWCD,6,35.587188612099645
BWCH,6,35.587188612099645
BWD,21,124.55516014234875
BWH,21,124.55516014234875
Bb1X2,14,83.0367734282325
BbAH,14,83.0367734282325
BbAHh,14,83.0367734282325
BbAv<2.5,14,83.0367734282325
BbAv>2.5,14,83.0367734282325
BbAvA,14,83.0367734282325
BbAvAHA,14,83.0367734282325
BbAvAHH,14,83.0367734282325
BbAvD,14,83.0367734282325
BbAvH,14,83.0367734282325
BbMx<2.5,14,83.0367734282325
BbMx>2.5,14,83.0367734282325
BbMxA,14,83.0367734282325
BbMxAHA,14,83.0367734282325
BbMxAHH,14,83.0367734282325
BbMxD,14,83.0367734282325
BbMxH,14,83.0367734282325
BbOU,14,83.0367734282325
Date,23,136.41755634638196
Div,23,136.41755634638196
FTAG,23,136.41755634638196
FTHG,23,136.41755634638196
FTR,23,136.41755634638196
GB<2.5,1,5.931198102016608
GB>2.5,1,5.931198102016608
GBA,11,65.24317912218268
GBAH,1,5.931198102016608
GBAHA,1,5.931198102016608
GBAHH,1,5.931198102016608
GBD,11,65.24317912218268
GBH,11,65.24317912218268
HC,19,112.69276393831554
HF,18,106.76156583629894
HR,20,118.62396204033215
HS,20,118.62396204033215
HST,20,118.62396204033215
HTAG,23,136.41755634638196
HTHG,23,136.41755634638196
HTR,23,136.41755634638196
HY,20,118.62396204033215
HomeTeam,23,136.41755634638196
IWA,22,130.48635824436536
IWCA,5,29.655990510083036
IWCD,5,29.655990510083036
IWCH,5,29.655990510083036
IWD,22,130.48635824436536
IWH,22,130.48635824436536
LBA,16,94.89916963226572
LBAH,1,5.931198102016608
LBAHA,1,5.931198102016608
LBAHH,1,5.931198102016608
LBD,16,94.89916963226572
LBH,16,94.89916963226572
Max<2.5,6,35.587188612099645
Max>2.5,6,35.587188612099645
MaxA,6,35.587188612099645
MaxAHA,6,35.587188612099645
MaxAHH,6,35.587188612099645
MaxC<2.5,6,35.587188612099645
MaxC>2.5,6,35.587188612099645
MaxCA,6,35.587188612099645
MaxCAHA,6,35.587188612099645
MaxCAHH,6,35.587188612099645
MaxCD,6,35.587188612099645
MaxCH,6,35.587188612099645
MaxD,6,35.587188612099645
MaxH,6,35.587188612099645
P<2.5,6,35.587188612099645
P>2.5,6,35.587188612099645
PAHA,6,35.587188612099645
PAHH,6,35.587188612099645
PC<2.5,6,35.587188612099645
PC>2.5,6,35.587188612099645
PCAHA,6,35.587188612099645
PCAHH,6,35.587188612099645
PSA,13,77.1055753262159
PSCA,13,77.1055753262159
PSCD,13,77.1055753262159
PSCH,13,77.1055753262159
PSD,13,77.1055753262159
PSH,13,77.1055753262159
SBA,10,59.31198102016607
SBD,10,59.31198102016607
SBH,10,59.31198102016607
SJA,10,59.31198102016607
SJD,10,59.31198102016607
SJH,10,59.31198102016607
SYA,1,5.931198102016608
SYD,1,5.931198102016608
SYH,1,5.931198102016608
Time,6,35.587188612099645
Unnamed: 42,1,5.931198102016608
Unnamed: 43,1,5.931198102016608
Unnamed: 44,1,5.931198102016608
Unnamed: 45,1,5.931198102016608
Unnamed: 46,1,5.931198102016608
Unnamed: 47,1,5.931198102016608
Unnamed: 48,1,5.931198102016608
Unnamed: 49,1,5.931198102016608
Unnamed: 50,1,5.931198102016608
VCA,19,112.69276393831554
VCCA,5,29.655990510083036
VCCD,5,29.655990510083036
VCCH,5,29.655990510083036
VCD,19,112.69276393831554
VCH,19,112.69276393831554
WHA,23,136.41755634638196
WHCA,6,35.587188612099645
WHCD,6,35.587188612099645
WHCH,6,35.587188612099645
WHD,23,136.41755634638196
WHH,23,136.41755634638196
