,Count,Percentage
1XBA,1,5.701254275940707
1XBCA,1,5.701254275940707
1XBCD,1,5.701254275940707
1XBCH,1,5.701254275940707
1XBD,1,5.701254275940707
1XBH,1,5.701254275940707
ABP,2,11.402508551881414
AC,23,131.12884834663626
AF,23,131.12884834663626
AHCh,6,34.20752565564424
AHW,2,11.402508551881414
AHh,6,34.20752565564424
AO,2,11.402508551881414
AR,23,131.12884834663626
AS,23,131.12884834663626
AST,23,131.12884834663626
AY,23,131.12884834663626
Attendance,2,11.402508551881414
Avg<2.5,6,34.20752565564424
Avg>2.5,6,34.20752565564424
AvgA,6,34.20752565564424
AvgAHA,6,34.20752565564424
AvgAHH,6,34.20752565564424
AvgC<2.5,6,34.20752565564424
AvgC>2.5,6,34.20752565564424
AvgCA,6,34.20752565564424
AvgCAHA,6,34.20752565564424
AvgCAHH,6,34.20752565564424
AvgCD,6,34.20752565564424
AvgCH,6,34.20752565564424
AvgD,6,34.20752565564424
AvgH,6,34.20752565564424
AwayTeam,23,131.12884834663626
B365<2.5,7,39.90877993158495
B365>2.5,7,39.90877993158495
B365A,21,119.72633979475485
B365AHA,6,34.20752565564424
B365AHH,6,34.20752565564424
B365C<2.5,6,34.20752565564424
B365C>2.5,6,34.20752565564424
B365CA,6,34.20752565564424
B365CAHA,6,34.20752565564424
B365CAHH,6,34.20752565564424
B365CD,6,34.20752565564424
B365CH,6,34.20752565564424
B365D,21,119.72633979475485
B365H,21,119.72633979475485
BFA,1,5.701254275940707
BFCA,1,5.701254275940707
BFCD,1,5.701254275940707
BFCH,1,5.701254275940707
BFD,1,5.701254275940707
BFE<2.5,1,5.701254275940707
BFE>2.5,1,5.701254275940707
BFEA,1,5.701254275940707
BFEAHA,1,5.701254275940707
BFEAHH,1,5.701254275940707
BFEC<2.5,1,5.701254275940707
BFEC>2.5,1,5.701254275940707
BFECA,1,5.701254275940707
BFECAHA,1,5.701254275940707
BFECAHH,1,5.701254275940707
BFECD,1,5.701254275940707
BFECH,1,5.701254275940707
BFED,1,5.701254275940707
BFEH,1,5.701254275940707
BFH,1,5.701254275940707
BSA,6,34.20752565564424
BSD,6,34.20752565564424
BSH,6,34.20752565564424
BWA,20,114.02508551881414
BWCA,6,34.20752565564424
BWCD,6,34.20752565564424
BWCH,6,34.20752565564424
BWD,20,114.02508551881414
BWH,20,114.02508551881414
Bb1X2,14,79.8175598631699
BbAH,14,79.8175598631699
BbAHh,14,79.8175598631699
BbAv<2.5,14,79.8175598631699
BbAv>2.5,14,79.8175598631699
BbAvA,14,79.8175598631699
BbAvAHA,14,79.8175598631699
BbAvAHH,14,79.8175598631699
BbAvD,14,79.8175598631699
BbAvH,14,79.8175598631699
BbMx<2.5,14,79.8175598631699
BbMx>2.5,14,79.8175598631699
BbMxA,14,79.8175598631699
BbMxAHA,14,79.8175598631699
BbMxAHH,14,79.8175598631699
BbMxD,14,79.8175598631699
BbMxH,14,79.8175598631699
BbOU,14,79.8175598631699
Date,23,131.12884834663626
Div,23,131.12884834663626
FTAG,23,131.12884834663626
FTHG,23,131.12884834663626
FTR,23,131.12884834663626
GB<2.5,1,5.701254275940707
GB>2.5,1,5.701254275940707
GBA,11,62.71379703534778
GBD,11,62.71379703534778
GBH,11,62.71379703534778
HBP,2,11.402508551881414
HC,23,131.12884834663626
HF,23,131.12884834663626
HHW,2,11.402508551881414
HO,2,11.402508551881414
HR,23,131.12884834663626
HS,23,131.12884834663626
HST,23,131.12884834663626
HTAG,23,131.12884834663626
HTHG,23,131.12884834663626
HTR,23,131.12884834663626
HY,23,131.12884834663626
HomeTeam,23,131.12884834663626
IWA,22,125.42759407069556
IWCA,5,28.506271379703534
IWCD,5,28.506271379703534
IWCH,5,28.506271379703534
IWD,22,125.42759407069556
IWH,22,125.42759407069556
LBA,16,91.22006841505132
LBD,16,91.22006841505132
LBH,16,91.22006841505132
Max<2.5,6,34.20752565564424
Max>2.5,6,34.20752565564424
MaxA,6,34.20752565564424
MaxAHA,6,34.20752565564424
MaxAHH,6,34.20752565564424
MaxC<2.5,6,34.20752565564424
MaxC>2.5,6,34.20752565564424
MaxCA,6,34.20752565564424
MaxCAHA,6,34.20752565564424
MaxCAHH,6,34.20752565564424
MaxCD,6,34.20752565564424
MaxCH,6,34.20752565564424
MaxD,6,34.20752565564424
MaxH,6,34.20752565564424
P<2.5,6,34.20752565564424
P>2.5,6,34.20752565564424
PAHA,6,34.20752565564424
PAHH,6,34.20752565564424
PC<2.5,6,34.20752565564424
PC>2.5,6,34.20752565564424
PCAHA,6,34.20752565564424
PCAHH,6,34.20752565564424
PSA,13,74.11630558722919
PSCA,13,74.11630558722919
PSCD,13,74.11630558722919
PSCH,13,74.11630558722919
PSD,13,74.11630558722919
PSH,13,74.11630558722919
Referee,23,131.12884834663626
SBA,10,57.01254275940707
SBD,10,57.01254275940707
SBH,10,57.01254275940707
SJA,10,57.01254275940707
SJD,10,57.01254275940707
SJH,10,57.01254275940707
SOA,1,5.701254275940707
SOD,1,5.701254275940707
SOH,1,5.701254275940707
SYA,1,5.701254275940707
SYD,1,5.701254275940707
SYH,1,5.701254275940707
Time,6,34.20752565564424
Unnamed: 48,1,5.701254275940707
Unnamed: 49,1,5.701254275940707
Unnamed: 50,1,5.701254275940707
Unnamed: 51,1,5.701254275940707
Unnamed: 52,1,5.701254275940707
VCA,19,108.32383124287344
VCCA,5,28.506271379703534
VCCD,5,28.506271379703534
VCCH,5,28.506271379703534
VCD,19,108.32383124287344
VCH,19,108.32383124287344
WHA,23,131.12884834663626
WHCA,6,34.20752565564424
WHCD,6,34.20752565564424
WHCH,6,34.20752565564424
WHD,23,131.12884834663626
WHH,23,131.12884834663626
