,Count,Percentage
1XBA,1,5.94883997620464
1XBCA,1,5.94883997620464
1XBCD,1,5.94883997620464
1XBCH,1,5.94883997620464
1XBD,1,5.94883997620464
1XBH,1,5.94883997620464
AC,20,118.9767995240928
AF,20,118.9767995240928
AHCh,6,35.69303985722784
AHh,6,35.69303985722784
AR,20,118.9767995240928
AS,20,118.9767995240928
AST,20,118.9767995240928
AY,20,118.9767995240928
Avg<2.5,6,35.69303985722784
Avg>2.5,6,35.69303985722784
AvgA,6,35.69303985722784
AvgAHA,6,35.69303985722784
AvgAHH,6,35.69303985722784
AvgC<2.5,6,35.69303985722784
AvgC>2.5,6,35.69303985722784
AvgCA,6,35.69303985722784
AvgCAHA,6,35.69303985722784
AvgCAHH,6,35.69303985722784
AvgCD,6,35.69303985722784
AvgCH,6,35.69303985722784
AvgD,6,35.69303985722784
AvgH,6,35.69303985722784
AwayTeam,23,136.82331945270673
B365<2.5,7,41.641879833432476
B365>2.5,7,41.641879833432476
B365A,21,124.92563950029744
B365AHA,6,35.69303985722784
B365AHH,6,35.69303985722784
B365C<2.5,6,35.69303985722784
B365C>2.5,6,35.69303985722784
B365CA,6,35.69303985722784
B365CAHA,6,35.69303985722784
B365CAHH,6,35.69303985722784
B365CD,6,35.69303985722784
B365CH,6,35.69303985722784
B365D,21,124.92563950029744
B365H,21,124.92563950029744
BFA,1,5.94883997620464
BFCA,1,5.94883997620464
BFCD,1,5.94883997620464
BFCH,1,5.94883997620464
BFD,1,5.94883997620464
BFE<2.5,1,5.94883997620464
BFE>2.5,1,5.94883997620464
BFEA,1,5.94883997620464
BFEAHA,1,5.94883997620464
BFEAHH,1,5.94883997620464
BFEC<2.5,1,5.94883997620464
BFEC>2.5,1,5.94883997620464
BFECA,1,5.94883997620464
BFECAHA,1,5.94883997620464
BFECAHH,1,5.94883997620464
BFECD,1,5.94883997620464
BFECH,1,5.94883997620464
BFED,1,5.94883997620464
BFEH,1,5.94883997620464
BFH,1,5.94883997620464
BSA,6,35.69303985722784
BSD,6,35.69303985722784
BSH,6,35.69303985722784
BWA,20,118.9767995240928
BWCA,6,35.69303985722784
BWCD,6,35.69303985722784
BWCH,6,35.69303985722784
BWD,20,118.9767995240928
BWH,20,118.9767995240928
Bb1X2,14,83.28375966686495
BbAH,14,83.28375966686495
BbAHh,14,83.28375966686495
BbAv<2.5,14,83.28375966686495
BbAv>2.5,14,83.28375966686495
BbAvA,14,83.28375966686495
BbAvAHA,14,83.28375966686495
BbAvAHH,14,83.28375966686495
BbAvD,14,83.28375966686495
BbAvH,14,83.28375966686495
BbMx<2.5,14,83.28375966686495
BbMx>2.5,14,83.28375966686495
BbMxA,14,83.28375966686495
BbMxAHA,14,83.28375966686495
BbMxAHH,14,83.28375966686495
BbMxD,14,83.28375966686495
BbMxH,14,83.28375966686495
BbOU,14,83.28375966686495
Date,23,136.82331945270673
Div,23,136.82331945270673
FTAG,23,136.82331945270673
FTHG,23,136.82331945270673
FTR,23,136.82331945270673
GB<2.5,1,5.94883997620464
GB>2.5,1,5.94883997620464
GBA,11,65.43723973825104
GBD,11,65.43723973825104
GBH,11,65.43723973825104
HC,20,118.9767995240928
HF,20,118.9767995240928
HR,20,118.9767995240928
HS,20,118.9767995240928
HST,20,118.9767995240928
HTAG,23,136.82331945270673
HTHG,23,136.82331945270673
HTR,23,136.82331945270673
HY,20,118.9767995240928
HomeTeam,23,136.82331945270673
IWA,22,130.87447947650207
IWCA,5,29.7441998810232
IWCD,5,29.7441998810232
IWCH,5,29.7441998810232
IWD,22,130.87447947650207
IWH,22,130.87447947650207
LBA,16,95.18143961927424
LBD,16,95.18143961927424
LBH,16,95.18143961927424
Max<2.5,6,35.69303985722784
Max>2.5,6,35.69303985722784
MaxA,6,35.69303985722784
MaxAHA,6,35.69303985722784
MaxAHH,6,35.69303985722784
MaxC<2.5,6,35.69303985722784
MaxC>2.5,6,35.69303985722784
MaxCA,6,35.69303985722784
MaxCAHA,6,35.69303985722784
MaxCAHH,6,35.69303985722784
MaxCD,6,35.69303985722784
MaxCH,6,35.69303985722784
MaxD,6,35.69303985722784
MaxH,6,35.69303985722784
P<2.5,6,35.69303985722784
P>2.5,6,35.69303985722784
PAHA,6,35.69303985722784
PAHH,6,35.69303985722784
PC<2.5,6,35.69303985722784
PC>2.5,6,35.69303985722784
PCAHA,6,35.69303985722784
PCAHH,6,35.69303985722784
PSA,13,77.33491969066031
PSCA,13,77.33491969066031
PSCD,13,77.33491969066031
PSCH,13,77.33491969066031
PSD,13,77.33491969066031
PSH,13,77.33491969066031
Referee,2,11.89767995240928
SBA,10,59.4883997620464
SBD,10,59.4883997620464
SBH,10,59.4883997620464
SJA,10,59.4883997620464
SJD,10,59.4883997620464
SJH,10,59.4883997620464
SOA,1,5.94883997620464
SOD,1,5.94883997620464
SOH,1,5.94883997620464
SYA,1,5.94883997620464
SYD,1,5.94883997620464
SYH,1,5.94883997620464
Time,6,35.69303985722784
Unnamed: 70,1,5.94883997620464
Unnamed: 71,1,5.94883997620464
Unnamed: 72,1,5.94883997620464
VCA,19,113.02795954788817
VCCA,5,29.7441998810232
VCCD,5,29.7441998810232
VCCH,5,29.7441998810232
VCD,19,113.02795954788817
VCH,19,113.02795954788817
WHA,23,136.82331945270673
WHCA,6,35.69303985722784
WHCD,6,35.69303985722784
WHCH,6,35.69303985722784
WHD,23,136.82331945270673
WHH,23,136.82331945270673
