Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
N1,2004/5,13/08/2004,Roda,Vitesse,A,20.93,21.4,1,1,2.0,3.0,1.66,3.4,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.6,4.75,1.7,3.4,4.4,1.7,3.3,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.66,3.3,4.5,0,0,1,1,12,6,0,0,0,3,3,3,2,2,2,3,3,3,0,0,1.285,0.3298,3.7605,0.2567,0.1292,0.0755,2.0286,1.1895,3.5592,0.5864,0.2943,0.0893,2.4629,1.6956,3.4613,0.6885,0.3484,0.0948,H
N1,2004/5,14/08/2004,AZ Alkmaar,Heerenveen,D,50.0,31.2,1,1,1.0,1.0,1.9,3.25,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.35,3.3,1.9,3.25,3.5,1.9,3.2,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,0,0,8,9,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.3829,0.4431,3.7344,0.3204,0.1611,0.0775,1.9714,1.1221,3.5737,0.5692,0.2839,0.0885,2.0607,1.2283,3.5509,0.596,0.3007,0.0898,H
N1,2004/5,14/08/2004,NAC Breda,Utrecht,H,17.45,20.3,1,1,3.0,2.0,2.0,3.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.4,3.4,1.91,3.25,3.5,2.2,3.0,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.2,0,0,0,0,5,14,3,3,3,0,0,0,3,3,3,2,2,2,0,0,1.4229,0.493,3.7224,0.3465,0.1765,0.0784,1.9536,1.1038,3.5776,0.565,0.2845,0.0882,1.975,1.1331,3.571,0.5737,0.2918,0.0885,H
N1,2004/5,14/08/2004,Nijmegen,Willem II,H,16.88,13.98,1,1,2.0,0.0,2.2,3.25,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.25,2.85,2.2,3.2,2.9,2.1,3.1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,0,0,0,0,3,16,3,3,3,0,0,0,2,2,2,0,0,0,0,0,1.5143,0.5947,3.6975,0.3928,0.1971,0.0803,1.9429,1.0892,3.5809,0.5606,0.2797,0.088,1.7893,0.9132,3.6207,0.5104,0.2571,0.0855,H
N1,2004/5,14/08/2004,Roosendaal,PSV Eindhoven,A,10.7,86.85,1,1,2.0,5.0,5.0,3.6,1.57,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.55,1.65,5.0,3.5,1.6,3.8,3.3,1.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.75,3.4,1.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.4,1.5,0,0,0,0,17,2,0,0,0,3,3,3,2,2,2,5,5,5,0,0,2.6464,1.9494,3.4168,0.7366,0.3801,0.0964,2.0536,1.2184,3.5531,0.5933,0.2983,0.0897,1.2636,0.3084,3.7652,0.2441,0.1253,0.0751,A
N1,2004/5,15/08/2004,Den Bosch,Den Haag,H,8.35,9.92,1,1,1.0,0.0,2.2,3.25,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.3,3.0,2.2,3.2,2.9,2.3,3.0,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.3,2.8,0,0,0,0,7,15,3,3,3,0,0,0,1,1,1,0,0,0,0,0,1.5143,0.5953,3.6973,0.3932,0.1985,0.0803,1.9464,1.0949,3.5796,0.5625,0.2827,0.0881,1.7821,0.9055,3.6225,0.5081,0.2564,0.0854,H
N1,2004/5,15/08/2004,Feyenoord,Graafschap,H,66.43,12.28,1,1,6.0,1.0,1.16,5.5,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.25,8.0,1.2,5.5,11.0,1.2,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.17,5.5,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.16,6.0,10.0,0,0,0,0,1,18,3,3,3,0,0,0,6,6,6,1,1,1,0,0,1.0814,0.0963,3.8017,0.089,0.0459,0.072,2.9107,2.2152,3.3792,0.7611,0.3852,0.099,5.0714,4.8027,3.1265,0.947,0.4879,0.1094,H
N1,2004/5,15/08/2004,Groningen,Waalwijk,D,12.95,19.33,1,1,0.0,0.0,2.1,3.25,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.35,3.2,2.1,3.25,3.05,2.2,3.0,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.3,3.25,0,1,0,1,10,11,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.4607,0.5346,3.7122,0.366,0.1856,0.0792,1.9536,1.1035,3.5777,0.5649,0.2843,0.0882,1.8857,1.0258,3.5949,0.544,0.2749,0.0871,H
N1,2004/5,15/08/2004,Twente,Ajax,A,13.25,114.5,1,1,2.0,3.0,4.0,3.5,1.72,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.45,1.75,4.3,3.4,1.7,3.8,3.3,1.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.4,1.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.5,1.61,0,0,0,0,13,4,0,0,0,3,3,3,2,2,2,3,3,3,0,0,2.3521,1.5692,3.4839,0.6671,0.3389,0.0935,2.0393,1.2009,3.5568,0.5889,0.2946,0.0895,1.3,0.3479,3.7565,0.2676,0.1356,0.0758,A
N1,2004/5,20/08/2004,Vitesse,Groningen,H,21.4,12.95,2,2,1.0,0.0,1.8,3.3,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,1.83,3.25,3.9,1.8,3.1,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.4,4.0,0,0,0,0,5,12,6,6,6,1,1,1,4,4,4,0,0,0,0,0,1.3393,0.3924,3.7463,0.293,0.1469,0.0766,1.9714,1.1232,3.5734,0.5698,0.286,0.0885,2.2143,1.4034,3.5156,0.6338,0.3173,0.0919,H
