Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA
N1,13/08/04,Roda JC,Vitesse,A,1.66,3.4,4.5,1.6,3.6,4.75,1.7,3.4,4.4,1.7,3.3,4.0,1.0,1.0,1.0,1.67,3.4,4.33,1.66,3.3,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,14/08/04,AZ Alkmaar,Heerenveen,D,1.9,3.25,3.5,1.95,3.35,3.3,1.9,3.25,3.5,1.9,3.2,3.4,1.0,1.0,1.0,1.91,3.25,3.4,1.8,3.3,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,14/08/04,NAC Breda,Utrecht,H,2.0,3.25,3.25,1.9,3.4,3.4,1.91,3.25,3.5,2.2,3.0,2.9,1.0,1.0,1.0,1.91,3.25,3.4,2.0,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,14/08/04,Nijmegen,Willem II,H,2.2,3.25,2.8,2.2,3.25,2.85,2.2,3.2,2.9,2.1,3.1,3.0,1.0,1.0,1.0,2.25,3.2,2.75,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,14/08/04,Roosendaal,PSV Eindhoven,A,5.0,3.6,1.57,4.5,3.55,1.65,5.0,3.5,1.6,3.8,3.3,1.75,1.0,1.0,1.0,4.75,3.4,1.62,6.0,3.4,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,15/08/04,Den Bosch,Den Haag,H,2.2,3.25,2.8,2.1,3.3,3.0,2.2,3.2,2.9,2.3,3.0,2.7,1.0,1.0,1.0,2.25,3.2,2.75,2.15,3.3,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,15/08/04,Feyenoord,Graafschap,H,1.16,5.5,13.0,1.25,5.25,8.0,1.2,5.5,11.0,1.2,5.0,10.0,1.0,1.0,1.0,1.17,5.5,11.0,1.16,6.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,15/08/04,Groningen,Waalwijk,D,2.1,3.25,3.0,2.0,3.35,3.2,2.1,3.25,3.05,2.2,3.0,2.9,1.0,1.0,1.0,2.1,3.2,3.0,1.95,3.3,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,15/08/04,Twente,Ajax,A,4.0,3.5,1.72,4.0,3.45,1.75,4.3,3.4,1.7,3.8,3.3,1.75,1.0,1.0,1.0,4.33,3.4,1.67,4.5,3.5,1.61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,20/08/04,Vitesse,Groningen,H,1.8,3.3,3.75,1.8,3.3,3.75,1.83,3.25,3.9,1.8,3.1,3.8,1.0,1.0,1.0,1.8,3.25,3.8,1.72,3.4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,21/08/04,Den Haag,Nijmegen,A,2.2,3.25,2.75,2.1,3.3,3.0,2.2,3.3,2.85,2.3,3.0,2.7,1.0,1.0,1.0,2.2,3.1,2.88,1.95,3.3,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,21/08/04,Heerenveen,Roda JC,A,1.9,3.25,3.4,2.0,3.15,3.3,1.9,3.3,3.55,1.8,3.1,3.8,1.0,1.0,1.0,1.91,3.2,3.5,1.9,3.3,3.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,21/08/04,PSV Eindhoven,AZ Alkmaar,H,1.44,3.75,6.0,1.45,3.8,6.0,1.45,3.75,6.5,1.45,3.8,5.4,1.0,1.0,1.0,1.4,3.75,7.0,1.4,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,21/08/04,Waalwijk,Twente,H,2.2,3.25,2.75,2.2,3.25,2.85,2.15,3.2,3.0,2.1,3.0,3.1,1.0,1.0,1.0,2.2,3.25,2.75,2.25,3.3,2.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,22/08/04,Ajax,NAC Breda,H,1.22,5.0,9.0,1.2,6.0,9.0,1.22,5.0,11.0,1.25,4.5,9.0,1.0,1.0,1.0,1.22,5.0,9.5,1.25,5.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,22/08/04,Graafschap,Den Bosch,D,2.3,3.4,2.5,2.1,3.3,3.0,2.35,3.25,2.65,2.2,3.0,2.9,1.0,1.0,1.0,2.2,3.2,2.8,2.2,3.3,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,22/08/04,Utrecht,Roosendaal,H,1.66,3.4,4.33,1.65,3.4,4.6,1.72,3.3,4.45,1.7,3.2,4.2,1.0,1.0,1.0,1.67,3.4,4.33,1.61,3.3,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,22/08/04,Willem II,Feyenoord,A,3.5,3.2,1.9,3.4,3.4,1.9,3.5,3.2,1.95,3.5,3.1,1.9,1.0,1.0,1.0,3.5,3.2,1.91,3.3,3.3,1.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,27/08/04,Den Bosch,Willem II,A,2.5,3.1,2.5,2.3,3.25,2.7,2.5,3.2,2.5,2.3,3.0,2.7,1.0,1.0,1.0,2.5,3.1,2.5,2.5,3.3,2.37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
N1,28/08/04,NAC Breda,PSV Eindhoven,D,4.5,3.5,1.61,4.5,3.55,1.65,4.45,3.5,1.66,4.6,3.4,1.6,1.0,1.0,1.0,4.5,3.3,1.67,4.33,3.4,1.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
