Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
G1,2004/5,18/09/2004,Ergotelis,Iraklis,A,8.58,17.25,1,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.75,3.2,1.9,3.4,3.25,1.95,3.6,3.0,1.9,2.9,3.2,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.3,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,11,5,0,0,0,3,3,3,0,0,0,1,1,1,0,0,1.8536,1.1583,3.5437,0.6249,0.307,0.0859,1.775,1.0411,3.5732,0.5865,0.2836,0.0849,1.3464,0.4669,3.7248,0.3468,0.1692,0.0773,No Consensus
G1,2004/5,18/09/2004,Xanthi,Aris,H,13.78,12.16,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.15,3.45,1.9,3.15,3.75,1.85,3.1,3.8,1.91,3.2,3.4,1.0,1.0,1.0,1.0,1.0,1.0,2.05,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,2,15,3,3,3,0,0,0,3,3,3,1,1,1,0,0,1.3364,0.4534,3.7283,0.3393,0.1656,0.0771,1.7714,1.0352,3.5747,0.5844,0.2814,0.0848,1.9,1.2149,3.5301,0.6394,0.3128,0.0865,No Consensus
G1,2004/5,19/09/2004,Chalkidona,Panionios,H,9.45,14.0,1,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7,2.85,2.6,2.55,2.9,2.65,2.55,2.8,2.65,2.4,2.9,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.1,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,4,14,3,3,3,0,0,0,1,1,1,0,0,0,0,0,1.5414,0.7297,3.6547,0.4734,0.231,0.0811,1.6821,0.9172,3.605,0.5453,0.2646,0.0835,1.5929,0.7957,3.6371,0.4996,0.2409,0.082,No Consensus
G1,2004/5,19/09/2004,Egaleo,AEK,D,15.06,31.63,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.75,3.2,1.9,3.75,3.0,1.95,3.6,3.0,1.9,3.1,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6,3.2,1.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.2,3.2,2.0,0,0,0,0,9,8,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2.0714,1.2485,3.5464,0.6027,0.3076,0.0899,1.9143,1.0575,3.5879,0.5524,0.2772,0.0876,1.4043,0.4677,3.7285,0.333,0.1676,0.078,No Consensus
G1,2004/5,19/09/2004,Kalamaria,OFI Crete,H,6.94,9.95,1,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.65,3.0,2.55,2.6,3.0,2.55,2.45,3.1,2.45,2.5,3.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,6,13,3,3,3,0,0,0,1,1,1,0,0,0,0,0,1.55,0.7392,3.6522,0.4769,0.2314,0.0812,1.7357,0.9882,3.5866,0.5693,0.2754,0.0843,1.5393,0.7239,3.6563,0.4703,0.2269,0.0811,No Consensus
G1,2004/5,19/09/2004,Olympiakos,Kallithea,H,48.6,8.27,1,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.13,6.5,15.0,1.13,6.0,16.0,1.1,7.0,15.0,1.1,6.5,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.14,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,3,10,3,3,3,0,0,0,2,2,2,1,1,1,0,0,1.0429,0.0584,3.8051,0.056,0.0275,0.0716,2.9286,2.5971,3.2654,0.8868,0.4321,0.0953,5.9286,6.6382,2.9062,1.1197,0.5448,0.1034,No Consensus
G1,2004/5,19/09/2004,Panathinaikos,Ionikos,H,56.5,8.41,1,1,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15,6.0,14.0,1.17,5.5,13.0,1.15,6.0,12.0,1.14,6.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.14,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1,16,3,3,3,0,0,0,3,3,3,0,0,0,0,0,1.0536,0.0722,3.804,0.0685,0.0334,0.0717,2.75,2.3509,3.304,0.8549,0.4128,0.0943,5.1429,5.5915,2.9673,1.0872,0.5317,0.1022,No Consensus
G1,2004/5,19/09/2004,PAOK,Kerkyra,H,19.95,8.16,1,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.45,4.0,6.1,1.35,4.25,7.5,1.4,3.9,6.0,1.3,4.2,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.33,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,7,12,3,3,3,0,0,0,1,1,1,0,0,0,0,0,1.1307,0.1782,3.79,0.1576,0.0777,0.0729,2.12,1.5057,3.4635,0.7102,0.345,0.0891,3.15,2.9252,3.2172,0.9286,0.4563,0.0963,No Consensus
G1,2004/5,25/09/2004,Aris,Olympiakos,A,12.16,48.6,2,2,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,4.5,1.28,8.0,4.0,1.33,9.0,4.5,1.25,8.0,3.75,1.36,1.0,1.0,1.0,1.0,1.0,1.0,7.5,3.75,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,4.2,1.35,0,0,0,0,14,2,0,0,0,6,6,6,1,1,1,3,3,3,0,0,4.1071,3.6458,3.2159,0.8877,0.4565,0.106,2.3357,1.5558,3.4861,0.6661,0.3403,0.0933,1.1407,0.1658,3.7924,0.1453,0.075,0.0728,No Consensus
G1,2004/5,25/09/2004,Iraklis,Chalkidona,H,17.25,9.45,2,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.15,4.75,1.73,3.2,4.25,1.7,3.0,4.6,1.73,3.25,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,3,9,6,6,6,3,3,3,2,2,2,1,1,1,0,0,1.26,0.349,3.7542,0.277,0.1335,0.0755,1.775,1.0412,3.5731,0.5866,0.2841,0.0849,2.2093,1.6301,3.4368,0.7378,0.3604,0.09,No Consensus
