Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA
G1,18/09/04,Ergotelis,Iraklis,A,1.0,1.0,1.0,3.75,3.2,1.9,3.4,3.25,1.95,3.6,3.0,1.9,2.9,3.2,2.1,3.3,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
G1,18/09/04,Xanthi,Aris,H,1.0,1.0,1.0,2.0,3.15,3.45,1.9,3.15,3.75,1.85,3.1,3.8,1.91,3.2,3.4,2.05,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
G1,19/09/04,Chalkidona,Panionios,H,1.0,1.0,1.0,2.7,2.85,2.6,2.55,2.9,2.65,2.55,2.8,2.65,2.4,2.9,2.7,2.38,3.1,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
G1,19/09/04,Egaleo,AEK,D,1.0,1.0,1.0,3.75,3.2,1.9,3.75,3.0,1.95,3.6,3.0,1.9,3.1,3.2,2.0,3.6,3.2,1.91,3.2,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
G1,19/09/04,Kalamaria,OFI,H,1.0,1.0,1.0,2.65,3.0,2.55,2.6,3.0,2.55,2.45,3.1,2.45,2.5,3.0,2.5,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
G1,19/09/04,Olympiakos,Kalithea,H,1.0,1.0,1.0,1.13,6.5,15.0,1.13,6.0,16.0,1.1,7.0,15.0,1.1,6.5,15.0,1.14,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
G1,19/09/04,Panathinaikos,Ionikos,H,1.0,1.0,1.0,1.15,6.0,14.0,1.17,5.5,13.0,1.15,6.0,12.0,1.14,6.0,11.0,1.14,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
G1,19/09/04,PAOK,Kerkyra,H,1.0,1.0,1.0,1.45,4.0,6.1,1.35,4.25,7.5,1.4,3.9,6.0,1.3,4.2,8.0,1.33,4.33,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
G1,25/09/04,Aris,Olympiakos,A,1.0,1.0,1.0,10.0,4.5,1.28,8.0,4.0,1.33,9.0,4.5,1.25,8.0,3.75,1.36,7.5,3.75,1.4,7.0,4.2,1.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
G1,25/09/04,Iraklis,Chalkidona,H,1.0,1.0,1.0,1.75,3.15,4.75,1.73,3.2,4.25,1.7,3.0,4.6,1.73,3.25,4.0,1.73,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
