Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
T1,2004/5,06/08/2004,Rizespor,Fenerbahce,D,22.85,90.6,1,1,2.0,2.0,6.0,3.4,1.5,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.6,1.5,6.0,3.6,1.5,5.4,3.8,1.45,5.5,3.6,1.53,1.0,1.0,1.0,1.0,1.0,1.0,5.5,3.4,1.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.4,1.5,0,0,0,0,7,6,1,1,1,1,1,1,2,2,2,2,2,2,0,0,3.3857,2.3931,3.41,0.7068,0.3623,0.1068,2.2714,1.2753,3.5669,0.5614,0.288,0.0938,1.2536,0.2547,3.7774,0.2032,0.1046,0.0744,A
T1,2004/5,07/08/2004,Denizlispor,Gaziantepspor,H,27.24,38.6,1,1,2.0,1.0,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.3,3.0,2.2,3.2,2.9,2.0,3.1,3.2,2.1,3.25,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.0,0,0,0,0,4,14,3,3,3,0,0,0,2,2,2,1,1,1,0,0,1.5679,0.5706,3.7099,0.3639,0.1879,0.0808,2.1071,1.1079,3.5977,0.5258,0.2663,0.0911,1.975,0.9799,3.6224,0.4962,0.2564,0.0888,H
T1,2004/5,07/08/2004,Genclerbirligi,Sakaryaspor,H,46.95,14.85,1,1,1.0,0.0,1.5,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.45,3.7,6.5,1.45,3.7,6.6,1.45,3.8,5.4,1.53,3.6,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.5,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.75,7.0,0,0,0,0,5,15,3,3,3,0,0,0,1,1,1,0,0,0,0,0,1.2343,0.236,3.7809,0.1912,0.0994,0.074,2.3179,1.3212,3.5589,0.57,0.2922,0.0945,3.5714,2.6001,3.3867,0.728,0.3814,0.1083,H
T1,2004/5,07/08/2004,Kayserispor,Trabzonspor,A,30.03,63.6,1,1,0.0,3.0,4.33,3.4,1.66,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.5,1.6,4.2,3.5,1.7,4.4,3.3,1.65,4.33,3.6,1.67,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.4,1.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.4,3.4,1.65,0,0,0,0,18,1,0,0,0,3,3,3,0,0,0,3,3,3,0,0,2.7257,1.734,3.4932,0.6362,0.3271,0.1,2.2214,1.2231,3.5763,0.5506,0.2804,0.093,1.3286,0.3292,3.7626,0.2478,0.1264,0.0758,A
T1,2004/5,07/08/2004,Malatyaspor,Besiktas,D,33.95,76.25,1,1,1.0,1.0,3.2,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3,3.2,2.0,3.1,3.2,2.1,3.5,3.1,1.9,3.5,3.25,1.91,1.0,1.0,1.0,1.0,1.0,1.0,3.5,3.25,1.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.2,2.2,0,0,0,0,12,9,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2.1357,1.1487,3.5894,0.5378,0.2812,0.0915,2.1,1.1005,3.5991,0.524,0.2646,0.091,1.5014,0.5068,3.724,0.3376,0.1763,0.0794,A
T1,2004/5,08/08/2004,A. Sebatspor,Ankaraspor,A,26.73,32.75,1,1,1.0,3.0,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.35,2.75,2.25,3.2,2.85,2.2,3.0,3.9,2.2,3.25,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.2,0,0,0,0,16,2,0,0,0,3,3,3,1,1,1,3,3,3,0,0,1.5929,0.5955,3.7043,0.3738,0.1915,0.0813,2.1071,1.1094,3.5973,0.5265,0.2685,0.0911,2.0,1.0385,3.6097,0.5193,0.2727,0.089,H
T1,2004/5,08/08/2004,Galatasaray,Konyaspor,H,79.65,37.25,1,1,3.0,1.0,1.36,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.35,4.1,7.75,1.35,4.0,8.3,1.4,3.9,6.0,1.33,4.33,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.36,4.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.75,7.0,0,0,0,0,3,17,3,3,3,0,0,0,3,3,3,1,1,1,0,0,1.1821,0.183,3.79,0.1548,0.0798,0.0731,2.5057,1.5102,3.5274,0.6027,0.3092,0.0972,4.1464,3.182,3.3329,0.7674,0.4013,0.1124,H
T1,2004/5,08/08/2004,Istanbulspor,Diyarbakirspor,D,27.55,22.93,1,1,1.0,1.0,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.15,2.8,2.25,3.2,2.85,2.2,3.0,2.9,2.2,3.25,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,2.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.1,2.85,0,1,0,1,11,10,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.6071,0.6074,3.7018,0.3779,0.1905,0.0816,2.0821,1.0837,3.6022,0.5205,0.2653,0.0907,1.9164,0.9171,3.6353,0.4785,0.2426,0.0878,H
T1,2004/5,08/08/2004,Samsunspor,Ankaragucu,D,34.65,32.76,1,1,1.0,1.0,1.83,3.25,3.6,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.3,3.2,2.0,3.2,3.35,1.8,3.3,3.6,2.0,3.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.0,0,0,0,0,13,8,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.4807,0.4858,3.7287,0.3281,0.1709,0.0789,2.125,1.1253,3.5944,0.5296,0.2671,0.0914,2.1607,1.1694,3.5858,0.5412,0.2813,0.092,H
T1,2004/5,13/08/2004,Gaziantepspor,Galatasaray,H,38.6,79.65,2,2,1.0,0.0,3.0,3.2,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.35,3.3,1.95,2.95,3.25,2.1,3.1,3.0,2.1,3.0,3.2,2.1,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.25,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.2,2.3,0,0,0,0,9,7,3,3,3,3,3,3,2,2,2,3,3,3,0,0,1.9871,0.9985,3.6184,0.5025,0.263,0.089,2.1,1.1018,3.5988,0.5247,0.267,0.091,1.5607,0.5651,3.7111,0.3621,0.1878,0.0806,A
