Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
B1,2004/5,06/08/2004,Mouscron,Anderlecht,H,15.6,63.6,1,1,2.0,0.0,3.5,3.25,1.9,1.0,1.0,1.0,1.0,1.0,1.0,3.25,3.4,1.95,3.6,3.25,1.9,3.5,3.1,1.9,3.75,3.5,1.727,1.0,1.0,1.0,1.0,1.0,1.0,3.6,3.25,1.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.8,3.5,1.72,1,0,0,1,2,17,3,3,3,0,0,0,2,2,2,0,0,0,0,0,2.2857,1.2912,3.564,0.5649,0.2913,0.094,2.1607,1.1648,3.5868,0.5391,0.2773,0.092,1.4248,0.4289,3.7413,0.301,0.1568,0.0778,A
B1,2004/5,07/08/2004,Beveren,Club Brugge,D,14.3,53.03,1,1,1.0,1.0,4.0,3.5,1.72,1.0,1.0,1.0,1.0,1.0,1.0,4.75,3.6,1.65,4.2,3.5,1.7,5.4,3.8,1.45,5.0,3.5,1.571,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.4,1.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.4,1.66,0,0,0,0,9,10,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2.7629,1.7977,3.4825,0.6507,0.344,0.1002,2.2643,1.2675,3.5683,0.5598,0.2864,0.0937,1.3201,0.3266,3.7631,0.2474,0.1304,0.0756,A
B1,2004/5,07/08/2004,Cercle Brugge,Lokeren,D,10.98,18.73,1,1,2.0,2.0,2.37,3.2,2.62,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.25,2.7,2.4,3.15,2.65,2.5,3.0,2.5,2.4,3.25,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6,3.1,2.4,0,1,0,1,7,8,1,1,1,1,1,1,2,2,2,2,2,2,0,0,1.7121,0.715,3.678,0.4176,0.2149,0.0838,2.075,1.0767,3.6036,0.5189,0.2647,0.0906,1.7836,0.7865,3.6625,0.441,0.2272,0.0852,H
B1,2004/5,07/08/2004,FC Brussels,Genk,A,10.22,30.45,1,1,0.0,1.0,3.0,3.25,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.2,3.35,2.0,3.35,3.2,2.0,3.1,3.0,2.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1,3.1,2.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.2,3.2,2.0,0,0,0,0,15,3,0,0,0,3,3,3,0,0,0,1,1,1,0,0,1.925,1.0705,3.585,0.5561,0.2803,0.0877,1.9357,1.0829,3.5822,0.5594,0.282,0.0879,1.45,0.5206,3.7157,0.3591,0.1805,0.079,A
B1,2004/5,07/08/2004,Gent,Germinal,A,26.68,15.67,1,1,0.0,1.0,2.0,3.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.25,3.0,1.95,3.2,3.5,1.9,3.1,3.5,1.909,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.4,3.6,0,0,1,1,16,4,0,0,0,3,3,3,0,0,0,1,1,1,0,0,1.4692,0.4732,3.7315,0.3221,0.1676,0.0787,2.1143,1.1159,3.5961,0.5278,0.2686,0.0913,2.2036,1.2113,3.5781,0.5497,0.2837,0.0927,H
B1,2004/5,07/08/2004,Lierse,Standard,D,14.83,43.55,1,1,1.0,1.0,2.8,3.25,2.2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.3,2.1,2.85,3.2,2.25,2.7,3.0,2.3,2.75,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.1,2.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.87,3.1,2.2,0,1,0,1,11,12,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.9121,0.9143,3.6358,0.4782,0.2449,0.0877,2.0821,1.0842,3.6021,0.5207,0.2662,0.0907,1.6107,0.6121,3.7007,0.38,0.1943,0.0817,A
B1,2004/5,07/08/2004,St Truiden,Bergen,D,12.1,15.63,1,1,0.0,0.0,1.83,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.35,3.2,1.8,3.3,4.0,1.9,3.1,3.5,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,0,0,14,13,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.4314,0.4343,3.7401,0.3034,0.1573,0.0779,2.125,1.1263,3.5942,0.53,0.2695,0.0914,2.3179,1.3286,3.5572,0.5732,0.2982,0.0944,H
B1,2004/5,08/08/2004,Charleroi,Louvieroise,A,12.15,17.8,1,1,2.0,5.0,2.3,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.25,2.7,2.25,3.1,2.9,2.2,3.0,2.9,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.1,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.2,2.9,0,0,0,0,18,1,0,0,0,3,3,3,2,2,2,5,5,5,0,0,1.6214,0.6224,3.6984,0.3839,0.1957,0.0819,2.075,1.0765,3.6036,0.5188,0.2642,0.0906,1.9036,0.9056,3.6376,0.4758,0.2435,0.0875,H
B1,2004/5,08/08/2004,Oostende,Westerlo,D,8.6,13.4,1,1,3.0,3.0,2.7,3.2,2.3,1.0,1.0,1.0,1.0,1.0,1.0,2.9,3.2,2.2,2.65,3.25,2.35,2.6,3.0,2.4,2.75,3.25,2.2,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.25,2.4,0,1,0,1,5,6,1,1,1,1,1,1,3,3,3,3,3,3,0,0,1.8464,0.8505,3.6489,0.4606,0.238,0.0864,2.0964,1.098,3.5995,0.5237,0.2659,0.091,1.65,0.6525,3.6917,0.3954,0.2038,0.0825,A
B1,2004/5,13/08/2004,Standard,Charleroi,A,43.55,12.15,2,2,1.0,2.0,1.33,4.33,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,8.25,1.33,4.5,7.25,1.3,4.2,8.0,1.3,4.33,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.33,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.33,7.0,0,0,1,1,14,9,1,1,1,3,3,3,2,2,2,4,4,4,0,0,1.1586,0.1589,3.7937,0.1372,0.07,0.0728,2.68,1.6815,3.5013,0.6274,0.3182,0.0995,4.3214,3.34,3.3215,0.7729,0.3996,0.1135,H
B1,2004/5,14/08/2004,Anderlecht,St Truiden,H,63.6,12.1,2,2,2.0,1.0,1.22,5.5,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,8.25,1.25,5.0,9.0,1.33,4.0,7.5,1.25,4.5,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.22,5.0,9.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,4.5,10.0,0,0,0,0,8,15,3,3,3,1,1,1,2,2,2,1,1,1,0,0,1.13,0.1327,3.7974,0.1175,0.0619,0.0724,2.8571,1.8844,3.4709,0.6595,0.3464,0.1014,4.9821,4.0294,3.2713,0.8088,0.4242,0.1169,H
B1,2004/5,14/08/2004,Genk,Mouscron,D,30.45,15.6,2,2,0.0,0.0,1.8,3.25,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.35,3.65,1.7,3.3,4.5,1.75,3.2,4.0,1.67,3.25,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.2,4.33,0,0,0,0,7,4,4,4,4,4,4,4,1,1,1,2,2,2,0,0,1.3779,0.3802,3.7519,0.2759,0.1432,0.0768,2.1286,1.1291,3.5937,0.5305,0.2682,0.0915,2.5557,1.5713,3.5171,0.6148,0.3214,0.0978,H
