Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
F1,2004/5,06/08/2004,Nice,Lyon,A,34.45,133.9,1,1,0.0,1.0,3.25,3.0,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.2,3.5,3.1,2.0,3.2,2.9,2.1,3.2,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.25,3.0,2.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.87,3.1,2.2,0,0,0,0,18,4,0,0,0,3,3,3,0,0,0,1,1,1,0,0,2.0907,1.0986,3.5991,0.5255,0.2728,0.0908,2.0214,1.0234,3.6139,0.5063,0.2587,0.0897,1.55,0.5526,3.7139,0.3565,0.184,0.0804,A
F1,2004/5,07/08/2004,Bastia,Strasbourg,H,31.85,35.1,1,1,2.0,1.0,2.1,3.0,3.25,1.0,1.0,1.0,1.0,1.0,1.0,2.05,3.0,3.45,2.12,3.0,3.25,2.2,2.9,3.0,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.0,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.2,0,0,0,0,2,14,3,3,3,0,0,0,2,2,2,1,1,1,0,0,1.5479,0.5493,3.7146,0.3549,0.1819,0.0804,2.0214,1.0241,3.6138,0.5066,0.2592,0.0896,2.1,1.1049,3.5981,0.5261,0.2711,0.091,H
F1,2004/5,07/08/2004,Caen,Istres,D,22.7,18.5,1,1,1.0,1.0,1.9,3.2,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.1,3.75,1.95,3.0,3.75,1.8,3.1,3.8,2.0,3.0,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.1,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.0,3.75,0,0,0,0,9,10,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.4543,0.456,3.7354,0.3136,0.1612,0.0784,2.0357,1.0369,3.6113,0.5094,0.2589,0.0899,2.3429,1.346,3.5546,0.5745,0.2931,0.0949,H
F1,2004/5,07/08/2004,Lille,Auxerre,H,56.25,47.85,1,1,2.0,0.0,2.37,3.0,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.2,2.6,2.45,3.05,2.65,2.4,2.9,2.7,2.4,3.25,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.0,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.0,2.7,0,0,0,0,1,20,3,3,3,0,0,0,2,2,2,0,0,0,0,0,1.6979,0.6981,3.6817,0.4112,0.2074,0.0835,2.0286,1.0318,3.6122,0.5086,0.2611,0.0898,1.8357,0.8382,3.6516,0.4566,0.2346,0.0862,H
F1,2004/5,07/08/2004,Marseille,Bordeaux,H,78.6,52.6,1,1,1.0,0.0,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.5,5.0,1.7,3.3,4.5,1.75,3.2,4.0,1.727,3.2,4.333,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.66,3.3,4.5,0,0,0,0,5,16,3,3,3,0,0,0,1,1,1,0,0,0,0,0,1.3505,0.3523,3.7578,0.2609,0.1347,0.0762,2.1393,1.1415,3.5913,0.5336,0.272,0.0917,2.7138,1.7252,3.4943,0.6357,0.329,0.0998,H
F1,2004/5,07/08/2004,Metz,Nantes,H,35.7,47.35,1,1,1.0,0.0,2.5,3.0,2.62,1.0,1.0,1.0,1.0,1.0,1.0,2.65,3.15,2.4,2.45,3.1,2.65,2.3,3.0,2.7,2.4,3.25,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.0,2.7,0,0,0,0,6,17,3,3,3,0,0,0,1,1,1,0,0,0,0,0,1.735,0.7398,3.6725,0.4264,0.2215,0.0842,2.0357,1.0378,3.6111,0.5098,0.2602,0.0899,1.7907,0.7943,3.6608,0.4436,0.229,0.0853,H
F1,2004/5,07/08/2004,Stade Rennais FC,Paris SG,H,61.3,81.75,1,1,2.0,1.0,2.75,3.0,2.37,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.1,2.2,2.85,3.0,2.35,2.7,2.9,2.4,2.75,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.0,2.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.87,3.0,2.25,0,0,0,0,3,13,3,3,3,0,0,0,2,2,2,1,1,1,0,0,1.905,0.9075,3.6372,0.4764,0.2442,0.0875,2.0143,1.0162,3.6154,0.5045,0.2573,0.0895,1.6586,0.6608,3.6899,0.3984,0.2048,0.0827,A
F1,2004/5,07/08/2004,Sochaux,Ajaccio,H,49.65,24.55,1,1,1.0,0.0,1.57,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.55,3.55,5.5,1.6,3.3,5.5,1.6,3.4,4.6,1.533,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.57,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.57,3.5,5.0,0,0,0,0,8,15,3,3,3,0,0,0,1,1,1,0,0,0,0,0,1.2852,0.2857,3.7714,0.2223,0.1133,0.0749,2.2107,1.2119,3.5784,0.5482,0.2782,0.0928,3.15,2.1629,3.4361,0.6866,0.3533,0.1046,H
F1,2004/5,07/08/2004,St Etienne,Monaco,A,37.5,103.8,1,1,0.0,1.0,3.25,3.0,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.5,3.2,1.95,3.1,3.1,2.15,3.0,2.9,2.2,3.2,3.0,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.1,3.0,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.87,3.0,2.25,0,0,0,0,19,7,0,0,0,3,3,3,0,0,0,1,1,1,0,0,2.0729,1.0808,3.6025,0.5214,0.271,0.0905,2.0143,1.0162,3.6154,0.5045,0.2573,0.0895,1.5679,0.5715,3.7096,0.3645,0.1889,0.0808,A
F1,2004/5,07/08/2004,Toulouse,Lens,D,37.1,52.5,1,1,0.0,0.0,2.37,3.0,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.05,2.7,2.4,3.0,2.75,2.4,2.9,2.7,2.4,3.2,2.625,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.0,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.0,2.8,0,1,0,1,12,11,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.6893,0.6897,3.6836,0.4083,0.2063,0.0833,2.0107,1.0125,3.6161,0.5035,0.2564,0.0895,1.8661,0.867,3.6456,0.4646,0.2363,0.0868,H
F1,2004/5,14/08/2004,Ajaccio,Metz,A,24.55,35.7,2,2,1.0,2.0,2.1,3.0,3.25,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.0,3.1,2.15,3.0,3.2,2.2,2.8,3.1,2.0,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,2.2,2.88,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.1,3.5,0,0,1,1,17,2,0,0,0,6,6,6,1,1,1,3,3,3,0,0,1.5571,0.5612,3.7119,0.3604,0.1871,0.0806,1.9986,1.0023,3.618,0.5015,0.2582,0.0892,2.1107,1.1142,3.5964,0.5279,0.2704,0.0912,H
F1,2004/5,14/08/2004,Auxerre,Stade Rennais FC,H,47.85,61.3,2,2,3.0,1.0,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.3,4.5,1.77,3.15,4.4,1.85,3.1,3.6,1.8,3.2,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.2,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.1,4.0,0,0,0,0,10,11,3,3,3,3,3,3,3,3,3,3,3,3,0,0,1.3886,0.3901,3.7498,0.2809,0.1446,0.077,2.0929,1.094,3.6003,0.5227,0.2657,0.0909,2.5593,1.5725,3.5171,0.6144,0.3199,0.0978,H
F1,2004/5,14/08/2004,Bordeaux,Nice,H,52.6,34.45,2,2,5.0,1.0,1.83,3.1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.1,4.3,1.8,3.1,4.3,1.8,3.0,4.0,1.73,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.83,3.1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.1,4.5,0,0,0,0,9,20,3,3,3,0,0,0,5,5,5,1,1,1,0,0,1.3936,0.3947,3.7488,0.2832,0.1451,0.0771,2.05,1.0507,3.6087,0.5125,0.2591,0.0902,2.6021,1.6076,3.5121,0.6178,0.3175,0.0985,H
