Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA
F1,06/08/04,Nice,Lyon,A,3.25,3.0,2.1,3.0,3.0,2.2,3.5,3.1,2.0,3.2,2.9,2.1,3.2,3.2,2.0,3.25,3.0,2.1,2.87,3.1,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1,07/08/04,Bastia,Strasbourg,H,2.1,3.0,3.25,2.05,3.0,3.45,2.12,3.0,3.25,2.2,2.9,3.0,2.1,3.2,3.0,2.1,3.0,3.25,2.0,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1,07/08/04,Caen,Istres,D,1.9,3.2,3.6,1.9,3.1,3.75,1.95,3.0,3.75,1.8,3.1,3.8,2.0,3.0,3.4,1.91,3.1,3.75,1.9,3.0,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1,07/08/04,Lille,Auxerre,H,2.37,3.0,2.75,2.4,3.2,2.6,2.45,3.05,2.65,2.4,2.9,2.7,2.4,3.25,2.5,2.38,3.0,2.8,2.37,3.0,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1,07/08/04,Marseille,Bordeaux,H,1.72,3.25,4.33,1.6,3.5,5.0,1.7,3.3,4.5,1.75,3.2,4.0,1.727,3.2,4.333,1.75,3.2,4.33,1.66,3.3,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1,07/08/04,Metz,Nantes,H,2.5,3.0,2.62,2.65,3.15,2.4,2.45,3.1,2.65,2.3,3.0,2.7,2.4,3.25,2.5,2.62,3.0,2.5,2.37,3.0,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1,07/08/04,Rennes,Paris SG,H,2.75,3.0,2.37,3.0,3.1,2.2,2.85,3.0,2.35,2.7,2.9,2.4,2.75,3.2,2.25,2.75,3.0,2.4,2.87,3.0,2.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1,07/08/04,Sochaux,Ajaccio,H,1.57,3.4,5.5,1.55,3.55,5.5,1.6,3.3,5.5,1.6,3.4,4.6,1.533,3.4,5.5,1.57,3.4,5.5,1.57,3.5,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1,07/08/04,St Etienne,Monaco,A,3.25,3.0,2.1,3.5,3.2,1.95,3.1,3.1,2.15,3.0,2.9,2.2,3.2,3.0,2.1,3.1,3.0,2.2,2.87,3.0,2.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1,07/08/04,Toulouse,Lens,D,2.37,3.0,2.75,2.4,3.05,2.7,2.4,3.0,2.75,2.4,2.9,2.7,2.4,3.2,2.625,2.38,3.0,2.8,2.3,3.0,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1,14/08/04,Ajaccio,Metz,A,2.1,3.0,3.25,2.2,3.0,3.1,2.15,3.0,3.2,2.2,2.8,3.1,2.0,3.2,3.2,2.2,2.88,3.2,1.95,3.1,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1,14/08/04,Auxerre,Rennes,H,1.72,3.25,4.33,1.7,3.3,4.5,1.77,3.15,4.4,1.85,3.1,3.6,1.8,3.2,4.0,1.8,3.2,4.0,1.8,3.1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F1,14/08/04,Bordeaux,Nice,H,1.83,3.1,4.0,1.8,3.1,4.3,1.8,3.1,4.3,1.8,3.0,4.0,1.73,3.2,4.33,1.83,3.1,4.0,1.72,3.1,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
