Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
P1,2004/5,28/08/2004,Belenenses,Maritimo,H,1.0,1.0,1,1,3.0,0.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.8,2.25,3.2,2.8,2.2,3.0,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.2,2.9,0,0,0,0,3,12,3,3,3,0,0,0,3,3,3,0,0,0,0,0,1.525,0.6067,3.6946,0.3979,0.1989,0.0805,1.9286,1.0733,3.5844,0.5565,0.2778,0.0878,1.7786,0.8999,3.6238,0.506,0.2536,0.0853,H
P1,2004/5,28/08/2004,Sp Lisbon,Gil Vicente,H,1.0,1.0,1,1,3.0,2.0,1.25,4.5,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.35,4.0,8.0,1.35,4.0,8.0,1.3,4.2,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.29,4.5,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,4.5,10.0,0,0,0,0,2,17,3,3,3,0,0,0,3,3,3,2,2,2,0,0,1.1279,0.1501,3.7948,0.133,0.0684,0.0726,2.4071,1.6316,3.4726,0.6778,0.3432,0.0942,4.2857,3.8439,3.1996,0.8969,0.4571,0.1068,H
P1,2004/5,29/08/2004,Beira Mar,Benfica,A,1.0,1.0,1,1,2.0,3.0,4.33,3.4,1.66,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.5,1.65,4.5,3.3,1.7,4.4,3.3,1.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.5,1.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.3,1.66,0,0,0,0,5,14,0,0,0,3,3,3,2,2,2,3,3,3,0,0,2.4807,1.7103,3.4591,0.6895,0.3434,0.095,2.0214,1.1809,3.561,0.5842,0.293,0.0892,1.2814,0.3253,3.7615,0.2539,0.1272,0.0754,A
P1,2004/5,29/08/2004,Boavista,Nacional,H,1.0,1.0,1,1,1.0,0.0,1.72,3.4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.35,1.9,3.2,3.65,1.8,3.1,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,0,0,13,4,3,3,3,0,0,0,1,1,1,0,0,0,0,0,1.3664,0.4273,3.7381,0.3127,0.1601,0.0772,1.9571,1.1069,3.577,0.5656,0.2842,0.0883,2.1464,1.3309,3.5297,0.62,0.3153,0.091,H
P1,2004/5,29/08/2004,Estoril,Rio Ave,D,1.0,1.0,1,1,0.0,0.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.2,2.75,2.3,3.2,2.75,2.2,2.9,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.2,2.9,0,1,0,1,6,15,0,0,0,1,1,1,2,2,2,0,0,0,0,0,1.5321,0.6155,3.6924,0.4017,0.202,0.0807,1.9214,1.0665,3.5858,0.555,0.278,0.0877,1.7786,0.9013,3.6235,0.5068,0.255,0.0853,H
P1,2004/5,29/08/2004,Moreirense,Guimaraes,D,1.0,1.0,1,1,0.0,0.0,1.9,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.25,3.75,1.85,3.25,3.75,2.0,3.1,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.15,0,0,0,0,12,11,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.3936,0.4563,3.7312,0.3274,0.1658,0.0778,1.95,1.0976,3.579,0.5629,0.2807,0.0882,2.0536,1.2264,3.5511,0.5972,0.305,0.0896,H
P1,2004/5,29/08/2004,Penafiel,Setubal,A,1.0,1.0,1,1,1.0,4.0,1.9,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.25,3.75,1.85,3.25,3.75,2.1,2.9,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.25,3.3,0,0,1,1,10,9,0,0,0,3,3,3,1,1,1,4,4,4,0,0,1.3971,0.4619,3.7299,0.3306,0.1681,0.0778,1.9357,1.0837,3.582,0.5599,0.2812,0.0879,2.0643,1.2366,3.549,0.599,0.305,0.0898,H
P1,2004/5,30/08/2004,Academica,Sp Braga,D,1.0,1.0,1,1,2.0,2.0,2.3,3.25,2.62,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.2,2.75,2.3,3.2,2.75,2.4,2.9,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.1,2.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.35,3.1,2.65,0,1,0,1,16,1,1,1,1,1,1,1,2,2,2,2,2,2,0,0,1.5736,0.6628,3.6808,0.4212,0.2108,0.0815,1.9107,1.0543,3.5885,0.5518,0.2781,0.0875,1.7207,0.833,3.6396,0.4841,0.2426,0.0843,H
P1,2004/5,05/09/2004,Guimaraes,Academica,H,1.0,1.0,2,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.4,3.8,1.8,3.25,4.0,1.8,3.1,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,3.8,0,0,0,0,7,8,4,4,4,1,1,1,2,2,2,3,3,3,0,0,1.2929,0.3936,3.7434,0.3045,0.1472,0.0762,1.8036,1.0796,3.5635,0.5986,0.2898,0.0853,1.9857,1.3276,3.5035,0.6686,0.3253,0.0876,No Consensus
P1,2004/5,10/09/2004,Gil Vicente,Boavista,A,1.0,1.0,2,2,0.0,1.0,2.6,3.1,2.4,1.0,1.0,1.0,1.0,1.0,1.0,2.55,3.2,2.45,2.5,3.2,2.5,2.5,3.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,0,0,0,0,5,14,0,0,0,6,6,6,2,2,2,2,2,2,0,0,1.6536,0.7551,3.6583,0.4566,0.2279,0.083,1.9071,1.0484,3.5899,0.5497,0.2753,0.0875,1.6321,0.7304,3.6643,0.4475,0.2234,0.0826,A
