Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
E0,2004/5,14/08/2004,Aston Villa,Southampton,H,84.18,85.48,1,1,2.0,0.0,1.9,3.1,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.25,4.0,2.0,3.25,3.5,1.85,3.1,3.6,1.73,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.1,4.0,0,0,0,0,3,18,3,3,3,0,0,0,2,2,2,0,0,0,0,0,1.435,0.4387,3.7391,0.3057,0.1592,0.078,2.0893,1.0904,3.601,0.5219,0.2651,0.0908,2.465,1.4809,3.5314,0.6008,0.3145,0.0965,H
E0,2004/5,14/08/2004,Blackburn,West Brom,D,73.7,50.4,1,1,1.0,1.0,1.8,3.1,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,4.5,1.77,3.3,4.75,1.8,3.1,3.8,1.67,3.25,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.73,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,2.87,4.0,0,0,0,0,8,16,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.3907,0.3935,3.749,0.2829,0.1468,0.0771,2.0907,1.0966,3.5996,0.5245,0.2713,0.0908,2.7057,1.7271,3.4933,0.6383,0.3351,0.0996,H
E0,2004/5,14/08/2004,Bolton,Charlton,H,63.58,57.8,1,1,4.0,1.0,2.25,3.2,3.1,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.3,2.25,3.2,3.1,2.2,3.0,2.9,2.2,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.2,2.9,0,0,0,0,2,19,3,3,3,0,0,0,4,4,4,1,1,1,0,0,1.6,0.6012,3.7031,0.3757,0.192,0.0815,2.0714,1.0733,3.6042,0.5182,0.2635,0.0905,2.0129,1.0178,3.6149,0.5056,0.261,0.0895,H
E0,2004/5,14/08/2004,Man City,Fulham,D,94.3,65.23,1,1,1.0,1.0,2.1,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.3,2.1,3.25,3.25,2.0,3.1,3.2,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.05,3.1,3.2,0,0,0,0,12,10,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.5321,0.5331,3.7183,0.3479,0.1773,0.08,2.0964,1.0973,3.5997,0.5234,0.2654,0.091,2.125,1.1286,3.5936,0.5311,0.2729,0.0914,H
E0,2004/5,14/08/2004,Middlesbrough,Newcastle,D,95.43,125.9,1,1,2.0,2.0,2.3,3.25,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.2,2.7,2.35,3.15,2.95,2.3,3.1,2.6,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.25,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.0,2.7,0,1,0,1,5,6,1,1,1,1,1,1,2,2,2,2,2,2,0,0,1.6621,0.663,3.6894,0.3989,0.2031,0.0828,2.0821,1.0837,3.6022,0.5205,0.2653,0.0907,1.8929,0.8978,3.6391,0.4743,0.2456,0.0873,H
E0,2004/5,14/08/2004,Norwich,Crystal Palace,D,30.95,38.53,1,1,1.0,1.0,2.1,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.3,2.15,3.2,3.2,1.9,3.1,3.5,1.91,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.25,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.1,3.3,0,0,0,0,13,9,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.5186,0.5228,3.7205,0.3442,0.179,0.0797,2.0929,1.0936,3.6004,0.5226,0.2647,0.0909,2.1714,1.1744,3.5851,0.5408,0.2773,0.0922,H
E0,2004/5,14/08/2004,Portsmouth,Birmingham,D,64.0,106.93,1,1,1.0,1.0,2.4,3.2,2.87,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,3.0,2.45,3.2,2.8,2.3,3.0,2.7,2.38,3.2,2.6,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.2,2.62,0,1,0,1,14,7,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.67,0.6716,3.6875,0.4022,0.206,0.0829,2.0857,1.0868,3.6017,0.5211,0.2632,0.0908,1.885,0.8899,3.6407,0.4721,0.2445,0.0871,H
E0,2004/5,14/08/2004,Tottenham,Liverpool,D,127.2,222.13,1,1,1.0,1.0,3.1,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.2,2.25,2.75,3.2,2.4,2.7,3.0,2.3,2.75,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.2,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.1,2.3,0,1,0,1,15,11,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.9321,0.9382,3.6308,0.4856,0.2515,0.088,2.0786,1.0798,3.603,0.5195,0.2634,0.0907,1.6393,0.6406,3.6944,0.3908,0.1997,0.0823,A
E0,2004/5,15/08/2004,Chelsea,Man United,H,331.48,293.23,1,1,1.0,0.0,2.1,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.1,3.2,2.1,3.25,3.35,2.0,3.1,3.2,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.25,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.2,0,0,0,0,4,17,3,3,3,0,0,0,1,1,1,0,0,0,0,0,1.5393,0.5406,3.7166,0.3512,0.1795,0.0802,2.0964,1.0973,3.5997,0.5234,0.2654,0.091,2.1107,1.1139,3.5964,0.5277,0.2704,0.0912,H
E0,2004/5,15/08/2004,Everton,Arsenal,A,74.28,247.0,1,1,1.0,4.0,6.0,3.4,1.61,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.4,1.7,4.75,3.3,1.77,4.0,3.2,1.75,5.0,3.25,1.62,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.3,1.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.5,3.1,1.61,0,0,0,0,20,1,0,0,0,3,3,3,1,1,1,4,4,4,0,0,3.0179,2.0582,3.4472,0.682,0.3597,0.1031,2.1393,1.1415,3.5913,0.5336,0.2727,0.0917,1.3379,0.3407,3.7602,0.2546,0.1327,0.076,A
