Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA
SC0,07/08/04,Aberdeen,Rangers,D,7.5,4.0,1.4,6.5,3.75,1.45,7.0,3.6,1.45,6.0,3.9,1.4,7.0,3.75,1.4,7.5,3.75,1.4,6.5,3.6,1.44,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,07/08/04,Dundee,Hearts,A,3.0,3.3,2.2,2.5,3.3,2.4,2.6,3.25,2.4,2.9,3.0,2.2,2.6,3.2,2.38,2.75,3.25,2.25,2.87,3.1,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,07/08/04,Dunfermline,Dundee United,D,2.1,3.25,3.2,2.2,3.3,2.8,2.15,3.2,3.0,2.1,3.0,3.1,2.0,3.2,3.2,2.1,3.25,3.0,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,07/08/04,Hibernian,Kilmarnock,A,1.83,3.25,4.0,1.9,3.3,3.5,2.0,3.25,3.25,1.9,3.1,3.5,1.91,3.2,3.5,1.91,3.25,3.5,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,07/08/04,Livingston,Inverness C,H,1.8,3.4,4.0,2.1,3.3,3.0,2.0,3.25,3.25,2.0,3.1,3.2,1.8,3.25,3.75,1.91,3.25,3.5,2.0,3.1,3.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,08/08/04,Celtic,Motherwell,H,1.12,7.0,15.0,1.12,6.5,15.0,1.13,6.5,13.0,1.15,6.0,12.0,1.14,6.0,12.0,1.14,6.0,13.0,1.1,7.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,14/08/04,Hearts,Aberdeen,D,1.57,3.75,5.0,1.65,3.25,5.0,1.65,3.25,5.0,1.65,3.3,4.4,1.57,3.5,5.0,1.62,3.4,5.0,1.7,3.3,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,14/08/04,Kilmarnock,Celtic,A,8.5,5.5,1.25,8.25,4.5,1.3,8.0,4.5,1.31,8.0,4.2,1.3,10.0,4.5,1.25,8.5,4.5,1.29,10.0,4.5,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,14/08/04,Motherwell,Hibernian,A,2.1,3.25,3.2,2.25,3.25,2.75,2.25,3.2,2.8,2.2,3.0,2.9,2.0,3.2,3.2,2.2,3.2,2.88,2.2,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SC0,14/08/04,Rangers,Livingston,H,1.16,6.0,13.0,1.25,5.0,9.0,1.2,5.75,10.0,1.2,5.0,10.0,1.17,5.5,12.0,1.17,6.0,11.0,1.14,6.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
