Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
SC0,2004/5,07/08/2004,Aberdeen,Rangers,D,1.0,1.0,1,1,0,0,7.5,4.0,1.4,1.0,1.0,1.0,1.0,1.0,1.0,6.5,3.75,1.45,7.0,3.6,1.45,6.0,3.9,1.4,7.0,3.75,1.4,1.0,1.0,1.0,1.0,1.0,1.0,7.5,3.75,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.5,3.6,1.44,0,0,0,0,7,8,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3.9286,2.9511,3.3537,0.7512,0.3909,0.111,2.3821,1.3855,3.5479,0.5816,0.2978,0.0954,1.21,0.2106,3.7854,0.1741,0.0892,0.0736,A
SC0,2004/5,07/08/2004,Dundee,Hearts,A,1.0,1.0,1,1,0,1,3.0,3.3,2.2,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.3,2.4,2.6,3.25,2.4,2.9,3.0,2.2,2.6,3.2,2.38,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.25,2.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.87,3.1,2.2,0,0,0,0,9,3,0,0,0,3,3,3,0,0,0,1,1,1,0,0,1.8729,0.8813,3.6424,0.4706,0.2459,0.0869,2.1,1.1024,3.5986,0.525,0.2685,0.091,1.645,0.6482,3.6926,0.3941,0.2034,0.0824,A
SC0,2004/5,07/08/2004,Dunfermline,Dundee United,D,1.0,1.0,1,1,1,1,2.1,3.25,3.2,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.3,2.8,2.15,3.2,3.0,2.1,3.0,3.1,2.0,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.25,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.0,0,1,0,1,6,5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.5536,0.555,3.7134,0.3572,0.1828,0.0805,2.1,1.1018,3.5988,0.5247,0.267,0.091,2.0214,1.0255,3.6134,0.5073,0.2612,0.0896,H
SC0,2004/5,07/08/2004,Hibernian,Kilmarnock,A,1.0,1.0,1,1,0,1,1.83,3.25,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.3,3.5,2.0,3.25,3.25,1.9,3.1,3.5,1.91,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.0,0,0,1,1,10,4,0,0,0,3,3,3,0,0,0,1,1,1,0,0,1.4679,0.4714,3.732,0.3211,0.1665,0.0787,2.1107,1.1115,3.597,0.5266,0.2667,0.0912,2.2321,1.2481,3.5711,0.5591,0.292,0.0931,H
SC0,2004/5,07/08/2004,Livingston,Inverness C,H,1.0,1.0,1,1,3,0,1.8,3.4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.3,3.0,2.0,3.25,3.25,2.0,3.1,3.2,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.1,3.3,0,0,0,0,1,12,3,3,3,0,0,0,3,3,3,0,0,0,0,0,1.4721,0.4779,3.7304,0.3246,0.17,0.0788,2.1179,1.12,3.5953,0.5289,0.2702,0.0913,2.2143,1.2353,3.5732,0.5579,0.2942,0.0927,H
SC0,2004/5,08/08/2004,Celtic,Motherwell,H,1.0,1.0,1,1,2,0,1.12,7.0,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.12,6.5,15.0,1.13,6.5,13.0,1.15,6.0,12.0,1.14,6.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.14,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,7.0,13.0,0,0,0,0,2,11,3,3,3,0,0,0,2,2,2,0,0,0,0,0,1.0643,0.0652,3.8046,0.0613,0.0322,0.0717,3.7143,2.7302,3.3747,0.7351,0.3805,0.1095,7.1429,6.1974,3.1682,0.8676,0.4514,0.1241,H
SC0,2004/5,14/08/2004,Hearts,Aberdeen,D,1.0,1.0,2,2,0,0,1.57,3.75,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.65,3.25,5.0,1.65,3.25,5.0,1.65,3.3,4.4,1.57,3.5,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.62,3.4,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.3,4.33,0,0,0,0,3,9,4,4,4,2,2,2,1,1,1,0,0,0,0,0,1.315,0.3165,3.7652,0.2407,0.1243,0.0755,2.1964,1.2023,3.5799,0.5474,0.2821,0.0926,2.9093,1.9201,3.4671,0.66,0.3394,0.1021,H
SC0,2004/5,14/08/2004,Kilmarnock,Celtic,A,1.0,1.0,2,2,2,4,8.5,5.5,1.25,1.0,1.0,1.0,1.0,1.0,1.0,8.25,4.5,1.3,8.0,4.5,1.31,8.0,4.2,1.3,10.0,4.5,1.25,1.0,1.0,1.0,1.0,1.0,1.0,8.5,4.5,1.29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,4.5,1.25,0,0,0,0,6,1,3,3,3,6,6,6,3,3,3,6,6,6,0,0,4.875,3.9174,3.279,0.8036,0.4189,0.1164,2.8,1.8201,3.4804,0.65,0.3356,0.1008,1.1393,0.1404,3.7964,0.1233,0.0641,0.0725,A
SC0,2004/5,14/08/2004,Motherwell,Hibernian,A,1.0,1.0,2,2,1,2,2.1,3.25,3.2,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.25,2.75,2.25,3.2,2.8,2.2,3.0,2.9,2.0,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,2.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,2.8,0,0,0,0,12,5,0,0,0,3,3,3,1,1,1,2,2,2,0,0,1.5857,0.5887,3.7058,0.3713,0.1914,0.0812,2.0929,1.0943,3.6002,0.5229,0.2652,0.0909,1.9664,0.9744,3.6234,0.4955,0.2574,0.0886,H
SC0,2004/5,14/08/2004,Rangers,Livingston,H,1.0,1.0,2,2,4,0,1.16,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.0,9.0,1.2,5.75,10.0,1.2,5.0,10.0,1.17,5.5,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.17,6.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.14,6.0,12.0,0,0,0,0,2,7,4,4,4,3,3,3,4,4,4,3,3,3,0,0,1.0921,0.0951,3.8019,0.0871,0.0463,0.072,3.3036,2.3226,3.4171,0.7031,0.3656,0.106,6.0,5.085,3.2118,0.8475,0.4473,0.1208,H
