Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,HomeTeamPlacement,AwayTeamPlacement,HomeForm3,HomeForm5,HomeFormSeason,AwayForm3,AwayForm5,AwayFormSeason,HomeGoals3,HomeGoals5,HomeGoalsSeason,AwayGoals3,AwayGoals5,AwayGoalsSeason,HTLSP,ATLSP,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
I1,2004/5,11/09/2004,Chievo,Inter,D,46.28,240.63,1,1,2.0,2.0,4.5,3.2,1.727,1.0,1.0,1.0,1.0,1.0,1.0,5.35,3.25,1.65,5.0,3.2,1.7,4.2,3.1,1.75,4.5,3.25,1.667,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.1,1.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.2,1.7,0,0,0,0,7,8,1,1,1,1,1,1,2,2,2,2,2,2,0,0,2.8607,1.8792,3.4722,0.6569,0.3429,0.1015,2.0929,1.0936,3.6004,0.5226,0.2647,0.0909,1.351,0.3517,3.7579,0.2603,0.1332,0.0763,A
I1,2004/5,11/09/2004,Milan,Livorno,D,273.7,25.0,1,1,2.0,2.0,1.167,6.5,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15,6.0,13.0,1.15,6.0,15.0,1.15,6.0,12.0,1.167,5.5,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.16,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.16,5.5,12.0,0,0,0,0,11,10,1,1,1,1,1,1,2,2,2,2,2,2,0,0,1.0789,0.079,3.8035,0.0732,0.0374,0.0718,3.4643,2.4746,3.401,0.7143,0.3675,0.1075,7.0714,6.135,3.17,0.8676,0.4524,0.124,H
I1,2004/5,12/09/2004,Atalanta,Lecce,D,41.7,44.9,1,1,2.0,2.0,2.0,3.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.1,3.6,2.1,2.9,3.6,1.9,3.0,3.6,2.1,2.75,3.5,1.0,1.0,1.0,1.0,1.0,1.0,2.05,3.0,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.05,2.9,3.4,0,0,0,0,6,9,1,1,1,1,1,1,2,2,2,2,2,2,0,0,1.5143,0.5163,3.722,0.341,0.1755,0.0797,1.975,0.9777,3.6229,0.4951,0.2538,0.0888,2.2714,1.2725,3.5675,0.5602,0.2839,0.0938,H
I1,2004/5,12/09/2004,Brescia,Juventus,A,45.25,304.9,1,1,0.0,3.0,4.0,3.1,1.833,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.1,1.8,4.1,3.25,1.8,3.8,3.0,1.85,4.0,3.0,1.833,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.2,1.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.83,0,0,0,0,20,1,0,0,0,3,3,3,0,0,0,3,3,3,0,0,2.5286,1.535,3.5234,0.6071,0.3115,0.0975,2.0464,1.0485,3.609,0.5124,0.2619,0.0901,1.414,0.4142,3.7446,0.2929,0.1482,0.0776,A
I1,2004/5,12/09/2004,Cagliari,Bologna,H,23.9,29.94,1,1,1.0,0.0,2.375,2.875,2.875,1.0,1.0,1.0,1.0,1.0,1.0,2.3,2.9,3.1,2.25,2.9,3.15,2.2,2.9,3.0,2.25,2.875,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,2.9,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,2.9,2.9,0,0,0,0,2,16,3,3,3,0,0,0,1,1,1,0,0,0,0,0,1.6411,0.6421,3.694,0.3913,0.1995,0.0823,1.9464,0.9465,3.6293,0.4863,0.2438,0.0883,2.0089,1.0113,3.6163,0.5034,0.2578,0.0894,H
I1,2004/5,12/09/2004,Palermo,Siena,H,78.75,54.9,1,1,1.0,0.0,1.727,3.2,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.66,3.15,5.5,1.7,3.1,5.2,1.8,3.0,4.0,1.727,3.2,4.333,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.1,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.1,4.5,0,0,0,0,4,19,3,3,3,0,0,0,1,1,1,0,0,0,0,0,1.3667,0.3682,3.7544,0.2694,0.1388,0.0766,2.0607,1.0617,3.6065,0.5152,0.2616,0.0903,2.8238,1.8552,3.4747,0.657,0.3455,0.101,H
I1,2004/5,12/09/2004,Parma,Messina,D,110.05,32.65,1,1,0.0,0.0,1.533,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.55,3.25,6.5,1.55,3.4,6.1,1.55,3.4,5.0,1.444,3.5,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.4,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.4,6.0,0,0,0,0,13,12,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.2591,0.2604,3.7763,0.2068,0.1067,0.0745,2.1964,1.1974,3.581,0.5452,0.2758,0.0926,3.6143,2.6535,3.3805,0.7342,0.3857,0.1086,H
I1,2004/5,12/09/2004,Reggina,Udinese,D,29.3,83.95,1,1,0.0,0.0,2.6,2.875,2.6,1.0,1.0,1.0,1.0,1.0,1.0,2.7,2.9,2.55,2.75,2.8,2.63,2.6,2.8,2.6,2.5,2.875,2.625,1.0,1.0,1.0,1.0,1.0,1.0,2.7,2.87,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6,2.8,2.6,0,1,0,1,14,15,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1.8179,0.8198,3.6555,0.4509,0.2308,0.0859,1.9229,0.9233,3.634,0.4802,0.2428,0.0879,1.8004,0.8005,3.6596,0.4447,0.2239,0.0855,No Consensus
I1,2004/5,12/09/2004,Roma,Fiorentina,H,201.6,111.83,1,1,1.0,0.0,1.571,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.55,3.5,5.75,1.62,3.3,5.5,1.45,3.6,5.8,1.615,3.25,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61,3.3,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.57,3.5,5.0,0,0,0,0,5,17,3,3,3,0,0,0,1,1,1,0,0,0,0,0,1.2847,0.2873,3.7711,0.2237,0.1162,0.0749,2.2036,1.2066,3.5792,0.5476,0.2807,0.0927,3.2179,2.2279,3.4286,0.6923,0.357,0.1053,H
I1,2004/5,12/09/2004,Sampdoria,Lazio,A,51.0,77.05,1,1,0.0,1.0,2.1,3.0,3.75,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.05,3.5,2.05,3.0,3.6,2.0,2.9,3.4,2.0,3.0,3.4,1.0,1.0,1.0,1.0,1.0,1.0,2.05,3.1,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.0,3.2,0,0,1,1,18,3,0,0,0,3,3,3,0,0,0,1,1,1,0,0,1.5214,0.5223,3.7207,0.3433,0.1751,0.0798,2.0036,1.0044,3.6177,0.5013,0.254,0.0893,2.2321,1.2375,3.5735,0.5544,0.2858,0.0931,H
