Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,HomeMatchday,AwayMatchday,FTHG,FTAG,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,isSuprise,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
SP1,2004/5,28/08/2004,Ath Madrid,Malaga,H,125.65,32.85,1,1,2,0,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.35,3.6,1.85,3.25,4.3,1.75,3.1,4.2,1.73,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.2,4.33,0,0,0,0,1.3907,0.3935,3.749,0.2829,0.1469,0.0771,2.1143,1.1154,3.5962,0.5275,0.2679,0.0913,2.5921,1.6015,3.5128,0.6178,0.3173,0.0983,H
SP1,2004/5,28/08/2004,Espanol,La Coruna,D,45.15,144.45,1,1,1,1,2.87,3.2,2.4,1.0,1.0,1.0,1.0,1.0,1.0,3.4,3.25,2.0,3.0,3.3,2.25,2.9,3.0,2.2,2.6,3.2,2.38,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.2,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.1,2.37,0,1,0,1,1.9564,0.9727,3.6234,0.4972,0.2616,0.0884,2.0893,1.0912,3.6008,0.5223,0.2665,0.0908,1.6286,0.6354,3.6953,0.3902,0.2038,0.082,A
SP1,2004/5,28/08/2004,Numancia,Betis,D,13.4,85.15,1,1,1,1,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.15,2.6,2.6,3.2,2.6,2.4,2.9,2.7,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,0,1,0,1,1.7586,0.7601,3.6683,0.4322,0.2207,0.0847,2.0607,1.063,3.6062,0.5159,0.2633,0.0903,1.7786,0.7803,3.6639,0.4387,0.224,0.0851,H
SP1,2004/5,29/08/2004,Mallorca,Real Madrid,A,42.65,303.7,1,1,0,1,5.0,3.4,1.72,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.4,1.7,4.75,3.3,1.77,3.8,3.1,1.8,4.33,3.2,1.73,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.4,1.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.2,3.25,1.72,0,0,0,0,2.7079,1.7266,3.4936,0.6376,0.3337,0.0997,2.1464,1.149,3.5899,0.5353,0.2739,0.0918,1.3693,0.37,3.7541,0.2702,0.1379,0.0766,A
SP1,2004/5,29/08/2004,Osasuna,Ath Bilbao,D,26.7,53.05,1,1,1,1,2.3,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.9,2.3,3.25,2.95,2.4,2.9,2.7,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.1,2.75,0,1,0,1,1.6571,0.6584,3.6904,0.3973,0.2029,0.0827,2.0679,1.0706,3.6047,0.5178,0.2649,0.0905,1.8929,0.8952,3.6397,0.4729,0.242,0.0873,H
SP1,2004/5,29/08/2004,Santander,Barcelona,A,32.9,273.03,1,1,0,2,5.0,3.4,1.72,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.4,1.7,4.75,3.4,1.75,3.8,3.1,1.8,4.5,3.25,1.67,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.4,1.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.8,3.25,1.8,0,0,0,0,2.6914,1.7171,3.4945,0.638,0.3357,0.0994,2.1571,1.1597,3.5879,0.5376,0.2746,0.092,1.3693,0.3707,3.7539,0.2707,0.1395,0.0766,A
SP1,2004/5,29/08/2004,Sevilla,Albacete,H,70.55,17.75,1,1,1,0,1.66,3.4,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.4,4.5,1.72,3.4,5.0,1.75,3.2,4.0,1.62,3.25,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.4,4.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.4,4.8,0,0,0,0,1.3371,0.339,3.7606,0.2535,0.1313,0.076,2.175,1.1764,3.5848,0.5409,0.2743,0.0923,2.825,1.8395,3.4778,0.6512,0.3385,0.1011,H
SP1,2004/5,29/08/2004,Sociedad,Levante,D,53.55,24.25,1,1,1,1,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.4,4.5,1.73,3.3,5.0,1.7,3.1,4.4,1.67,3.25,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.4,4.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61,3.1,5.5,0,0,0,0,1.3429,0.3439,3.7596,0.2561,0.1314,0.0761,2.1286,1.1315,3.5931,0.5316,0.2725,0.0915,2.8557,1.8756,3.4727,0.6568,0.3426,0.1014,H
SP1,2004/5,29/08/2004,Zaragoza,Getafe,H,51.13,13.85,1,1,3,1,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.25,4.0,1.8,3.35,4.5,1.75,3.1,4.2,1.62,3.25,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.2,4.33,0,0,0,0,1.3707,0.3737,3.7533,0.2726,0.1418,0.0767,2.1286,1.1304,3.5934,0.5311,0.2709,0.0915,2.6921,1.7044,3.4973,0.6331,0.3279,0.0996,H
SP1,2004/5,30/08/2004,Valencia,Villarreal,H,195.9,66.25,1,1,2,1,1.61,3.4,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.45,3.75,7.0,1.63,3.3,6.0,1.55,3.5,4.8,1.53,3.5,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.53,3.6,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1.2357,0.2749,3.7722,0.2225,0.1138,0.0745,2.075,1.2448,3.5475,0.5999,0.303,0.09,3.0214,2.3827,3.3536,0.7886,0.4068,0.0997,H
