Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
D1,2004/5,06/08/2004,Werder Bremen,Schalke 04,H,€98.48m,€86.33m,1.9,3.25,3.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.4,2.1,3.3,3.35,2.2,3.0,2.9,1.909,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.3,3.1,0,0,0,1.5077857142857145,0.5124473741024436,3.722801532917626,0.3398675085240518,0.17706394699620345,0.07951626109128494,2.1107142857142858,1.112779430626074,3.5966841741257456,0.5272051447974632,0.26843123036016425,0.09119075221970893,2.1392857142857147,1.1473850037972326,3.5898583572626777,0.5363402354978716,0.2782017648461723,0.09161752332663958,H
D1,2004/5,07/08/2004,Dortmund,Wolfsburg,A,€78.33m,€59.30m,1.57,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.55,3.7,5.4,1.6,3.65,5.5,1.65,3.3,4.4,1.571,3.5,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.62,3.4,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61,3.5,4.5,0,0,1,1.2979285714285713,0.29878096714237107,3.768829681709761,0.23019831269567967,0.11822212788037448,0.07519432788965548,2.2464285714285714,1.2499234670448376,3.571397517214721,0.5564047230088307,0.2856007267771975,0.09338943614771687,3.0214285714285714,2.043518873843621,3.4503236408764404,0.6763419440617187,0.3537656197230664,0.10323645677851313,H
D1,2004/5,07/08/2004,Freiburg,Hansa Rostock,D,€22.43m,€25.90m,2.1,3.25,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.4,2.05,3.25,3.5,2.1,3.0,3.1,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.3,3.1,0,1,0,1.532142857142857,0.5330529130989393,3.7182764013890726,0.347913323234739,0.1773226773226775,0.08004210464314852,2.1035714285714286,1.1054191651189356,3.5980913884502423,0.5254963773061153,0.267402376910017,0.09107190346083337,2.085714285714286,1.0933938924658544,3.6001420197012792,0.5242299484425329,0.2715264187866928,0.0907224110284261,H
D1,2004/5,07/08/2004,Hamburg,Bayern Munich,A,€65.60m,€175.30m,3.25,3.25,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.75,3.4,1.85,3.65,3.25,2.0,3.6,3.2,1.9,3.75,3.2,1.833,1.0,1.0,1.0,1.0,1.0,1.0,3.3,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1,3.3,2.0,0,0,0,2.242857142857143,1.2548274131268784,3.570052881488452,0.5594771905661241,0.29208371246587794,0.09326057208901592,2.1285714285714286,1.1295881496169753,3.593572490159124,0.5306789964643508,0.2691754554170661,0.09149984637378367,1.4702142857142857,0.47290654144214955,3.731610406464949,0.32165824127630055,0.16616694775855248,0.07872993780987657,A
D1,2004/5,07/08/2004,Hertha,Bochum,D,€71.78m,€31.40m,1.83,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.5,4.4,1.85,3.3,4.25,1.75,3.2,4.0,1.833,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,0,1.397357142857143,0.39886367294081415,3.7478645579465324,0.2854414671150334,0.14689902950905878,0.07720452539440366,2.142857142857143,1.144842026353908,3.5906727172968917,0.5342596122984905,0.272142857142857,0.09173003570122172,2.492857142857143,1.5025997878507038,3.528328432743221,0.6027620925475603,0.3125255832992222,0.09696665271712188,H
D1,2004/5,07/08/2004,Kaiserslautern,Nurnberg,A,€33.75m,€34.90m,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.4,4.2,1.9,3.3,4.0,1.85,3.1,3.6,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,1,1.4049999999999998,0.40704071400431535,3.746087477217867,0.2897086932415056,0.1498656402062604,0.07736299235693823,2.132142857142857,1.1336740434246053,3.5927775316013126,0.5317064190266155,0.2705192629815746,0.09155504406371255,2.455714285714286,1.4665056343261025,3.5340923907394126,0.5971808865784012,0.31027175268012963,0.09644132822689633,H
D1,2004/5,07/08/2004,Leverkusen,Hannover,H,€86.93m,€42.98m,1.5,3.5,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.45,4.0,6.2,1.6,3.5,6.0,1.55,3.5,4.8,1.533,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.6,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.44,3.75,6.0,0,0,0,1.255214285714286,0.25784939640125165,3.776811934363673,0.20542261137071205,0.10745786962141582,0.07439165850421653,2.3035714285714284,1.310461244550707,3.560570715380813,0.5688824007351907,0.2935769656699889,0.09424698177376084,3.392857142857143,2.4137890444320953,3.4067271450906937,0.7114325604641966,0.3682706766917293,0.10680891180075523,H
D1,2004/5,08/08/2004,Bielefeld,M'gladbach,D,€24.65m,€50.93m,2.25,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.3,2.6,2.35,3.2,2.95,2.3,3.0,2.7,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.1,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.25,2.75,0,1,0,1.6521428571428571,0.6539897178246827,3.6913884738360543,0.39584332250521215,0.20329195231918942,0.0825480107247356,2.092857142857143,1.0949326696287804,3.600078752312888,0.5231760196178473,0.2671867381764992,0.09088824001369852,1.8714285714285714,0.8741759968503985,3.6440700597337488,0.4671169448818923,0.2393675027262814,0.08689639085806501,H
D1,2004/5,08/08/2004,Stuttgart,Mainz,H,€79.50m,€16.73m,1.4,3.75,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.4,4.2,6.7,1.41,4.25,7.25,1.5,3.7,5.0,1.4,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.75,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.44,3.75,6.0,0,0,0,1.2107142857142856,0.21214766709313873,3.7851423799695505,0.17522521175834468,0.09030762747576918,0.07359880334454406,2.439285714285714,1.447680234452515,3.5373113399230953,0.5934853084139154,0.3056891863626855,0.09622990416960542,3.8535714285714286,2.916116809199858,3.3535417789326027,0.7567309606820761,0.39951012842579114,0.11020088139935509,H
D1,2004/5,14/08/2004,Bayern Munich,Hertha,D,€175.30m,€71.78m,1.4,4.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.7,8.2,1.43,4.0,7.75,1.4,3.9,6.0,1.36,3.75,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,4.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.36,4.0,7.0,0,0,0,1.1892857142857143,0.1913285986282794,3.7886593090263156,0.1608768997475021,0.08395538395538407,0.07325039059513021,2.5249999999999995,1.5377104966243067,3.522651198919255,0.6089942560888343,0.31430592038795724,0.09738755777483576,4.317857142857143,3.3757331025411115,3.3158606510025375,0.7818075010020771,0.4123242349048801,0.11331086739219436,H
