Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
N1,2004/5,13/08/2004,Roda,Vitesse,A,€20.93m,€21.40m,1.66,3.4,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.6,4.75,1.7,3.4,4.4,1.7,3.3,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.66,3.3,4.5,0,0,1,1.285,0.329821380230486,3.760518063058641,0.25667033480971674,0.1292384658143413,0.07549126818273467,2.0285714285714285,1.189494833609492,3.559173988067693,0.5863706926243974,0.29426559356136817,0.08933178252414792,2.4628571428571426,1.695626426897103,3.4613072015539412,0.6884794076728378,0.34844216108717274,0.0947945621009911,H
N1,2004/5,14/08/2004,AZ Alkmaar,Heerenveen,D,€50.00m,€31.20m,1.9,3.25,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.35,3.3,1.9,3.25,3.5,1.9,3.2,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,0,1.382857142857143,0.44308058879087137,3.734382595103229,0.32040951668761364,0.1610832349468713,0.07754525544836244,1.9714285714285715,1.1221335363803133,3.573690749602706,0.5691981706276951,0.28390269151138714,0.08848525290078145,2.060714285714286,1.228265119622646,3.550946611541204,0.5960385329191349,0.3006932409012133,0.08978631584171155,H
N1,2004/5,14/08/2004,NAC Breda,Utrecht,H,€17.45m,€20.30m,2.0,3.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.4,3.4,1.91,3.25,3.5,2.2,3.0,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.2,0,0,0,1.422857142857143,0.49301446764382323,3.7223629046596334,0.3464961117978677,0.17649168100975324,0.07837637085595375,1.9535714285714285,1.1038025647917369,3.577607027063012,0.565017766255368,0.28453904413685027,0.08819239557602412,1.9749999999999999,1.1330663200864661,3.571045148819841,0.5737044658665651,0.29178506845776275,0.08848563154501295,H
N1,2004/5,14/08/2004,Nijmegen,Willem II,H,€16.88m,€13.98m,2.2,3.25,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.25,2.85,2.2,3.2,2.9,2.1,3.1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,0,0,0,1.5142857142857145,0.5947474168047462,3.6975016355337655,0.3927577280786059,0.19710242587601082,0.08028866178930692,1.9428571428571426,1.0892095992142228,3.580888425589194,0.5606225878308501,0.27967436974789917,0.08804298898920199,1.7892857142857144,0.9132318144582872,3.62072067829258,0.5103890380205995,0.25705731394354137,0.0855003857430665,H
N1,2004/5,14/08/2004,Roosendaal,PSV Eindhoven,A,€10.70m,€86.85m,5.0,3.6,1.57,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.55,1.65,5.0,3.5,1.6,3.8,3.3,1.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.75,3.4,1.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.4,1.5,0,0,0,2.6464285714285714,1.9494013994881942,3.4167951073493312,0.7366159134368345,0.38008482745324834,0.09640082517783904,2.0535714285714284,1.2183807001968823,3.5530704758412877,0.5932984279219601,0.29826086956521747,0.08969538316186197,1.2635714285714286,0.30842010178273643,3.765183839450972,0.24408600480261786,0.12529274004683835,0.07505688193275785,A
N1,2004/5,15/08/2004,Den Bosch,Den Haag,H,€8.35m,€9.92m,2.2,3.25,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.3,3.0,2.2,3.2,2.9,2.3,3.0,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.3,2.8,0,0,0,1.5142857142857142,0.5953476089732822,3.697348678279199,0.39315408139745045,0.1984501347708896,0.08028571345725559,1.9464285714285714,1.094868597091888,3.579587901277767,0.562501297588493,0.28269986893840104,0.08808661417592409,1.782142857142857,0.9054610394034363,3.6225206761448296,0.5080743307273791,0.2563698826223877,0.08537246961709731,H
N1,2004/5,15/08/2004,Feyenoord,Graafschap,H,€66.43m,€12.28m,1.16,5.5,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.25,8.0,1.2,5.5,11.0,1.2,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.17,5.5,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.16,6.0,10.0,0,0,0,1.0814285714285714,0.09627765968853853,3.8017016739953493,0.08902821899864857,0.045857709001698305,0.07195530129804167,2.9107142857142856,2.21522157642369,3.379164874332486,0.7610577195075257,0.3851884312007011,0.09900436706024965,5.071428571428571,4.802741564004068,3.12648269917226,0.9470194633247457,0.48792756539235405,0.10936487426271164,H
N1,2004/5,15/08/2004,Groningen,Waalwijk,D,€12.95m,€19.33m,2.1,3.25,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.35,3.2,2.1,3.25,3.05,2.2,3.0,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.3,3.25,0,1,0,1.4607142857142856,0.5345821370233856,3.712232602615917,0.36597310114070414,0.18564442892071256,0.07917582222923432,1.9535714285714287,1.1034789605273545,3.5776863568866752,0.5648521187342948,0.28427787934186466,0.08819473783521749,1.8857142857142857,1.0258147583103623,3.5949108810808306,0.5439926748615558,0.27489177489177485,0.08711279400506967,H
N1,2004/5,15/08/2004,Twente,Ajax,A,€13.25m,€114.50m,4.0,3.5,1.72,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.45,1.75,4.3,3.4,1.7,3.8,3.3,1.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.4,1.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.5,1.61,0,0,0,2.3521428571428573,1.5691862248194972,3.4838657676997733,0.6671304933942593,0.3388790074183331,0.0935362987598022,2.039285714285714,1.2009190783117158,3.5567843025087775,0.5888920173857801,0.29459594696022007,0.08949553811029992,1.3,0.347891608735496,3.756492475672385,0.2676089297965354,0.1356357927786497,0.07580243897313473,A
N1,2004/5,20/08/2004,Vitesse,Groningen,H,€21.40m,€12.95m,1.8,3.3,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,1.83,3.25,3.9,1.8,3.1,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.4,4.0,0,0,0,1.3392857142857142,0.3924003838230664,3.7463229925949335,0.29299228658788956,0.14685714285714283,0.07662543234767535,1.9714285714285713,1.1232469334342237,3.57340855264773,0.569762937249244,0.28597308488612827,0.08847659657777729,2.2142857142857144,1.4033669425742519,3.515589080335481,0.6337786192270815,0.3172811059907834,0.09189180716517269,H
