Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
G1,2004/5,18/09/2004,Ergotelis,Iraklis,A,€8.58m,€17.25m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.75,3.2,1.9,3.4,3.25,1.95,3.6,3.0,1.9,2.9,3.2,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.3,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.8535714285714284,1.1582721561684464,3.5437074108803404,0.6248867123837476,0.30704651802917704,0.08589560204937777,1.775,1.041076023023432,3.573169645861912,0.5865217031117926,0.28355849382006326,0.08488215038413176,1.3464285714285715,0.4669292871342228,3.7248008453926236,0.34679098248695595,0.16919287608942782,0.07727495299540425,No Consensus
G1,2004/5,18/09/2004,Xanthi,Aris,H,€13.78m,€12.16m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.15,3.45,1.9,3.15,3.75,1.85,3.1,3.8,1.91,3.2,3.4,1.0,1.0,1.0,1.0,1.0,1.0,2.05,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.3364285714285715,0.4534409261076769,3.7282778244892945,0.33929305000039955,0.16564862182179133,0.07706721123532563,1.7714285714285716,1.0352215576722636,3.574671111425785,0.5843992664278908,0.28139400921658986,0.08483783763461449,1.9,1.2149368002375385,3.530119633600165,0.6394404211776519,0.31283566058002155,0.0865490002694101,No Consensus
G1,2004/5,19/09/2004,Chalkidona,Panionios,H,€9.45m,€14.00m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.7,2.85,2.6,2.55,2.9,2.65,2.55,2.8,2.65,2.4,2.9,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.1,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.5414285714285716,0.7297441542158766,3.6547417049039903,0.4734206746534879,0.23103402621474914,0.08107456250444554,1.6821428571428574,0.9172176760759261,3.6050192789097557,0.5452674082829284,0.26463451622687284,0.08346860318447605,1.592857142857143,0.7957155680933499,3.6370942029686986,0.49955237458775326,0.24087123638693145,0.08200206994319563,No Consensus
G1,2004/5,19/09/2004,Egaleo,AEK,D,€15.06m,€31.63m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.75,3.2,1.9,3.75,3.0,1.95,3.6,3.0,1.9,3.1,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6,3.2,1.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.2,3.2,2.0,0,0,0,2.0714285714285716,1.2485297475880361,3.546356210345901,0.6027384988356036,0.3076354679802956,0.08987578964691029,1.9142857142857141,1.057528887046957,3.587851566101429,0.5524404633827388,0.27718550106609785,0.0875820916601935,1.4042857142857144,0.46769517370847863,3.72848866624321,0.33304844516371823,0.16756285423630293,0.07799799679994134,No Consensus
G1,2004/5,19/09/2004,Kalamaria,OFI Crete,H,€6.94m,€9.95m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.65,3.0,2.55,2.6,3.0,2.55,2.45,3.1,2.45,2.5,3.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.55,0.7392080704568718,3.6522053618130745,0.4769084325528204,0.23140223831468068,0.08124154987594553,1.7357142857142858,0.9882214491970216,3.5866488502451945,0.5693456908954033,0.2754262198706642,0.08430266466012293,1.5392857142857144,0.7238731566640495,3.656321684843307,0.47026562381887205,0.226881007623467,0.08105439403938706,No Consensus
G1,2004/5,19/09/2004,Olympiakos,Kallithea,H,€48.60m,€8.27m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.13,6.5,15.0,1.13,6.0,16.0,1.1,7.0,15.0,1.1,6.5,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.14,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.042857142857143,0.058361994902329975,3.8051227805527956,0.05596355675565887,0.02749510763209398,0.0716362668833805,2.9285714285714284,2.597094137528263,3.2654361314743943,0.8868126323267239,0.43205574912891986,0.09530803627183324,5.928571428571429,6.6382472483790655,2.906174453778038,1.1197043551482762,0.544750430292599,0.1034471196428546,No Consensus
G1,2004/5,19/09/2004,Panathinaikos,Ionikos,H,€56.50m,€8.41m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15,6.0,14.0,1.17,5.5,13.0,1.15,6.0,12.0,1.14,6.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.14,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0535714285714286,0.07217114014194141,3.804014576129596,0.06850142115167321,0.03336561743341407,0.07173701607184264,2.75,2.3509116772617626,3.3040339713491123,0.8548769735497319,0.4128014842300556,0.0942769230769231,5.142857142857143,5.591538797365979,2.9673180654126052,1.0872436550433848,0.5317460317460317,0.10223034459961976,No Consensus
G1,2004/5,19/09/2004,PAOK,Kerkyra,H,€19.95m,€8.16m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.45,4.0,6.1,1.35,4.25,7.5,1.4,3.9,6.0,1.3,4.2,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.33,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.1307142857142858,0.17822394763388022,3.7899821816792327,0.15762067383918654,0.07765544625936296,0.07287992388352776,2.12,1.5056986987536953,3.4635178878567916,0.710235235261177,0.34496534462841744,0.08913959163863411,3.15,2.925198405969365,3.2171994872058636,0.9286344145934493,0.456268221574344,0.09633509223040292,No Consensus
G1,2004/5,25/09/2004,Aris,Olympiakos,A,€12.16m,€48.60m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,4.5,1.28,8.0,4.0,1.33,9.0,4.5,1.25,8.0,3.75,1.36,1.0,1.0,1.0,1.0,1.0,1.0,7.5,3.75,1.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,4.2,1.35,0,0,0,4.107142857142857,3.6458321185615086,3.2158940529735656,0.8876808636497587,0.4565217391304347,0.10599600582784806,2.335714285714286,1.5557988957707976,3.4860615545499076,0.666091270360586,0.34032328527741373,0.09330268116256175,1.1407142857142858,0.16576507842271784,3.792353841175539,0.14531691283143705,0.07500670900796139,0.0727841458260576,No Consensus
G1,2004/5,25/09/2004,Iraklis,Chalkidona,H,€17.25m,€9.45m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.15,4.75,1.73,3.2,4.25,1.7,3.0,4.6,1.73,3.25,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.26,0.34895763148472425,3.754248777159121,0.27695050117835257,0.1334629089731131,0.07546157378361176,1.7750000000000001,1.0412475347252588,3.573124287658,0.586618329422681,0.2841333716585227,0.08488097991471186,2.209285714285714,1.6300896745083613,3.436803090500328,0.7378356108346933,0.3604221514017828,0.09001384031707935,No Consensus
G1,2004/5,25/09/2004,Panathinaikos,Xanthi,H,€56.50m,€13.78m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.14,6.0,17.0,1.15,6.0,12.0,1.1,7.0,15.0,1.12,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.17,6.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.0485714285714285,0.06674655077842093,3.804474549696034,0.06365474869876656,0.03143246399377178,0.07169312620397554,2.857142857142857,2.503059352562176,3.2796634830945885,0.8760707733967615,0.42499999999999993,0.09489584315204073,5.5,6.173098319089276,2.9256275616704612,1.1223815125616865,0.5538033395176252,0.10269402875362378,No Consensus
G1,2004/5,26/09/2004,AEK,Kerkyra,H,€31.63m,€8.16m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,9.0,1.31,4.25,8.0,1.35,3.8,7.5,1.25,4.5,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.2,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.1099999999999999,0.14894869682449155,3.794690669489667,0.13418801515719955,0.06582092296378009,0.07251955615558386,2.1607142857142856,1.5648115554537656,3.4505830701356754,0.7242103066562882,0.3533648170011805,0.0895305173219798,3.607142857142857,3.516179803161844,3.146125750216636,0.9747825196884321,0.4759547383309759,0.09834229877759754,No Consensus
G1,2004/5,26/09/2004,Ionikos,Kalamaria,H,€8.41m,€6.94m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.25,4.5,1.83,3.0,4.0,1.85,3.0,3.8,1.73,3.25,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.282857142857143,0.38047768043095836,3.7466321042902,0.29658616514662683,0.14428889595927455,0.0759437393485654,1.7678571428571428,1.0327852672086608,3.575253094576475,0.5842017673099495,0.28354978354978355,0.08476921363201989,2.092857142857143,1.4728322015347,3.4706628790910616,0.7037423488561706,0.3425158459288151,0.08883035278021886,No Consensus
G1,2004/5,26/09/2004,Kallithea,Ergotelis,H,€8.27m,€8.58m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.3,4.4,1.73,3.2,4.25,1.7,3.1,4.4,1.7,3.25,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.83,3.3,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.2650000000000001,0.3566861365402361,3.752409938060858,0.28196532532824986,0.13717028313301607,0.07556609319425625,1.7964285714285715,1.0694565184699933,3.566022621762035,0.5953237080946285,0.28784436239704625,0.08519251986623587,2.142857142857143,1.5399277746116566,3.455949829108879,0.7186329614854396,0.35,0.08935320466309965,No Consensus
G1,2004/5,26/09/2004,OFI Crete,Egaleo,A,€9.95m,€15.06m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.0,2.7,2.37,2.95,2.72,2.5,2.7,2.8,2.38,2.9,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.9,2.6,0,0,0,1.625,0.7227205545714056,3.666170384198457,0.4447511105054804,0.2229513343799058,0.08249055398738932,1.8321428571428569,0.9657726630707114,3.6084922253878267,0.5271273794537996,0.2674742411584514,0.08621171863343037,1.7192857142857143,0.8331391950732765,3.639551315359246,0.48458449235670426,0.24491067719152484,0.08424913224611055,No Consensus
G1,2004/5,26/09/2004,Panionios,PAOK,H,€14.00m,€19.95m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,2.9,3.3,2.2,3.0,3.0,2.3,3.0,2.7,2.2,2.9,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.1,2.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.4392857142857143,0.589848216380576,3.6923301475023935,0.4098201007110702,0.19797943991492375,0.07916333007812498,1.7071428571428573,0.949785152934438,3.596557403730682,0.5563595038109678,0.2692767483562464,0.08386688872413027,1.7057142857142857,0.9540119367755333,3.5954033995667283,0.5593034805216694,0.27386934673366836,0.08380267394836169,No Consensus
G1,2004/5,02/10/2004,Chalkidona,Kallithea,H,€9.45m,€8.27m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.55,5.1,1.52,3.5,5.5,1.5,3.4,5.6,1.62,3.4,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.57,3.5,5.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.2007142857142856,0.27067282004332116,3.772035591841563,0.22542650092840547,0.11018101470213296,0.07422580472266967,1.8821428571428573,1.1840618864824626,3.537724291396419,0.6291030895922002,0.30346977500677697,0.08636454980143086,2.4964285714285714,2.0210026052957586,3.360206843167145,0.8095575529081722,0.3959738401798488,0.09245985654443682,No Consensus
