Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
T1,2004/5,06/08/2004,Rizespor,Fenerbahce,D,€22.85m,€90.60m,6.0,3.4,1.5,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.6,1.5,6.0,3.6,1.5,5.4,3.8,1.45,5.5,3.6,1.53,1.0,1.0,1.0,1.0,1.0,1.0,5.5,3.4,1.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.4,1.5,0,0,0,3.3857142857142857,2.39310233285378,3.4100466176900324,0.7068234738386693,0.3622664255575647,0.10684644584789038,2.2714285714285714,1.2752750803698176,3.566878797686004,0.5614418592823097,0.2879604672057501,0.09377676313977835,1.2535714285714286,0.25468768389250906,3.7774187552489242,0.2031696623643947,0.10455840455840429,0.07435557581188566,A
T1,2004/5,07/08/2004,Denizlispor,Gaziantepspor,H,€27.24m,€38.60m,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.3,3.0,2.2,3.2,2.9,2.0,3.1,3.2,2.1,3.25,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.0,0,0,0,1.567857142857143,0.5705909038810878,3.7098711520301952,0.3639304170539967,0.18792710706150342,0.08078780900784473,2.107142857142857,1.1079029648808765,3.5976763440804342,0.5257844579095685,0.26634382566585957,0.0911415926985037,1.975,0.9799325778556692,3.622419941319255,0.4961683938509717,0.2563936967191939,0.08879791790609452,H
T1,2004/5,07/08/2004,Genclerbirligi,Sakaryaspor,H,€46.95m,€14.85m,1.5,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.45,3.7,6.5,1.45,3.7,6.6,1.45,3.8,5.4,1.53,3.6,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.5,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.75,7.0,0,0,0,1.2342857142857144,0.23603009147486392,3.780879772735321,0.19122808337083885,0.09937169312169294,0.07401014072845315,2.317857142857143,1.3212017179794449,3.5588623279356018,0.5700099861852767,0.29220779220779214,0.09449094424199549,3.5714285714285716,2.600117736737696,3.386715727889134,0.7280329662865549,0.38142857142857145,0.108283948673905,H
T1,2004/5,07/08/2004,Kayserispor,Trabzonspor,A,€30.03m,€63.60m,4.33,3.4,1.66,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.5,1.6,4.2,3.5,1.7,4.4,3.3,1.65,4.33,3.6,1.67,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.4,1.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.4,3.4,1.65,0,0,0,2.7257142857142855,1.7339991526020102,3.4932348741145702,0.6361632111223308,0.32708146151542383,0.09999966360869841,2.221428571428571,1.2230982739563907,3.576306803485747,0.5505908628742595,0.28043178686265513,0.09300924346897818,1.3285714285714285,0.32917336168167727,3.762643681716504,0.2477648958894345,0.12642089093701994,0.07579850850068687,A
T1,2004/5,07/08/2004,Malatyaspor,Besiktas,D,€33.95m,€76.25m,3.2,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.3,3.2,2.0,3.1,3.2,2.1,3.5,3.1,1.9,3.5,3.25,1.91,1.0,1.0,1.0,1.0,1.0,1.0,3.5,3.25,1.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.2,2.2,0,0,0,2.1357142857142857,1.1486682617319084,3.589350460820942,0.53783798208183,0.28117534639273767,0.09151633710289656,2.1,1.1004869052248778,3.5990976505814047,0.5240413834404178,0.2645772594752185,0.09102286427878128,1.5014285714285713,0.5068228366550802,3.7240441555178183,0.3375604050033836,0.17629468533369566,0.07938005965129108,A
T1,2004/5,08/08/2004,A. Sebatspor,Ankaraspor,A,€26.73m,€32.75m,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.35,2.75,2.25,3.2,2.85,2.2,3.0,3.9,2.2,3.25,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.2,0,0,0,1.592857142857143,0.595476142876181,3.704321871602904,0.3738415246756293,0.19154388212684162,0.0813127181908124,2.107142857142857,1.1093526334336268,3.597328655567913,0.526472436205789,0.26852300242130744,0.09112938104892697,2.0,1.0385429353529052,3.6097432570705545,0.5192714676764526,0.2727040816326529,0.08900503184342456,H
T1,2004/5,08/08/2004,Galatasaray,Konyaspor,H,€79.65m,€37.25m,1.36,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.35,4.1,7.75,1.35,4.0,8.3,1.4,3.9,6.0,1.33,4.33,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.36,4.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.75,7.0,0,0,0,1.1821428571428572,0.18295895603068119,3.7900286463880106,0.15476890540359736,0.07980146741476049,0.07312895064494065,2.505714285714286,1.5102256893103962,3.5273985055841433,0.6027126468171479,0.3091708747352988,0.09718476643930526,4.146428571428571,3.18200657075477,3.3329201422473878,0.7674089920855603,0.40131659899101746,0.11237074295652526,H
T1,2004/5,08/08/2004,Istanbulspor,Diyarbakirspor,D,€27.55m,€22.93m,2.2,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.15,2.8,2.25,3.2,2.85,2.2,3.0,2.9,2.2,3.25,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,2.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.1,2.85,0,1,0,1.607142857142857,0.6073529048423233,3.7017552622079113,0.37790847412411227,0.19047619047619027,0.08162160239359074,2.0821428571428573,1.083744689039078,3.6022405961182975,0.5204948763824045,0.265253614310218,0.09070924580243464,1.9164285714285716,0.9170652503880994,3.635303971267897,0.47852827079513194,0.24261221447207273,0.08775740261809294,H
T1,2004/5,08/08/2004,Samsunspor,Ankaragucu,D,€34.65m,€32.76m,1.83,3.25,3.6,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.3,3.2,2.0,3.2,3.35,1.8,3.3,3.6,2.0,3.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.0,0,0,0,1.480714285714286,0.4857757314074982,3.728704366802954,0.32806851132199594,0.17087037419888365,0.07894680684475054,2.125,1.1253174155385162,3.5944068992371623,0.5295611367240076,0.26710684273709484,0.09144573269499581,2.1607142857142856,1.169428824473813,3.585769248388726,0.5412232576077151,0.2813459268004723,0.09196890337299517,H
T1,2004/5,13/08/2004,Gaziantepspor,Galatasaray,H,€38.60m,€79.65m,3.0,3.2,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.35,3.3,1.95,2.95,3.25,2.1,3.1,3.0,2.1,3.0,3.2,2.1,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.25,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.2,2.3,0,0,0,1.987142857142857,0.9984661706224958,3.6184417649065868,0.5024632059207383,0.2629660059566602,0.08896586861827441,2.1,1.1017842671905294,3.598785956074291,0.524659174852633,0.26700680272108845,0.09101194361065675,1.5607142857142857,0.5651101572223935,3.711057460243496,0.36208431126377616,0.18780647270349796,0.08063134739319022,A
