Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
SP1,2004/5,28/08/2004,Ath Madrid,Malaga,H,€125.65m,€32.85m,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.35,3.6,1.85,3.25,4.3,1.75,3.1,4.2,1.73,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.2,4.33,0,0,0,1.3907142857142856,0.393472894069397,3.7490203584843536,0.2829286346672603,0.14685596888986732,0.07706588415027593,2.1142857142857143,1.1153840740538934,3.5962442375386856,0.5275465215119766,0.2678571428571429,0.09125935251581963,2.592142857142857,1.601513474237187,3.5127667675983716,0.6178338010283996,0.31726567728221067,0.09829407993461306,H
SP1,2004/5,28/08/2004,Espanol,La Coruna,D,€45.15m,€144.45m,2.87,3.2,2.4,1.0,1.0,1.0,1.0,1.0,1.0,3.4,3.25,2.0,3.0,3.3,2.25,2.9,3.0,2.2,2.6,3.2,2.38,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.2,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.1,2.37,0,1,0,1.9564285714285714,0.9726518033768533,3.6234284951094975,0.49715681808236384,0.26159182183278573,0.08837503588648152,2.0892857142857144,1.0912277769670684,3.6007928828652362,0.5222970556423575,0.2665445665445665,0.0908285119073774,1.6285714285714286,0.6354060247798495,3.695334717221333,0.3901615941630655,0.2038220551378446,0.08203633987312699,A
SP1,2004/5,28/08/2004,Numancia,Betis,D,€13.40m,€85.15m,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.15,2.6,2.6,3.2,2.6,2.4,2.9,2.7,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,0,1,0,1.7585714285714287,0.7600926366743271,3.668251188547557,0.43222164554998294,0.22066844609492867,0.08470932775447482,2.060714285714286,1.063044578326894,3.6061852059243433,0.5158621870563783,0.26330774944293145,0.09033409400001913,1.7785714285714285,0.78027336915484,3.6639159339904173,0.43870791840031165,0.22403901319563982,0.08510485596381721,H
SP1,2004/5,29/08/2004,Mallorca,Real Madrid,A,€42.65m,€303.70m,5.0,3.4,1.72,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.4,1.7,4.75,3.3,1.77,3.8,3.1,1.8,4.33,3.2,1.73,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.4,1.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.2,3.25,1.72,0,0,0,2.707857142857143,1.7265869659592616,3.4936015112079457,0.6376211427968784,0.3337038851415006,0.0996938202591596,2.1464285714285714,1.1489846893351237,3.5898627050576186,0.5353006872110393,0.27394818160209156,0.091783905931226,1.3692857142857144,0.3699703518182096,3.7540806445843855,0.2701922235500748,0.13790148297190533,0.07662415085963808,A
SP1,2004/5,29/08/2004,Osasuna,Ath Bilbao,D,€26.70m,€53.05m,2.3,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.9,2.3,3.25,2.95,2.4,2.9,2.7,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.1,2.75,0,1,0,1.657142857142857,0.6584226668054991,3.690427844353865,0.397324023072284,0.20289408866995065,0.08265410876720125,2.067857142857143,1.070648525570424,3.6046957360264535,0.5177574907767161,0.26486553170491,0.09045368892359536,1.8928571428571428,0.895196934210796,3.6397335043954633,0.47293422939438284,0.24204851752021553,0.08730406502888402,H
SP1,2004/5,29/08/2004,Santander,Barcelona,A,€32.90m,€273.03m,5.0,3.4,1.72,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.4,1.7,4.75,3.4,1.75,3.8,3.1,1.8,4.5,3.25,1.67,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.4,1.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.8,3.25,1.8,0,0,0,2.6914285714285713,1.717106607651609,3.494500255821495,0.6379907777898759,0.33572186836518036,0.09943199718776027,2.157142857142857,1.1597193538058406,3.587862002500562,0.5376182434861513,0.2745979186376537,0.09196048760180187,1.3692857142857144,0.3706647365730594,3.7539242986279118,0.2706993381336896,0.13946642819882263,0.07662463477324026,A
SP1,2004/5,29/08/2004,Sevilla,Albacete,H,€70.55m,€17.75m,1.66,3.4,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.4,4.5,1.72,3.4,5.0,1.75,3.2,4.0,1.62,3.25,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.4,4.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.4,4.8,0,0,0,1.337142857142857,0.3389569836051381,3.7606026295934583,0.25349347064486827,0.13133394383394384,0.07597228636083794,2.175,1.1763669859845123,3.5848448757779328,0.5408583843606953,0.2743373211353506,0.09226337600894183,2.8249999999999997,1.8395214828085822,3.4778225582652356,0.6511580470118875,0.338540726024923,0.10112250250446911,H
SP1,2004/5,29/08/2004,Sociedad,Levante,D,€53.55m,€24.25m,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.4,4.5,1.73,3.3,5.0,1.7,3.1,4.4,1.67,3.25,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.4,4.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61,3.1,5.5,0,0,0,1.3428571428571427,0.3438734935871573,3.759583263915092,0.25607600586277673,0.13138297872340401,0.07608643693885715,2.1285714285714286,1.1314835845211437,3.593123134969534,0.5315694692381212,0.27253116011505263,0.09148401399442786,2.855714285714286,1.875594055552664,3.4726893133100316,0.6567863125997322,0.3426356035160436,0.1014496874108042,H
SP1,2004/5,29/08/2004,Zaragoza,Getafe,H,€51.13m,€13.85m,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.25,4.0,1.8,3.35,4.5,1.75,3.1,4.2,1.62,3.25,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.2,4.33,0,0,0,1.3707142857142858,0.37369705617775256,3.753256315416951,0.2726294312917424,0.14177771160574718,0.07665521828444549,2.1285714285714286,1.1303783004113344,3.5933844985922634,0.5310502082469355,0.2708533077660594,0.09149320162487867,2.692142857142857,1.7044026124440559,3.497304747618537,0.6331025888622123,0.3279194936133115,0.09955614681724334,H
SP1,2004/5,30/08/2004,Valencia,Villarreal,H,€195.90m,€66.25m,1.61,3.4,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.45,3.75,7.0,1.63,3.3,6.0,1.55,3.5,4.8,1.53,3.5,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.53,3.6,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,1.2357142857142855,0.2748951562664856,3.772248785489683,0.2224585079613178,0.11379025598678763,0.07449903116612847,2.075,1.2448106568585326,3.5474862561102225,0.5999087502932687,0.3030489304155396,0.08998960811011042,3.0214285714285714,2.3827290989920935,3.353646893268018,0.7886101036853265,0.40678824721377893,0.09966627926906188,H
SP1,2004/5,11/09/2004,Ath Bilbao,Valencia,D,€53.05m,€195.90m,2.7,3.2,2.3,1.0,1.0,1.0,1.0,1.0,1.0,2.7,3.15,2.4,2.8,3.2,2.43,2.5,3.0,2.5,2.6,3.2,2.375,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.1,2.37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,0,1,0,1.8285714285714285,0.8327480938165527,3.652675743927449,0.45540911380592713,0.23549107142857165,0.08606486795183475,2.067857142857143,1.0689793434555663,3.6051011499249728,0.516950286990602,0.26264495435479895,0.09046770929064156,1.7053571428571428,0.7069564148156373,3.679769563269722,0.41455035842592347,0.21228122662677631,0.08363876436011558,A
SP1,2004/5,11/09/2004,Barcelona,Sevilla,H,€273.03m,€70.55m,1.444,4.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.4,4.0,7.25,1.45,4.0,7.25,1.4,3.7,6.5,1.364,3.75,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.44,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.6,7.5,0,0,0,1.207,0.20802575390012237,3.7858530711682,0.172349423280963,0.089013070016739,0.07353490817109917,2.414285714285714,1.4185541647633153,3.5423148966490947,0.5875668138072904,0.30156382079459,0.09590476377891632,4.142857142857143,3.1576357081376756,3.3364564091655393,0.7621879295504733,0.39347290640394084,0.11246130655232582,H
SP1,2004/5,11/09/2004,Real Madrid,Numancia,H,€303.70m,€13.40m,1.2,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,5.5,11.5,1.2,5.9,13.0,1.2,5.0,10.0,1.2,5.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,5.5,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,5.0,11.0,0,0,0,1.0999999999999999,0.09999999999999998,3.8013851335345605,0.0909090909090909,0.04545454545454544,0.07201889020070835,3.207142857142857,2.22500859892858,3.4284951553538496,0.6937666010022299,0.36096086541520833,0.10513832797399454,6.321428571428571,5.370578390164132,3.201179315801957,0.849583022172857,0.443502824858757,0.12191535687823286,H
SP1,2004/5,12/09/2004,Albacete,Ath Madrid,A,€17.75m,€125.65m,2.75,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.15,2.7,2.65,3.3,2.53,2.5,3.0,2.5,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,0,0,0,1.78,0.7838458303227017,3.6630794731662832,0.44036282602398974,0.22752808988764053,0.08511877513087289,2.075,1.0768256922216202,3.6035606897782517,0.5189521408296964,0.26493730022129314,0.09058505077223436,1.7664285714285715,0.7679807209527476,3.6665603641508357,0.43476466208404635,0.2207555889318931,0.08486543373429292,A
