Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
F1,2004/5,06/08/2004,Nice,Lyon,A,€34.45m,€133.90m,3.25,3.0,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.2,3.5,3.1,2.0,3.2,2.9,2.1,3.2,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.25,3.0,2.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.87,3.1,2.2,0,0,0,2.0907142857142857,1.0985930241236113,3.5991074615800867,0.5254630111968076,0.27275611303626324,0.0908041709317466,2.0214285714285714,1.0234246231079616,3.613927711561325,0.5062877994173661,0.2587077233720343,0.08965038088925216,1.55,0.5525912982097555,3.7138872725702257,0.3565105149740358,0.18400263331138925,0.08041279471057128,A
F1,2004/5,07/08/2004,Bastia,Strasbourg,H,€31.85m,€35.10m,2.1,3.0,3.25,1.0,1.0,1.0,1.0,1.0,1.0,2.05,3.0,3.45,2.12,3.0,3.25,2.2,2.9,3.0,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.0,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.2,0,0,0,1.5478571428571428,0.5493395849489063,3.714636672672192,0.3549032851538851,0.18185114378007775,0.08037163315378343,2.0214285714285714,1.0241223220945068,3.6137632358571934,0.5066329508594734,0.2592125189298333,0.08964494864417644,2.1,1.1048593963551587,3.5980622839256577,0.5261235220738851,0.2711370262390669,0.09098701010089912,H
F1,2004/5,07/08/2004,Caen,Istres,D,€22.70m,€18.50m,1.9,3.2,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.1,3.75,1.95,3.0,3.75,1.8,3.1,3.8,2.0,3.0,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.1,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.0,3.75,0,0,0,1.4542857142857142,0.45601870709927,3.735362640662516,0.31356885556924263,0.16117036205444826,0.07839591514296791,2.0357142857142856,1.0368958777160266,3.611325557778907,0.5093523609833115,0.2588972431077695,0.08990832015699994,2.3428571428571425,1.3460069442159468,3.5545945278443383,0.5745151591165627,0.2931184668989546,0.09486753546601973,H
F1,2004/5,07/08/2004,Lille,Auxerre,H,€56.25m,€47.85m,2.37,3.0,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.2,2.6,2.45,3.05,2.65,2.4,2.9,2.7,2.4,3.25,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.0,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.0,2.7,0,0,0,1.6978571428571427,0.6980910559869534,3.6817466404535266,0.411160066630936,0.20743434100607008,0.08349429983079219,2.0285714285714285,1.0317658728250954,3.6122435567417446,0.5086169795616667,0.26106639839034196,0.08976687538474379,1.8357142857142856,0.8382440344103201,3.651578046624053,0.4566309915075674,0.23457476375764322,0.08621443073422502,H
F1,2004/5,07/08/2004,Marseille,Bordeaux,H,€78.60m,€52.60m,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.5,5.0,1.7,3.3,4.5,1.75,3.2,4.0,1.727,3.2,4.333,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.66,3.3,4.5,0,0,0,1.3505,0.35230115972397413,3.7578045974471483,0.26086720453459766,0.13473090087571496,0.07624245097726563,2.1392857142857142,1.141455613840217,3.5912975415825357,0.533568567404442,0.27200095397090407,0.09166924369819755,2.713785714285714,1.725187947465908,3.4943054314336734,0.6357126645572266,0.3289534538317209,0.09982816465219574,H
F1,2004/5,07/08/2004,Metz,Nantes,H,€35.70m,€47.35m,2.5,3.0,2.62,1.0,1.0,1.0,1.0,1.0,1.0,2.65,3.15,2.4,2.45,3.1,2.65,2.3,3.0,2.7,2.4,3.25,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.0,2.7,0,0,0,1.7350000000000005,0.739843130091006,3.6725210044741488,0.42642255336657403,0.22151973181203324,0.08421715832814976,2.0357142857142856,1.0377566070665145,3.611122687119463,0.5097751754010948,0.2601503759398496,0.08990156015642563,1.7907142857142857,0.7943412750351638,3.6608358968953456,0.44358906463870335,0.2290443899937318,0.08533097216566642,H
F1,2004/5,07/08/2004,Stade Rennais FC,Paris SG,H,€61.30m,€81.75m,2.75,3.0,2.37,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.1,2.2,2.85,3.0,2.35,2.7,2.9,2.4,2.75,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.0,2.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.87,3.0,2.25,0,0,0,1.905,0.9075300073748053,3.6371891953512687,0.4763937046586904,0.2441748352884461,0.08753023934377693,2.0142857142857142,1.016195385358785,3.6153549956759905,0.5044941629440777,0.25734549138804463,0.08952480047577109,1.6585714285714286,0.6607555971640902,3.6898856228478443,0.3983883876097012,0.20481112341577448,0.08267874978500986,A
F1,2004/5,07/08/2004,Sochaux,Ajaccio,H,€49.65m,€24.55m,1.57,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.55,3.55,5.5,1.6,3.3,5.5,1.6,3.4,4.6,1.533,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.57,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.57,3.5,5.0,0,0,0,1.2852142857142859,0.2856606824717117,3.7714411380129444,0.22226696796554013,0.11334963596954375,0.07494767594775045,2.210714285714286,1.211872602248946,3.5783647516327446,0.5481814678993618,0.2782137087468267,0.09284246121083672,3.15,2.1629180025406156,3.4361415409571685,0.6866406357271796,0.35325558794946543,0.10460862858588169,H
F1,2004/5,07/08/2004,St Etienne,Monaco,A,€37.50m,€103.80m,3.25,3.0,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.5,3.2,1.95,3.1,3.1,2.15,3.0,2.9,2.2,3.2,3.0,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.1,3.0,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.87,3.0,2.25,0,0,0,2.072857142857143,1.0808424529797418,3.6025191201263813,0.5214264073644516,0.27104459978340045,0.09049887953920678,2.0142857142857142,1.016195385358785,3.61535499567599,0.5044941629440777,0.25734549138804463,0.08952480047577109,1.5678571428571428,0.5715290090303949,3.7096305701723016,0.3645287529123248,0.18890335177351128,0.08078458650034476,A
F1,2004/5,07/08/2004,Toulouse,Lens,D,€37.10m,€52.50m,2.37,3.0,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.05,2.7,2.4,3.0,2.75,2.4,2.9,2.7,2.4,3.2,2.625,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.0,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.0,2.8,0,1,0,1.6892857142857145,0.6897045359708571,3.6835755067046145,0.4082817549087527,0.2063122923588038,0.0833184301333319,2.0107142857142857,1.0124543325554016,3.6161002567711527,0.5035296858179618,0.25640700329865507,0.08946283182435313,1.8660714285714286,0.8670355458429039,3.645614513181603,0.4646314886813647,0.2362952836637046,0.08680739423659851,H
