Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
P1,2004/5,28/08/2004,Belenenses,Maritimo,H,€24.35m,€21.20m,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.8,2.25,3.2,2.8,2.2,3.0,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.2,2.9,0,0,0,1.525,0.6067330549755798,3.6945643247409805,0.39785774096759335,0.19889595182335254,0.08050903223782149,1.9285714285714286,1.073331643214962,3.5843675768314074,0.5565423335188692,0.2777777777777778,0.08781385041551247,1.7785714285714285,0.8999433088721054,3.6238420718774367,0.5059922218558022,0.2535857716580606,0.08532004981186705,H
P1,2004/5,28/08/2004,Sp Lisbon,Gil Vicente,H,€89.40m,€8.20m,1.25,4.5,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.35,4.0,8.0,1.35,4.0,8.0,1.3,4.2,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.29,4.5,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,4.5,10.0,0,0,0,1.127857142857143,0.1500561119538084,3.7947591253774484,0.1330453177551183,0.06844295666334935,0.07257876423846037,2.4071428571428575,1.6315918106973613,3.4726107309053242,0.67781262165469,0.3431538787621874,0.0941761469849917,4.285714285714286,3.8438925848782026,3.199581230646065,0.896908269804914,0.4571428571428571,0.10678425155238473,H
P1,2004/5,29/08/2004,Beira Mar,Benfica,A,€8.10m,€120.05m,4.33,3.4,1.66,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.5,1.65,4.5,3.3,1.7,4.4,3.3,1.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.5,1.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.3,1.66,0,0,0,2.480714285714286,1.7103402513857309,3.4590585404906533,0.689454751494392,0.34344535395499975,0.09502882823133484,2.0214285714285714,1.1809067771532733,3.5610087262377648,0.5841941653761776,0.29303382130237254,0.08922898811698977,1.2814285714285716,0.3253318556897412,3.761507913303432,0.2538821616307902,0.1272495620321709,0.07541720072127345,A
P1,2004/5,29/08/2004,Boavista,Nacional,H,€29.10m,€10.25m,1.72,3.4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.35,1.9,3.2,3.65,1.8,3.1,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,0,1.3664285714285713,0.42734407587291234,3.738107141618524,0.3127452724631873,0.16007019640056777,0.0771923277445917,1.957142857142857,1.106935464446315,3.5769624634192034,0.5655874635857085,0.28415015641293007,0.08825568360934971,2.1464285714285714,1.3308783734428773,3.529720988819455,0.62004316899169,0.3153078202995008,0.0909520445988316,H
P1,2004/5,29/08/2004,Estoril,Rio Ave,D,€6.63m,€11.10m,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.2,2.75,2.3,3.2,2.75,2.2,2.9,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.2,2.9,0,1,0,1.532142857142857,0.6154577689054892,3.692415773440979,0.40169737830661295,0.2019647019647021,0.08065167731872433,1.9214285714285713,1.0664886118396546,3.5858278032641016,0.5550498351581846,0.27801380775358453,0.08768962402724648,1.7785714285714285,0.9013312150279018,3.6234879448967687,0.5067725706984186,0.255020080321285,0.08531016350009811,H
P1,2004/5,29/08/2004,Moreirense,Guimaraes,D,€6.15m,€20.40m,1.9,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.25,3.75,1.85,3.25,3.75,2.0,3.1,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.15,0,0,0,1.3935714285714285,0.4562675772403912,3.731228180569861,0.327408820162249,0.1658124038954383,0.07776942139656048,1.9499999999999997,1.097562233835903,3.5790496357671735,0.5628524276081555,0.28074306645735214,0.08815342164989821,2.0535714285714284,1.2264152591007265,3.551075157435171,0.5972109087794842,0.3049689440993788,0.0896337529298191,H
P1,2004/5,29/08/2004,Penafiel,Setubal,A,€5.73m,€9.58m,1.9,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.25,3.75,1.85,3.25,3.75,2.1,2.9,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.25,3.3,0,0,1,1.397142857142857,0.4619435428000849,3.7298672736436544,0.33063443758697286,0.16812737364884614,0.07784024895917409,1.9357142857142857,1.0837152649613293,3.5819884799391577,0.5598529044080668,0.28123352662098067,0.08790905781216311,2.064285714285714,1.2365604039645866,3.5490457603117704,0.5990258012285194,0.30499258526940176,0.0898052469492433,H
P1,2004/5,30/08/2004,Academica,Sp Braga,D,€13.73m,€33.05m,2.3,3.25,2.62,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.2,2.75,2.3,3.2,2.75,2.4,2.9,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.1,2.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.35,3.1,2.65,0,1,0,1.5735714285714286,0.6628467517658441,3.680798518680679,0.4212371550032599,0.21084884248751704,0.0814858306181239,1.9107142857142858,1.054273373911518,3.5885434116918744,0.5517692424209814,0.2781041388518023,0.08751822575786176,1.7207142857142856,0.8329934340824602,3.6396329679602895,0.4840974710317328,0.2425724959971534,0.08428788087937773,H
P1,2004/5,05/09/2004,Guimaraes,Academica,H,€20.40m,€13.73m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.4,3.8,1.8,3.25,4.0,1.8,3.1,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,3.8,0,0,0,1.292857142857143,0.39363559238442436,3.743388697032723,0.304469518971378,0.14719810576164163,0.07615531006439169,1.8035714285714286,1.0795938862292958,3.5634733893831494,0.5985867091964412,0.2898161244695897,0.0852898983377366,1.9857142857142858,1.327649449675813,3.503516160959345,0.6686004422827836,0.3252826310380267,0.0876239832345728,No Consensus
P1,2004/5,10/09/2004,Gil Vicente,Boavista,A,€8.20m,€29.10m,2.6,3.1,2.4,1.0,1.0,1.0,1.0,1.0,1.0,2.55,3.2,2.45,2.5,3.2,2.5,2.5,3.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,0,0,0,1.6535714285714285,0.755093250086723,3.658332117772535,0.45664386614315866,0.22786177105831543,0.0830417135840766,1.9071428571428573,1.0484439393108014,3.5899048368365287,0.5497458857809445,0.2752808988764046,0.08747450985065985,1.6321428571428573,0.7303636919021781,3.6643245004996814,0.4474876011654482,0.22335104720225088,0.08263203644920397,A
