Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A,H_Mean,H_Std,H_Shannon,H_CV,H_Gini,H_HHI,D_Mean,D_Std,D_Shannon,D_CV,D_Gini,D_HHI,A_Mean,A_Std,A_Shannon,A_CV,A_Gini,A_HHI,Consensus
I1,2004/5,11/09/2004,Chievo,Inter,D,€46.28m,€240.63m,4.5,3.2,1.727,1.0,1.0,1.0,1.0,1.0,1.0,5.35,3.25,1.65,5.0,3.2,1.7,4.2,3.1,1.75,4.5,3.25,1.667,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.1,1.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.2,1.7,0,0,0,2.8607142857142853,1.879226528904585,3.4722088215391396,0.6569081499291933,0.3428749777064384,0.10151044228863261,2.092857142857143,1.093627179693,3.6003915106237807,0.522552236030785,0.2647489029741589,0.09089913007167148,1.3510000000000002,0.35173082240339903,3.757939512534515,0.26034849918830427,0.13322708802247765,0.0762508409247878,A
I1,2004/5,11/09/2004,Milan,Livorno,D,€273.70m,€25.00m,1.167,6.5,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15,6.0,13.0,1.15,6.0,15.0,1.15,6.0,12.0,1.167,5.5,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.16,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.16,5.5,12.0,0,0,0,1.078857142857143,0.07902066379196296,3.8034826911474804,0.07324478900208432,0.03744514225181608,0.07181116789426369,3.4642857142857144,2.4746160287600008,3.401032306305991,0.7143221526317528,0.3674521354933725,0.1075076654151444,7.071428571428571,6.134961703388278,3.1699949982019775,0.8675703418932919,0.45238095238095233,0.12395126286790413,H
I1,2004/5,12/09/2004,Atalanta,Lecce,D,€41.70m,€44.90m,2.0,3.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.1,3.6,2.1,2.9,3.6,1.9,3.0,3.6,2.1,2.75,3.5,1.0,1.0,1.0,1.0,1.0,1.0,2.05,3.0,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.05,2.9,3.4,0,0,0,1.5142857142857142,0.5163154391000343,3.7219785812656174,0.34096302582077737,0.1755390835579518,0.07966171793638979,1.9749999999999999,0.9777433931544324,3.6229421957023287,0.49505994590097846,0.2538103849134591,0.08881473591844936,2.2714285714285714,1.2724714823796202,3.567512783465275,0.5602075708589523,0.28391734052111406,0.09379966650292294,H
I1,2004/5,12/09/2004,Brescia,Juventus,A,€45.25m,€304.90m,4.0,3.1,1.833,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.1,1.8,4.1,3.25,1.8,3.8,3.0,1.85,4.0,3.0,1.833,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.2,1.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.83,0,0,0,2.5285714285714285,1.5350330715044038,3.5233746775995907,0.6070752260186908,0.31154156577885395,0.0974814532932407,2.0464285714285713,1.0485473430476302,3.609015254012427,0.512379155415945,0.261904761904762,0.09008818884514795,1.414,0.4142233696932128,3.7445512511793666,0.2929443915793584,0.14821897641659224,0.07755157636323366,A
I1,2004/5,12/09/2004,Cagliari,Bologna,H,€23.90m,€29.94m,2.375,2.875,2.875,1.0,1.0,1.0,1.0,1.0,1.0,2.3,2.9,3.1,2.25,2.9,3.15,2.2,2.9,3.0,2.25,2.875,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,2.9,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,2.9,2.9,0,0,0,1.6410714285714287,0.6420952826807065,3.694037711777544,0.3912658958663717,0.19951810974661913,0.08232341975890967,1.9464285714285714,0.9464622635512367,3.6293495247471705,0.4862558418244886,0.24377457404980332,0.08831601833707488,2.0089285714285716,1.0112583719791688,3.61630598286454,0.503381945162964,0.25784126984126987,0.08942616707136052,H
I1,2004/5,12/09/2004,Palermo,Siena,H,€78.75m,€54.90m,1.727,3.2,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.66,3.15,5.5,1.7,3.1,5.2,1.8,3.0,4.0,1.727,3.2,4.333,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.1,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.1,4.5,0,0,0,1.3667142857142858,0.368233898604722,3.7544404457388483,0.26943005019682803,0.13884035897206162,0.07657198887661314,2.060714285714286,1.0616998788042982,3.6065132661269463,0.5152096465601447,0.26157464718989853,0.0903454231155933,2.8237857142857146,1.8551505205997794,3.4747423511914133,0.6569728401183039,0.3454600315830173,0.10099451650145644,H
I1,2004/5,12/09/2004,Parma,Messina,D,€110.05m,€32.65m,1.533,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.55,3.25,6.5,1.55,3.4,6.1,1.55,3.4,5.0,1.444,3.5,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.4,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.4,6.0,0,0,0,1.2590714285714284,0.2603669016395666,3.7763388005340697,0.20679279644601645,0.10667482514648788,0.07445815474741507,2.1964285714285716,1.197387675273952,3.5810100500764515,0.5451521123198481,0.2758420441347269,0.09261445240776452,3.6142857142857143,2.6535305707294796,3.380457694428787,0.7341784187789074,0.3856578204404292,0.10855059709837733,H
I1,2004/5,12/09/2004,Reggina,Udinese,D,€29.30m,€83.95m,2.6,2.875,2.6,1.0,1.0,1.0,1.0,1.0,1.0,2.7,2.9,2.55,2.75,2.8,2.63,2.6,2.8,2.6,2.5,2.875,2.625,1.0,1.0,1.0,1.0,1.0,1.0,2.7,2.87,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6,2.8,2.6,0,1,0,1.8178571428571428,0.8197576172384178,3.6555022522044016,0.45094721576966007,0.23084479371316305,0.08587325463128291,1.922857142857143,0.9233029109160884,3.634037573886105,0.4801723905209969,0.24275631500742925,0.08787823705458671,1.800357142857143,0.8005365706951858,3.659639744952601,0.44465431421275936,0.22392099073313124,0.08554368651332372,No Consensus
I1,2004/5,12/09/2004,Roma,Fiorentina,H,€201.60m,€111.83m,1.571,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.55,3.5,5.75,1.62,3.3,5.5,1.45,3.6,5.8,1.615,3.25,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61,3.3,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.57,3.5,5.0,0,0,0,1.2847142857142855,0.28732694880606674,3.771087999906053,0.22365046610057462,0.1162094327333957,0.07494644428771512,2.2035714285714283,1.2065985670639658,3.579231119072333,0.5475649899155762,0.2807362815466543,0.09271243130472148,3.2178571428571425,2.2278759216906536,3.4286496354409364,0.6923476782168514,0.3569843031552242,0.10529109405287869,H
I1,2004/5,12/09/2004,Sampdoria,Lazio,A,€51.00m,€77.05m,2.1,3.0,3.75,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.05,3.5,2.05,3.0,3.6,2.0,2.9,3.4,2.0,3.0,3.4,1.0,1.0,1.0,1.0,1.0,1.0,2.05,3.1,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.0,3.2,0,0,1,1.5214285714285716,0.5222596117265974,3.7206832527074982,0.34326922836489965,0.17505030181086526,0.07981592119249287,2.003571428571429,1.0043591214789456,3.617736242635537,0.5012844100073167,0.2540106951871657,0.08934315340944857,2.2321428571428568,1.2374523284984043,3.5735393139870726,0.5543786431672852,0.2858285714285713,0.09314914962792778,H
