Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A
D1,2004/5,06/08/2004,Werder Bremen,Schalke 04,H,€98.48m,€86.33m,1.9,3.25,3.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.4,2.1,3.3,3.35,2.2,3.0,2.9,1.909,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.3,3.1,0,0,0
D1,2004/5,07/08/2004,Dortmund,Wolfsburg,A,€78.33m,€59.30m,1.57,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.55,3.7,5.4,1.6,3.65,5.5,1.65,3.3,4.4,1.571,3.5,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.62,3.4,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61,3.5,4.5,0,0,1
D1,2004/5,07/08/2004,Freiburg,Hansa Rostock,D,€22.43m,€25.90m,2.1,3.25,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.4,2.05,3.25,3.5,2.1,3.0,3.1,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.3,3.1,0,1,0
D1,2004/5,07/08/2004,Hamburg,Bayern Munich,A,€65.60m,€175.30m,3.25,3.25,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.75,3.4,1.85,3.65,3.25,2.0,3.6,3.2,1.9,3.75,3.2,1.833,1.0,1.0,1.0,1.0,1.0,1.0,3.3,3.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1,3.3,2.0,0,0,0
D1,2004/5,07/08/2004,Hertha,Bochum,D,€71.78m,€31.40m,1.83,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.5,4.4,1.85,3.3,4.25,1.75,3.2,4.0,1.833,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,0
D1,2004/5,07/08/2004,Kaiserslautern,Nurnberg,A,€33.75m,€34.90m,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.75,3.4,4.2,1.9,3.3,4.0,1.85,3.1,3.6,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,1
D1,2004/5,07/08/2004,Leverkusen,Hannover,H,€86.93m,€42.98m,1.5,3.5,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.45,4.0,6.2,1.6,3.5,6.0,1.55,3.5,4.8,1.533,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.6,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.44,3.75,6.0,0,0,0
D1,2004/5,08/08/2004,Bielefeld,M'gladbach,D,€24.65m,€50.93m,2.25,3.25,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.3,2.6,2.35,3.2,2.95,2.3,3.0,2.7,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.1,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.25,2.75,0,1,0
D1,2004/5,08/08/2004,Stuttgart,Mainz,H,€79.50m,€16.73m,1.4,3.75,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.4,4.2,6.7,1.41,4.25,7.25,1.5,3.7,5.0,1.4,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.75,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.44,3.75,6.0,0,0,0
D1,2004/5,14/08/2004,Bayern Munich,Hertha,D,€175.30m,€71.78m,1.4,4.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.7,8.2,1.43,4.0,7.75,1.4,3.9,6.0,1.36,3.75,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,4.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.36,4.0,7.0,0,0,0
