Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A
N1,2004/5,13/08/2004,Roda,Vitesse,A,€20.93m,€21.40m,1.66,3.4,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.6,4.75,1.7,3.4,4.4,1.7,3.3,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.66,3.3,4.5,0,0,1
N1,2004/5,14/08/2004,AZ Alkmaar,Heerenveen,D,€50.00m,€31.20m,1.9,3.25,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.35,3.3,1.9,3.25,3.5,1.9,3.2,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,0
N1,2004/5,14/08/2004,NAC Breda,Utrecht,H,€17.45m,€20.30m,2.0,3.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.4,3.4,1.91,3.25,3.5,2.2,3.0,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.2,0,0,0
N1,2004/5,14/08/2004,Nijmegen,Willem II,H,€16.88m,€13.98m,2.2,3.25,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.25,2.85,2.2,3.2,2.9,2.1,3.1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,0,0,0
N1,2004/5,14/08/2004,Roosendaal,PSV Eindhoven,A,€10.70m,€86.85m,5.0,3.6,1.57,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.55,1.65,5.0,3.5,1.6,3.8,3.3,1.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.75,3.4,1.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.4,1.5,0,0,0
N1,2004/5,15/08/2004,Den Bosch,Den Haag,H,€8.35m,€9.92m,2.2,3.25,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.3,3.0,2.2,3.2,2.9,2.3,3.0,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.3,2.8,0,0,0
N1,2004/5,15/08/2004,Feyenoord,Graafschap,H,€66.43m,€12.28m,1.16,5.5,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,5.25,8.0,1.2,5.5,11.0,1.2,5.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.17,5.5,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.16,6.0,10.0,0,0,0
N1,2004/5,15/08/2004,Groningen,Waalwijk,D,€12.95m,€19.33m,2.1,3.25,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.35,3.2,2.1,3.25,3.05,2.2,3.0,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.3,3.25,0,1,0
N1,2004/5,15/08/2004,Twente,Ajax,A,€13.25m,€114.50m,4.0,3.5,1.72,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.45,1.75,4.3,3.4,1.7,3.8,3.3,1.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.4,1.67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.5,1.61,0,0,0
N1,2004/5,20/08/2004,Vitesse,Groningen,H,€21.40m,€12.95m,1.8,3.3,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,1.83,3.25,3.9,1.8,3.1,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.4,4.0,0,0,0
