Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA,isSuprise_H,isSuprise_D,isSuprise_A
T1,06/08/04,Rizespor,Fenerbahce,D,6.0,3.4,1.5,6.0,3.6,1.5,6.0,3.6,1.5,5.4,3.8,1.45,5.5,3.6,1.53,5.5,3.4,1.57,6.0,3.4,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,07/08/04,Denizlispor,Gaziantepspor,H,2.2,3.25,2.75,2.1,3.3,3.0,2.2,3.2,2.9,2.0,3.1,3.2,2.1,3.25,3.0,2.25,3.2,2.8,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,07/08/04,Genclerbirligi,Sakaryaspor,H,1.5,3.4,6.0,1.45,3.7,6.5,1.45,3.7,6.6,1.45,3.8,5.4,1.53,3.6,5.5,1.5,3.5,6.0,1.4,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,07/08/04,Kayserispor,Trabzonspor,A,4.33,3.4,1.66,5.0,3.5,1.6,4.2,3.5,1.7,4.4,3.3,1.65,4.33,3.6,1.67,4.5,3.4,1.67,4.4,3.4,1.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,07/08/04,Malatyaspor,Besiktas,D,3.2,3.2,2.0,3.3,3.2,2.0,3.1,3.2,2.1,3.5,3.1,1.9,3.5,3.25,1.91,3.5,3.25,1.91,2.8,3.2,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,08/08/04,A. Sebatspor,Ankaraspor,A,2.2,3.25,2.75,2.2,3.35,2.75,2.25,3.2,2.85,2.2,3.0,3.9,2.2,3.25,2.8,2.25,3.25,2.75,2.0,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,08/08/04,Galatasaray,Konyaspor,H,1.36,4.0,7.0,1.35,4.1,7.75,1.35,4.0,8.3,1.4,3.9,6.0,1.33,4.33,7.5,1.36,4.0,7.5,1.4,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,08/08/04,Istanbulspor,Diyarbakirspor,D,2.2,3.25,2.75,2.25,3.15,2.8,2.25,3.2,2.85,2.2,3.0,2.9,2.2,3.25,2.8,2.2,3.2,2.88,2.2,3.1,2.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
T1,08/08/04,Samsunspor,Ankaragucu,D,1.83,3.25,3.6,2.0,3.3,3.2,2.0,3.2,3.35,1.8,3.3,3.6,2.0,3.25,3.25,2.0,3.25,3.25,2.1,3.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
T1,13/08/04,Gaziantepspor,Galatasaray,H,3.0,3.2,2.1,3.35,3.3,1.95,2.95,3.25,2.1,3.1,3.0,2.1,3.0,3.2,2.1,2.8,3.25,2.2,2.62,3.2,2.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
