Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A
B1,2004/5,06/08/2004,Mouscron,Anderlecht,H,€15.60m,€63.60m,3.5,3.25,1.9,1.0,1.0,1.0,1.0,1.0,1.0,3.25,3.4,1.95,3.6,3.25,1.9,3.5,3.1,1.9,3.75,3.5,1.727,1.0,1.0,1.0,1.0,1.0,1.0,3.6,3.25,1.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.8,3.5,1.72,1,0,0
B1,2004/5,07/08/2004,Beveren,Club Brugge,D,€14.30m,€53.03m,4.0,3.5,1.72,1.0,1.0,1.0,1.0,1.0,1.0,4.75,3.6,1.65,4.2,3.5,1.7,5.4,3.8,1.45,5.0,3.5,1.571,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.4,1.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.4,1.66,0,0,0
B1,2004/5,07/08/2004,Cercle Brugge,Lokeren,D,€10.98m,€18.73m,2.37,3.2,2.62,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.25,2.7,2.4,3.15,2.65,2.5,3.0,2.5,2.4,3.25,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6,3.1,2.4,0,1,0
B1,2004/5,07/08/2004,FC Brussels,Genk,A,€10.22m,€30.45m,3.0,3.25,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.2,3.35,2.0,3.35,3.2,2.0,3.1,3.0,2.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.1,3.1,2.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.2,3.2,2.0,0,0,0
B1,2004/5,07/08/2004,Gent,Germinal,A,€26.63m,€15.67m,2.0,3.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.25,3.0,1.95,3.2,3.5,1.9,3.1,3.5,1.909,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.4,3.6,0,0,1
B1,2004/5,07/08/2004,Lierse,Standard,D,€14.83m,€43.55m,2.8,3.25,2.2,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.3,2.1,2.85,3.2,2.25,2.7,3.0,2.3,2.75,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.1,2.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.87,3.1,2.2,0,1,0
B1,2004/5,07/08/2004,St Truiden,Bergen,D,€12.10m,€15.63m,1.83,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.35,3.2,1.8,3.3,4.0,1.9,3.1,3.5,1.8,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,0
B1,2004/5,08/08/2004,Charleroi,Louvieroise,A,€12.15m,€17.80m,2.3,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.25,2.7,2.25,3.1,2.9,2.2,3.0,2.9,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.1,2.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.2,2.9,0,0,0
B1,2004/5,08/08/2004,Oostende,Westerlo,D,€8.60m,€13.40m,2.7,3.2,2.3,1.0,1.0,1.0,1.0,1.0,1.0,2.9,3.2,2.2,2.65,3.25,2.35,2.6,3.0,2.4,2.75,3.25,2.2,1.0,1.0,1.0,1.0,1.0,1.0,2.75,3.2,2.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.25,2.4,0,1,0
B1,2004/5,13/08/2004,Standard,Charleroi,A,€43.55m,€12.15m,1.33,4.33,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3,4.5,8.25,1.33,4.5,7.25,1.3,4.2,8.0,1.3,4.33,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.33,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.33,7.0,0,0,1
