Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A
SP1,2004/5,28/08/2004,Ath Madrid,Malaga,H,€125.65m,€32.85m,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.35,3.6,1.85,3.25,4.3,1.75,3.1,4.2,1.73,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,4.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.2,4.33,0,0,0
SP1,2004/5,28/08/2004,Espanol,La Coruna,D,€45.15m,€144.45m,2.87,3.2,2.4,1.0,1.0,1.0,1.0,1.0,1.0,3.4,3.25,2.0,3.0,3.3,2.25,2.9,3.0,2.2,2.6,3.2,2.38,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.2,2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.1,2.37,0,1,0
SP1,2004/5,28/08/2004,Numancia,Betis,D,€13.40m,€85.15m,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.15,2.6,2.6,3.2,2.6,2.4,2.9,2.7,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,0,1,0
SP1,2004/5,29/08/2004,Mallorca,Real Madrid,A,€42.65m,€303.70m,5.0,3.4,1.72,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.4,1.7,4.75,3.3,1.77,3.8,3.1,1.8,4.33,3.2,1.73,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.4,1.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.2,3.25,1.72,0,0,0
SP1,2004/5,29/08/2004,Osasuna,Ath Bilbao,D,€26.70m,€53.05m,2.3,3.2,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.9,2.3,3.25,2.95,2.4,2.9,2.7,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.1,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.1,2.75,0,1,0
SP1,2004/5,29/08/2004,Santander,Barcelona,A,€32.90m,€273.03m,5.0,3.4,1.72,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.4,1.7,4.75,3.4,1.75,3.8,3.1,1.8,4.5,3.25,1.67,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.4,1.73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.8,3.25,1.8,0,0,0
SP1,2004/5,29/08/2004,Sevilla,Albacete,H,€70.55m,€17.75m,1.66,3.4,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.4,4.5,1.72,3.4,5.0,1.75,3.2,4.0,1.62,3.25,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.4,4.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.4,4.8,0,0,0
SP1,2004/5,29/08/2004,Sociedad,Levante,D,€53.55m,€24.25m,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.7,3.4,4.5,1.73,3.3,5.0,1.7,3.1,4.4,1.67,3.25,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.67,3.4,4.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61,3.1,5.5,0,0,0
SP1,2004/5,29/08/2004,Zaragoza,Getafe,H,€51.13m,€13.85m,1.72,3.25,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.25,4.0,1.8,3.35,4.5,1.75,3.1,4.2,1.62,3.25,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.73,3.4,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.2,4.33,0,0,0
SP1,2004/5,30/08/2004,Valencia,Villarreal,H,€195.90m,€66.25m,1.61,3.4,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.45,3.75,7.0,1.63,3.3,6.0,1.55,3.5,4.8,1.53,3.5,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.53,3.6,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
SP1,2004/5,11/09/2004,Ath Bilbao,Valencia,D,€53.05m,€195.90m,2.7,3.2,2.3,1.0,1.0,1.0,1.0,1.0,1.0,2.7,3.15,2.4,2.8,3.2,2.43,2.5,3.0,2.5,2.6,3.2,2.375,1.0,1.0,1.0,1.0,1.0,1.0,2.8,3.1,2.37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,0,1,0
SP1,2004/5,11/09/2004,Barcelona,Sevilla,H,€273.03m,€70.55m,1.444,4.0,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.4,4.0,7.25,1.45,4.0,7.25,1.4,3.7,6.5,1.364,3.75,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.44,3.75,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.6,7.5,0,0,0
SP1,2004/5,11/09/2004,Real Madrid,Numancia,H,€303.70m,€13.40m,1.2,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,5.5,11.5,1.2,5.9,13.0,1.2,5.0,10.0,1.2,5.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,5.5,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,5.0,11.0,0,0,0
SP1,2004/5,12/09/2004,Albacete,Ath Madrid,A,€17.75m,€125.65m,2.75,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.4,3.15,2.7,2.65,3.3,2.53,2.5,3.0,2.5,2.5,3.2,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.62,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,0,0,0
SP1,2004/5,12/09/2004,Betis,Espanol,A,€85.15m,€45.15m,2.0,3.25,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.25,3.7,2.0,3.25,3.7,1.9,3.0,3.6,1.833,3.2,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.25,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.2,3.5,0,0,1
SP1,2004/5,12/09/2004,Getafe,Mallorca,A,€13.85m,€42.65m,2.375,3.2,2.625,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.2,3.0,2.35,3.2,2.95,2.4,2.9,2.7,2.4,2.875,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.2,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.1,2.62,0,0,0
SP1,2004/5,12/09/2004,La Coruna,Osasuna,A,€144.45m,€26.70m,1.444,3.75,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.6,6.25,1.53,3.7,6.5,1.45,3.6,5.8,1.5,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.6,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.4,6.0,0,0,1
SP1,2004/5,12/09/2004,Levante,Santander,H,€24.25m,€32.90m,2.1,3.2,3.1,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.2,2.1,3.25,3.4,2.0,3.0,3.3,2.0,3.2,3.2,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.1,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.1,3.1,0,0,0
