Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA,isSuprise_H,isSuprise_D,isSuprise_A
SP1,28/08/04,Ath Madrid,Malaga,H,1.72,3.25,4.33,1.9,3.35,3.6,1.85,3.25,4.3,1.75,3.1,4.2,1.73,3.2,4.33,1.8,3.25,4.2,1.72,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
SP1,28/08/04,Espanol,La Coruna,D,2.87,3.2,2.4,3.4,3.25,2.0,3.0,3.3,2.25,2.9,3.0,2.2,2.6,3.2,2.38,3.0,3.2,2.2,2.62,3.1,2.37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
SP1,28/08/04,Numancia,Betis,D,2.5,3.2,2.5,2.5,3.15,2.6,2.6,3.2,2.6,2.4,2.9,2.7,2.5,3.2,2.5,2.62,3.1,2.5,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
SP1,29/08/04,Mallorca,Real Madrid,A,5.0,3.4,1.72,4.5,3.4,1.7,4.75,3.3,1.77,3.8,3.1,1.8,4.33,3.2,1.73,4.33,3.4,1.73,4.2,3.25,1.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
SP1,29/08/04,Osasuna,Ath Bilbao,D,2.3,3.2,2.7,2.25,3.2,2.9,2.3,3.25,2.95,2.4,2.9,2.7,2.25,3.2,2.75,2.4,3.1,2.75,2.3,3.1,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
SP1,29/08/04,Santander,Barcelona,A,5.0,3.4,1.72,4.5,3.4,1.7,4.75,3.4,1.75,3.8,3.1,1.8,4.5,3.25,1.67,4.33,3.4,1.73,3.8,3.25,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
SP1,29/08/04,Sevilla,Albacete,H,1.66,3.4,4.5,1.7,3.4,4.5,1.72,3.4,5.0,1.75,3.2,4.0,1.62,3.25,5.0,1.67,3.4,4.75,1.6,3.4,4.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
SP1,29/08/04,Sociedad,Levante,D,1.72,3.25,4.33,1.7,3.4,4.5,1.73,3.3,5.0,1.7,3.1,4.4,1.67,3.25,4.5,1.67,3.4,4.75,1.61,3.1,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
SP1,29/08/04,Zaragoza,Getafe,H,1.72,3.25,4.33,1.85,3.25,4.0,1.8,3.35,4.5,1.75,3.1,4.2,1.62,3.25,5.0,1.73,3.4,4.33,1.72,3.2,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
SP1,30/08/04,Valencia,Villarreal,H,1.61,3.4,5.0,1.45,3.75,7.0,1.63,3.3,6.0,1.55,3.5,4.8,1.53,3.5,5.5,1.53,3.6,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
SP1,11/09/04,Ath Bilbao,Valencia,D,2.7,3.2,2.3,2.7,3.15,2.4,2.8,3.2,2.43,2.5,3.0,2.5,2.6,3.2,2.375,2.8,3.1,2.37,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
SP1,11/09/04,Barcelona,Sevilla,H,1.444,4.0,7.5,1.4,4.0,7.25,1.45,4.0,7.25,1.4,3.7,6.5,1.364,3.75,8.0,1.44,3.75,7.0,1.4,3.6,7.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
SP1,11/09/04,Real Madrid,Numancia,H,1.2,6.0,13.0,1.2,5.5,11.5,1.2,5.9,13.0,1.2,5.0,10.0,1.2,5.0,11.0,1.2,5.5,12.0,1.2,5.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
SP1,12/09/04,Albacete,Ath Madrid,A,2.75,3.2,2.5,2.4,3.15,2.7,2.65,3.3,2.53,2.5,3.0,2.5,2.5,3.2,2.5,2.62,3.1,2.5,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
SP1,12/09/04,Betis,Espanol,A,2.0,3.25,3.25,1.9,3.25,3.7,2.0,3.25,3.7,1.9,3.0,3.6,1.833,3.2,3.75,1.9,3.25,3.75,1.9,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1
SP1,12/09/04,Getafe,Mallorca,A,2.375,3.2,2.625,2.2,3.2,3.0,2.35,3.2,2.95,2.4,2.9,2.7,2.4,2.875,2.75,2.5,3.2,2.6,2.37,3.1,2.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
SP1,12/09/04,La Coruna,Osasuna,A,1.444,3.75,6.5,1.5,3.6,6.25,1.53,3.7,6.5,1.45,3.6,5.8,1.5,3.4,6.0,1.5,3.6,6.5,1.5,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1
SP1,12/09/04,Levante,Santander,H,2.1,3.2,3.1,2.1,3.2,3.2,2.1,3.25,3.4,2.0,3.0,3.3,2.0,3.2,3.2,2.2,3.1,3.1,2.1,3.1,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
SP1,12/09/04,Malaga,Zaragoza,D,2.1,3.25,3.0,2.15,3.3,3.0,2.2,3.1,3.35,2.0,3.0,3.3,2.2,3.2,2.8,2.1,3.2,3.2,2.1,3.1,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
SP1,12/09/04,Villarreal,Sociedad,D,1.727,3.25,4.333,1.8,3.25,4.2,1.8,3.35,4.5,1.85,3.1,3.6,1.8,3.25,3.75,1.75,3.3,4.5,1.83,3.3,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
SP1,18/09/04,Espanol,Real Madrid,H,3.75,3.2,2.0,4.0,3.35,1.8,3.8,3.3,1.95,3.5,3.1,1.9,3.75,3.25,1.8,3.8,3.4,1.83,3.75,3.3,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0
SP1,18/09/04,Osasuna,Betis,H,2.0,3.25,3.25,2.0,3.25,3.4,2.0,3.25,3.7,1.85,3.1,3.6,1.83,3.2,3.75,2.0,3.1,3.6,1.9,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
SP1,18/09/04,Valencia,Sociedad,H,1.44,3.75,6.5,1.45,3.8,6.7,1.5,3.75,6.75,1.5,3.7,5.0,1.44,3.6,6.5,1.5,3.6,6.5,1.44,3.6,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
