Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A
P1,2004/5,28/08/2004,Belenenses,Maritimo,H,€24.35m,€21.20m,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.8,2.25,3.2,2.8,2.2,3.0,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.2,2.9,0,0,0
P1,2004/5,28/08/2004,Sp Lisbon,Gil Vicente,H,€89.40m,€8.20m,1.25,4.5,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.35,4.0,8.0,1.35,4.0,8.0,1.3,4.2,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.29,4.5,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,4.5,10.0,0,0,0
P1,2004/5,29/08/2004,Beira Mar,Benfica,A,€8.10m,€120.05m,4.33,3.4,1.66,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.5,1.65,4.5,3.3,1.7,4.4,3.3,1.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.5,1.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.3,1.66,0,0,0
P1,2004/5,29/08/2004,Boavista,Nacional,H,€29.10m,€10.25m,1.72,3.4,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.2,3.35,1.9,3.2,3.65,1.8,3.1,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.3,3.75,0,0,0
P1,2004/5,29/08/2004,Estoril,Rio Ave,D,€6.63m,€11.10m,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.2,2.75,2.3,3.2,2.75,2.2,2.9,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.2,2.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,3.2,2.9,0,1,0
P1,2004/5,29/08/2004,Moreirense,Guimaraes,D,€6.15m,€20.40m,1.9,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.25,3.75,1.85,3.25,3.75,2.0,3.1,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.25,3.15,0,0,0
P1,2004/5,29/08/2004,Penafiel,Setubal,A,€5.73m,€9.58m,1.9,3.2,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.85,3.25,3.75,1.85,3.25,3.75,2.1,2.9,3.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.91,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.25,3.3,0,0,1
P1,2004/5,30/08/2004,Academica,Sp Braga,D,€13.73m,€33.05m,2.3,3.25,2.62,1.0,1.0,1.0,1.0,1.0,1.0,2.3,3.2,2.75,2.3,3.2,2.75,2.4,2.9,2.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.1,2.62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.35,3.1,2.65,0,1,0
P1,2004/5,05/09/2004,Guimaraes,Academica,H,€20.40m,€13.73m,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.4,3.8,1.8,3.25,4.0,1.8,3.1,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,3.25,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.25,3.8,0,0,0
P1,2004/5,10/09/2004,Gil Vicente,Boavista,A,€8.20m,€29.10m,2.6,3.1,2.4,1.0,1.0,1.0,1.0,1.0,1.0,2.55,3.2,2.45,2.5,3.2,2.5,2.5,3.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,3.1,2.5,0,0,0
