Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA,BFH,BFD,BFA,isSuprise_H,isSuprise_D,isSuprise_A
P1,28/08/04,Belenenses,Maritimo,H,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.8,2.2,3.0,2.9,1.0,1.0,1.0,2.25,3.2,2.75,2.15,3.2,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,28/08/04,Sp Lisbon,Gil Vicente,H,1.25,4.5,10.0,1.35,4.0,8.0,1.35,4.0,8.0,1.3,4.2,8.0,1.0,1.0,1.0,1.29,4.5,8.0,1.25,4.5,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,29/08/04,Beira Mar,Benfica,A,4.33,3.4,1.66,4.5,3.5,1.65,4.5,3.3,1.7,4.4,3.3,1.65,1.0,1.0,1.0,4.5,3.5,1.62,4.5,3.3,1.66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,29/08/04,Boavista,Nacional,H,1.72,3.4,4.0,2.0,3.2,3.35,1.9,3.2,3.65,1.8,3.1,3.8,1.0,1.0,1.0,1.91,3.2,3.5,1.8,3.3,3.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,29/08/04,Estoril,Rio Ave,D,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.2,2.75,2.2,2.9,3.0,1.0,1.0,1.0,2.25,3.2,2.75,2.15,3.2,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
P1,29/08/04,Moreirense,Guimaraes,D,1.9,3.2,3.5,1.85,3.25,3.75,1.85,3.25,3.75,2.0,3.1,3.2,1.0,1.0,1.0,1.91,3.25,3.4,2.0,3.25,3.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,29/08/04,Penafiel,Setubal,A,1.9,3.2,3.5,1.85,3.25,3.75,1.85,3.25,3.75,2.1,2.9,3.2,1.0,1.0,1.0,1.91,3.25,3.4,1.95,3.25,3.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,1
P1,30/08/04,Academica,Sp Braga,D,2.3,3.25,2.62,2.3,3.2,2.75,2.3,3.2,2.75,2.4,2.9,2.7,1.0,1.0,1.0,2.38,3.1,2.62,2.35,3.1,2.65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,0
P1,05/09/04,Guimaraes,Academica,H,1.0,1.0,1.0,1.8,3.4,3.8,1.8,3.25,4.0,1.8,3.1,3.8,1.0,1.0,1.0,1.9,3.25,3.4,1.8,3.25,3.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,10/09/04,Gil Vicente,Boavista,A,2.6,3.1,2.4,2.55,3.2,2.45,2.5,3.2,2.5,2.5,3.0,2.5,1.0,1.0,1.0,2.5,3.1,2.5,2.5,3.1,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,11/09/04,Benfica,Moreirense,H,1.25,5.0,8.0,1.25,5.0,9.0,1.25,5.0,9.0,1.3,4.2,8.0,1.0,1.0,1.0,1.3,4.33,8.0,1.22,5.0,9.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
P1,11/09/04,Leiria,Estoril,H,1.615,3.3,5.0,1.75,3.4,4.05,1.7,3.4,4.4,1.85,3.1,3.6,1.0,1.0,1.0,1.66,3.4,4.33,1.61,3.5,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
