Div,Season,Date,HomeTeam,AwayTeam,FTR,HomeValue,AwayValue,B365H,B365D,B365A,BFH,BFD,BFA,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,SOH,SOD,SOA,SBH,SBD,SBA,SJH,SJD,SJA,SYH,SYD,SYA,VCH,VCD,VCA,WHH,WHD,WHA,isSuprise_H,isSuprise_D,isSuprise_A
I1,2004/5,11/09/2004,Chievo,Inter,D,€46.28m,€240.63m,4.5,3.2,1.727,1.0,1.0,1.0,1.0,1.0,1.0,5.35,3.25,1.65,5.0,3.2,1.7,4.2,3.1,1.75,4.5,3.25,1.667,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.1,1.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.2,1.7,0,0,0
I1,2004/5,11/09/2004,Milan,Livorno,D,€273.70m,€25.00m,1.167,6.5,15.0,1.0,1.0,1.0,1.0,1.0,1.0,1.15,6.0,13.0,1.15,6.0,15.0,1.15,6.0,12.0,1.167,5.5,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.16,6.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.16,5.5,12.0,0,0,0
I1,2004/5,12/09/2004,Atalanta,Lecce,D,€41.70m,€44.90m,2.0,3.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.1,3.6,2.1,2.9,3.6,1.9,3.0,3.6,2.1,2.75,3.5,1.0,1.0,1.0,1.0,1.0,1.0,2.05,3.0,3.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.05,2.9,3.4,0,0,0
I1,2004/5,12/09/2004,Brescia,Juventus,A,€45.25m,€304.90m,4.0,3.1,1.833,1.0,1.0,1.0,1.0,1.0,1.0,4.5,3.1,1.8,4.1,3.25,1.8,3.8,3.0,1.85,4.0,3.0,1.833,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.2,1.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.83,0,0,0
I1,2004/5,12/09/2004,Cagliari,Bologna,H,€23.90m,€29.94m,2.375,2.875,2.875,1.0,1.0,1.0,1.0,1.0,1.0,2.3,2.9,3.1,2.25,2.9,3.15,2.2,2.9,3.0,2.25,2.875,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,2.9,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,2.9,2.9,0,0,0
I1,2004/5,12/09/2004,Palermo,Siena,H,€78.75m,€54.90m,1.727,3.2,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.66,3.15,5.5,1.7,3.1,5.2,1.8,3.0,4.0,1.727,3.2,4.333,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.1,4.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.72,3.1,4.5,0,0,0
I1,2004/5,12/09/2004,Parma,Messina,D,€110.05m,€32.65m,1.533,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.55,3.25,6.5,1.55,3.4,6.1,1.55,3.4,5.0,1.444,3.5,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.4,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.4,6.0,0,0,0
I1,2004/5,12/09/2004,Reggina,Udinese,D,€29.30m,€83.95m,2.6,2.875,2.6,1.0,1.0,1.0,1.0,1.0,1.0,2.7,2.9,2.55,2.75,2.8,2.63,2.6,2.8,2.6,2.5,2.875,2.625,1.0,1.0,1.0,1.0,1.0,1.0,2.7,2.87,2.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6,2.8,2.6,0,1,0
I1,2004/5,12/09/2004,Roma,Fiorentina,H,€201.60m,€111.83m,1.571,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.55,3.5,5.75,1.62,3.3,5.5,1.45,3.6,5.8,1.615,3.25,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.61,3.3,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.57,3.5,5.0,0,0,0
I1,2004/5,12/09/2004,Sampdoria,Lazio,A,€51.00m,€77.05m,2.1,3.0,3.75,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.05,3.5,2.05,3.0,3.6,2.0,2.9,3.4,2.0,3.0,3.4,1.0,1.0,1.0,1.0,1.0,1.0,2.05,3.1,3.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.0,3.2,0,0,1
I1,2004/5,18/09/2004,Inter,Palermo,D,€240.63m,€78.75m,1.36,4.33,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.35,4.0,8.0,1.36,4.1,8.5,1.35,4.0,7.0,1.36,3.75,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.33,4.33,8.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4,3.4,8.5,0,0,0
I1,2004/5,18/09/2004,Lecce,Brescia,H,€44.90m,€45.25m,2.0,3.0,3.5,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.25,3.55,2.05,3.0,3.6,2.1,2.8,3.3,2.0,2.8,3.75,1.0,1.0,1.0,1.0,1.0,1.0,2.1,3.2,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.87,3.6,0,0,0
I1,2004/5,19/09/2004,Bologna,Milan,A,€29.94m,€273.70m,5.5,3.2,1.61,1.0,1.0,1.0,1.0,1.0,1.0,5.55,3.35,1.6,5.25,3.3,1.65,4.2,3.2,1.7,5.0,3.2,1.67,1.0,1.0,1.0,1.0,1.0,1.0,4.75,3.3,1.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.1,1.66,0,0,0
I1,2004/5,19/09/2004,Fiorentina,Cagliari,H,€111.83m,€23.90m,1.57,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.55,3.4,6.1,1.63,3.3,5.5,1.6,3.3,4.8,1.62,3.25,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.62,3.4,5.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,3.0,6.0,0,0,0
I1,2004/5,19/09/2004,Juventus,Atalanta,H,€304.90m,€41.70m,1.2,5.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,5.75,9.0,1.22,5.2,11.5,1.2,5.0,10.0,1.2,5.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.22,5.25,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,5.0,11.0,0,0,0
I1,2004/5,19/09/2004,Lazio,Reggina,D,€77.05m,€29.30m,1.5,3.4,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.57,3.2,6.5,1.57,3.2,6.6,1.55,3.4,5.0,1.5,3.4,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,3.6,6.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.53,3.25,6.0,0,0,0
I1,2004/5,19/09/2004,Livorno,Chievo,A,€25.00m,€46.28m,2.37,2.75,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,2.9,3.1,2.3,2.8,3.25,2.3,2.8,2.9,2.25,2.75,3.2,1.0,1.0,1.0,1.0,1.0,1.0,2.38,3.0,2.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,2.9,2.9,0,0,1
I1,2004/5,19/09/2004,Messina,Roma,H,€32.65m,€201.60m,3.25,3.0,2.1,1.0,1.0,1.0,1.0,1.0,1.0,3.8,3.05,1.95,3.7,3.0,2.0,3.3,3.0,2.0,4.0,3.0,1.83,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.1,1.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.75,2.9,1.95,1,0,0
I1,2004/5,19/09/2004,Siena,Sampdoria,H,€54.90m,€51.00m,2.37,2.87,2.87,1.0,1.0,1.0,1.0,1.0,1.0,2.7,2.7,2.8,2.55,2.8,2.85,2.5,2.7,2.8,2.38,2.8,2.88,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.88,2.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5,2.8,2.75,0,0,0
I1,2004/5,19/09/2004,Udinese,Parma,H,€83.95m,€110.05m,2.25,3.0,3.4,1.0,1.0,1.0,1.0,1.0,1.0,2.2,2.8,3.45,2.2,2.85,3.4,2.2,2.8,3.1,2.2,2.8,3.2,1.0,1.0,1.0,1.0,1.0,1.0,2.25,2.88,3.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.15,2.87,3.25,0,0,0
I1,2004/5,22/09/2004,Atalanta,Inter,A,€41.70m,€240.63m,4.0,3.2,1.8,1.0,1.0,1.0,1.0,1.0,1.0,4.75,3.3,1.7,4.65,3.2,1.75,4.0,3.0,1.8,4.5,2.88,1.8,1.0,1.0,1.0,1.0,1.0,1.0,4.33,3.2,1.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.8,3.0,1.72,0,0,0
I1,2004/5,22/09/2004,Brescia,Lazio,A,€45.25m,€77.05m,2.62,3.0,2.5,1.0,1.0,1.0,1.0,1.0,1.0,2.9,2.9,2.45,2.75,3.0,2.5,2.7,2.9,2.4,2.75,3.0,2.38,1.0,1.0,1.0,1.0,1.0,1.0,2.8,2.9,2.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.37,3.1,2.62,0,0,0
I1,2004/5,22/09/2004,Cagliari,Siena,H,€23.90m,€54.90m,2.0,2.87,3.75,1.0,1.0,1.0,1.0,1.0,1.0,2.05,2.85,3.9,1.9,3.1,4.0,1.9,3.0,3.6,1.8,3.0,4.33,1.0,1.0,1.0,1.0,1.0,1.0,1.95,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,3.0,4.2,0,0,0
I1,2004/5,22/09/2004,Chievo,Udinese,D,€46.28m,€83.95m,2.3,3.0,2.87,1.0,1.0,1.0,1.0,1.0,1.0,2.35,2.85,3.1,2.3,3.0,3.0,2.3,2.8,2.9,2.38,2.88,2.8,1.0,1.0,1.0,1.0,1.0,1.0,2.25,3.0,3.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2,3.0,3.0,0,0,0
