Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SP1,27/08/05,Alaves,Barcelona,0,0,D,0,0,D,7.0,3.75,1.5,7.0,3.7,1.45,5.0,17.0,0.0,10.0,17.0,19.0,3.0,7.0,0.0,1.0,0.0,0.0
SP1,27/08/05,Ath Bilbao,Sociedad,3,0,H,0,0,D,2.0,3.25,3.25,1.95,3.15,3.65,10.0,9.0,6.0,2.0,13.0,19.0,3.0,4.0,0.0,1.0,0.0,0.0
SP1,27/08/05,Valencia,Betis,1,0,H,0,0,D,2.0,3.25,3.25,1.75,3.3,4.4,9.0,14.0,2.0,3.0,18.0,14.0,8.0,5.0,2.0,3.0,0.0,0.0
SP1,28/08/05,Ath Madrid,Zaragoza,0,0,D,0,0,D,1.72,3.4,4.0,1.65,3.4,4.9,16.0,9.0,5.0,2.0,16.0,22.0,8.0,4.0,2.0,7.0,0.0,0.0
SP1,28/08/05,Cadiz,Real Madrid,1,2,A,0,1,A,7.5,4.0,1.44,8.0,4.25,1.35,15.0,17.0,5.0,6.0,19.0,25.0,8.0,8.0,2.0,2.0,0.0,0.0
SP1,28/08/05,Celta,Malaga,2,0,H,1,0,H,2.1,3.25,3.0,2.1,3.1,3.3,9.0,10.0,5.0,4.0,19.0,25.0,4.0,11.0,1.0,2.0,0.0,0.0
SP1,28/08/05,Espanol,Getafe,0,2,A,0,0,D,1.61,3.4,5.0,1.65,3.5,4.75,8.0,16.0,3.0,9.0,23.0,25.0,4.0,2.0,2.0,3.0,0.0,0.0
SP1,28/08/05,Mallorca,La Coruna,0,1,A,0,1,A,2.7,3.2,2.3,2.65,3.1,2.5,10.0,12.0,3.0,3.0,19.0,19.0,8.0,4.0,2.0,4.0,0.0,0.0
SP1,28/08/05,Osasuna,Villarreal,2,1,H,1,0,H,2.7,3.2,2.3,2.7,3.15,2.4,8.0,10.0,4.0,3.0,20.0,9.0,2.0,4.0,5.0,2.0,0.0,0.0
SP1,28/08/05,Sevilla,Santander,1,0,H,1,0,H,1.66,3.4,4.5,1.65,3.5,4.7,18.0,5.0,5.0,3.0,22.0,27.0,9.0,3.0,2.0,3.0,0.0,0.0
SP1,10/09/05,Betis,Osasuna,1,0,H,0,0,D,1.66,3.4,4.5,1.65,3.35,5.0,15.0,12.0,4.0,3.0,21.0,29.0,4.0,1.0,2.0,6.0,0.0,0.0
SP1,10/09/05,La Coruna,Ath Madrid,1,0,H,0,0,D,2.0,3.25,3.25,2.15,3.1,3.2,11.0,13.0,5.0,7.0,16.0,22.0,4.0,5.0,2.0,2.0,0.0,0.0
SP1,10/09/05,Real Madrid,Celta,2,3,A,2,2,D,1.25,5.0,9.0,1.2,5.5,11.5,26.0,14.0,5.0,5.0,20.0,18.0,6.0,4.0,3.0,1.0,0.0,0.0
