Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
I1,27/08/05,Fiorentina,Sampdoria,2.0,1.0,H,2.0,0.0,H,2.2,2.87,3.25,2.25,2.9,3.2,G. Paparesta,15.0,9.0,9.0,4.0,18.0,23.0,9.0,3.0,1.0,4.0,0.0,0.0
I1,27/08/05,Livorno,Lecce,2.0,1.0,H,1.0,1.0,D,1.9,2.9,4.0,1.9,3.2,3.8,G. Rocchi,17.0,6.0,7.0,5.0,27.0,21.0,9.0,2.0,2.0,3.0,0.0,0.0
I1,28/08/05,Ascoli,Milan,1.0,1.0,D,0.0,0.0,D,7.5,3.75,1.4,9.0,4.5,1.3,M. De Santis,8.0,16.0,3.0,9.0,22.0,16.0,0.0,5.0,2.0,1.0,0.0,0.0
I1,28/08/05,Inter,Treviso,3.0,0.0,H,1.0,0.0,H,1.16,5.5,13.0,1.16,5.9,15.0,P. Tagliavento,16.0,7.0,9.0,3.0,13.0,20.0,6.0,1.0,1.0,3.0,0.0,0.0
I1,28/08/05,Juventus,Chievo,1.0,0.0,H,1.0,0.0,H,1.25,5.0,13.0,1.22,5.5,10.0,M. Trefoloni,16.0,2.0,7.0,0.0,16.0,12.0,6.0,2.0,1.0,2.0,0.0,0.0
I1,28/08/05,Lazio,Messina,1.0,0.0,H,1.0,0.0,H,1.9,3.1,3.75,1.9,3.1,4.0,P. Dondarini,7.0,16.0,4.0,7.0,18.0,20.0,6.0,10.0,3.0,1.0,0.0,0.0
I1,28/08/05,Parma,Palermo,1.0,1.0,D,0.0,1.0,A,2.4,2.87,2.87,2.55,2.9,2.75,T. Pieri,8.0,14.0,3.0,9.0,18.0,9.0,3.0,8.0,3.0,0.0,0.0,0.0
I1,28/08/05,Reggina,Roma,0.0,3.0,A,0.0,1.0,A,3.5,3.0,2.0,3.9,3.15,1.9,R. Rosetti,5.0,13.0,3.0,9.0,19.0,18.0,2.0,4.0,0.0,0.0,1.0,0.0
I1,28/08/05,Siena,Cagliari,2.0,1.0,H,1.0,1.0,D,2.2,3.0,3.1,2.2,2.9,3.3,C. Brighi,10.0,9.0,6.0,6.0,21.0,19.0,4.0,4.0,2.0,2.0,1.0,0.0
I1,28/08/05,Udinese,Empoli,1.0,0.0,H,1.0,0.0,H,1.57,3.25,6.0,1.6,3.4,5.5,A. De Marco,12.0,8.0,8.0,4.0,20.0,12.0,6.0,5.0,2.0,1.0,0.0,0.0
I1,10/09/05,Milan,Siena,3.0,1.0,H,2.0,1.0,H,1.2,5.0,12.0,1.16,6.4,12.5,S. Farina,21.0,7.0,11.0,3.0,7.0,16.0,3.0,4.0,1.0,2.0,0.0,0.0
I1,10/09/05,Palermo,Inter,3.0,2.0,H,1.0,0.0,H,3.5,3.0,2.0,3.65,3.05,2.0,G. Paparesta,24.0,15.0,13.0,6.0,15.0,14.0,9.0,6.0,2.0,1.0,0.0,0.0
