Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA
N1,02/08/2019,Zwolle,Willem II,A,2.0,3.5,3.6,2.05,3.4,3.5,2019/20,€16.50m,€21.80m,2.07,3.83,3.44,2.32,3.63,3.04,2.2,3.4,3.1
N1,03/08/2019,FC Emmen,Groningen,A,3.1,3.4,2.25,3.0,3.4,2.25,2019/20,€13.23m,€30.40m,3.12,3.5,2.33,2.68,3.39,2.73,2.6,3.3,2.62
N1,03/08/2019,Vitesse,Ajax,D,6.5,4.5,1.44,5.75,4.5,1.48,2019/20,€30.53m,€400.40m,5.91,4.84,1.51,6.0,4.79,1.51,6.5,4.33,1.5
N1,03/08/2019,Twente,PSV Eindhoven,D,10.0,4.33,1.36,7.5,4.6,1.4,2019/20,€21.28m,€219.58m,7.57,4.97,1.41,6.75,4.64,1.48,6.5,4.33,1.45
N1,03/08/2019,VVV Venlo,Waalwijk,H,1.85,3.8,3.8,1.83,3.8,3.8,2019/20,€12.03m,€10.78m,1.88,3.8,4.14,1.87,3.92,4.07,1.8,4.0,4.0
N1,04/08/2019,Heracles,Heerenveen,A,2.05,3.8,3.2,2.0,3.75,3.3,2019/20,€22.48m,€26.75m,2.06,3.93,3.38,2.15,3.83,3.23,2.0,3.8,3.3
N1,04/08/2019,Feyenoord,Sparta Rotterdam,D,1.22,7.0,9.5,1.25,6.0,10.0,2019/20,€102.73m,€15.50m,1.28,6.41,9.63,1.34,5.8,8.17,1.33,5.5,7.5
N1,04/08/2019,Den Haag,Utrecht,A,3.2,3.5,2.15,3.5,3.4,2.05,2019/20,€19.40m,€48.58m,3.39,3.72,2.12,3.58,3.93,2.0,3.8,3.5,2.0
N1,04/08/2019,AZ Alkmaar,For Sittard,H,1.25,6.5,9.0,1.22,6.5,10.5,2019/20,€130.05m,€13.08m,1.28,6.12,10.52,1.25,6.74,10.73,1.22,6.5,10.0
N1,09/08/2019,Sparta Rotterdam,VVV Venlo,H,1.95,3.5,3.5,2.0,3.5,3.5,2019/20,€15.50m,€12.03m,2.0,3.92,3.61,1.7,4.1,4.89,1.65,3.6,5.5
N1,10/08/2019,Groningen,Twente,A,1.9,3.6,3.8,1.9,3.6,3.8,2019/20,€30.40m,€21.28m,1.99,3.64,3.92,2.12,3.49,3.62,2.0,3.5,3.6
N1,10/08/2019,Ajax,FC Emmen,H,1.1,10.0,17.0,1.07,10.0,26.0,2019/20,€400.40m,€13.23m,1.09,11.58,29.61,1.06,14.73,37.66,1.05,13.0,26.0
N1,10/08/2019,Willem II,Vitesse,A,2.87,3.4,2.37,3.0,3.4,2.25,2019/20,€21.80m,€30.53m,2.93,3.62,2.4,2.93,3.6,2.4,2.9,3.6,2.25
N1,11/08/2019,For Sittard,Heracles,D,2.3,3.5,2.9,2.4,3.6,2.65,2019/20,€13.08m,€22.48m,2.41,3.8,2.81,2.43,3.87,2.74,2.4,3.5,2.8
N1,11/08/2019,Heerenveen,Feyenoord,D,3.6,3.6,1.95,3.6,3.6,1.95,2019/20,€26.75m,€102.73m,3.58,4.2,1.93,4.57,4.5,1.68,4.75,4.2,1.61
N1,11/08/2019,Waalwijk,AZ Alkmaar,A,5.75,3.8,1.57,5.0,4.1,1.6,2019/20,€10.78m,€130.05m,5.42,4.38,1.6,8.13,5.86,1.34,11.0,5.0,1.3
N1,11/08/2019,Utrecht,Zwolle,H,1.5,4.0,7.0,1.5,4.2,6.0,2019/20,€48.58m,€16.50m,1.51,4.59,6.3,1.36,5.51,8.01,1.33,4.75,9.5
N1,11/08/2019,PSV Eindhoven,Den Haag,H,1.12,8.5,17.0,1.12,8.5,17.5,2019/20,€219.58m,€19.40m,1.14,8.87,19.32,1.15,8.68,18.88,1.12,8.5,17.0
N1,16/08/2019,Vitesse,Zwolle,H,1.3,5.5,10.0,1.33,5.5,8.5,2019/20,€30.53m,€16.50m,1.33,5.83,8.63,1.37,5.31,7.94,1.33,5.25,8.0
N1,17/08/2019,Den Haag,Sparta Rotterdam,A,2.8,3.5,2.37,2.85,3.6,2.4,2019/20,€19.40m,€15.50m,2.81,3.71,2.45,3.3,3.94,2.09,3.75,3.5,1.95
N1,17/08/2019,VVV Venlo,Ajax,A,15.0,8.0,1.14,15.0,8.5,1.16,2019/20,€12.03m,€400.40m,15.04,8.26,1.17,17.7,9.54,1.14,15.0,8.0,1.14
N1,17/08/2019,FC Emmen,Heerenveen,H,2.9,3.4,2.3,2.85,3.6,2.4,2019/20,€13.23m,€26.75m,2.8,3.78,2.42,2.85,3.71,2.42,2.8,3.4,2.37
N1,18/08/2019,For Sittard,Willem II,A,3.1,3.5,2.2,3.0,3.7,2.25,2019/20,€13.08m,€21.80m,3.02,3.8,2.27,3.6,4.15,1.94,3.8,3.75,1.9
N1,18/08/2019,Twente,Waalwijk,D,1.45,4.5,6.0,1.53,4.4,6.0,2019/20,€21.28m,€10.78m,1.51,4.71,6.02,1.56,4.54,5.65,1.53,4.75,5.25
N1,18/08/2019,AZ Alkmaar,Groningen,D,1.4,4.75,7.5,1.4,4.75,8.25,2019/20,€130.05m,€30.40m,1.44,4.78,7.39,1.57,4.17,6.09,1.6,4.2,5.25
N1,18/08/2019,Feyenoord,Utrecht,D,1.9,4.0,3.5,1.87,4.0,3.75,2019/20,€102.73m,€48.58m,2.0,3.99,3.53,1.95,4.01,3.69,1.85,4.0,3.6
N1,18/08/2019,Heracles,PSV Eindhoven,A,7.5,5.0,1.36,6.5,5.5,1.4,2019/20,€22.48m,€219.58m,7.19,5.25,1.4,7.16,5.42,1.39,7.5,4.75,1.36
N1,24/08/2019,Willem II,FC Emmen,H,1.72,4.0,4.2,1.7,3.8,4.6,2019/20,€21.80m,€13.23m,1.76,4.03,4.49,1.88,3.86,4.1,1.8,3.8,4.0
N1,24/08/2019,Heracles,Vitesse,D,3.3,3.6,2.05,3.25,3.8,2.0,2019/20,€22.48m,€30.53m,3.28,4.11,2.06,3.22,3.95,2.12,3.4,3.6,2.05
N1,24/08/2019,Heerenveen,Twente,D,2.1,3.5,3.25,2.2,3.4,3.1,2019/20,€26.75m,€21.28m,2.23,3.67,3.19,1.94,3.98,3.74,1.85,3.6,4.0
N1,25/08/2019,Waalwijk,Den Haag,A,2.3,3.6,2.8,2.4,3.5,2.7,2019/20,€10.78m,€19.40m,2.41,3.7,2.85,2.37,3.91,2.81,2.25,3.6,2.9
N1,25/08/2019,Utrecht,VVV Venlo,A,1.25,5.25,11.0,1.28,5.75,9.0,2019/20,€48.58m,€12.03m,1.31,5.81,9.52,1.31,5.73,9.64,1.28,5.25,10.0
N1,25/08/2019,Zwolle,Sparta Rotterdam,D,3.3,3.6,2.0,3.25,3.8,2.0,2019/20,€16.50m,€15.50m,3.34,3.95,2.07,2.62,3.74,2.6,2.55,3.6,2.5
N1,30/08/2019,FC Emmen,Zwolle,A,2.45,3.4,2.75,2.45,3.4,2.85,2019/20,€13.23m,€16.50m,2.55,3.65,2.71,2.52,3.73,2.7,2.45,3.4,2.75
N1,31/08/2019,Heerenveen,For Sittard,D,1.44,4.5,6.5,1.48,4.6,6.5,2019/20,€26.75m,€13.08m,1.48,4.79,6.45,1.4,5.34,7.06,1.36,5.0,7.5
N1,31/08/2019,Groningen,Heracles,A,1.95,3.6,3.6,2.0,3.7,3.6,2019/20,€30.40m,€22.48m,2.05,3.58,3.74,2.0,3.8,3.69,1.95,3.6,3.6
N1,31/08/2019,Den Haag,VVV Venlo,H,2.0,3.6,3.5,2.05,3.8,3.4,2019/20,€19.40m,€12.03m,2.1,3.84,3.35,1.99,3.97,3.6,1.95,3.6,3.75
N1,01/09/2019,Twente,Utrecht,H,3.8,3.6,1.9,3.6,3.8,1.95,2019/20,€21.28m,€48.58m,3.63,4.04,1.96,4.87,4.16,1.69,5.25,4.0,1.6
N1,01/09/2019,Sparta Rotterdam,Ajax,A,9.0,6.5,1.25,9.0,6.25,1.28,2019/20,€15.50m,€400.40m,9.27,6.3,1.29,9.13,6.68,1.28,10.0,6.5,1.22
N1,01/09/2019,Vitesse,AZ Alkmaar,H,2.3,3.6,2.8,2.3,3.6,2.95,2019/20,€30.53m,€130.05m,2.35,3.74,2.92,2.83,3.81,2.39,2.8,3.6,2.4
N1,01/09/2019,Willem II,Feyenoord,A,3.5,3.75,1.95,3.75,3.7,1.95,2019/20,€21.80m,€102.73m,3.82,3.86,1.95,4.36,4.19,1.76,4.33,4.0,1.7
N1,01/09/2019,Waalwijk,PSV Eindhoven,A,13.0,7.0,1.18,13.0,7.25,1.2,2019/20,€10.78m,€219.58m,11.63,7.05,1.23,10.76,6.6,1.25,10.0,6.0,1.25
N1,14/09/2019,Ajax,Heerenveen,H,1.1,9.0,21.0,1.14,8.5,17.5,2019/20,€400.40m,€26.75m,1.14,8.7,17.27,1.11,10.3,20.04,1.1,9.0,21.0
N1,14/09/2019,AZ Alkmaar,Sparta Rotterdam,H,1.5,4.6,5.5,1.53,4.33,6.0,2019/20,€130.05m,€15.50m,1.53,4.65,5.82,1.57,4.5,5.57,1.53,4.5,5.5
N1,14/09/2019,VVV Venlo,Groningen,H,2.8,3.25,2.5,2.95,3.3,2.45,2019/20,€12.03m,€30.40m,3.01,3.32,2.49,3.08,3.37,2.42,3.1,3.25,2.3
N1,14/09/2019,PSV Eindhoven,Vitesse,H,1.4,4.5,8.0,1.42,4.75,7.25,2019/20,€219.58m,€30.53m,1.43,4.79,7.4,1.38,5.16,8.05,1.4,4.33,8.0
N1,14/09/2019,Utrecht,FC Emmen,H,1.28,6.0,8.5,1.3,6.0,8.5,2019/20,€48.58m,€13.23m,1.34,6.09,7.72,1.27,6.71,9.43,1.25,6.0,10.0
N1,15/09/2019,Zwolle,Waalwijk,H,1.6,4.2,5.25,1.6,4.25,5.25,2019/20,€16.50m,€10.78m,1.65,4.45,4.85,1.65,4.37,4.91,1.57,3.8,6.0
N1,15/09/2019,Feyenoord,Den Haag,H,1.22,7.0,10.0,1.25,6.25,11.5,2019/20,€102.73m,€19.40m,1.26,6.19,11.58,1.29,6.1,9.88,1.28,5.75,8.5
N1,15/09/2019,Heracles,Willem II,H,2.1,3.4,3.4,2.15,3.7,3.2,2019/20,€22.48m,€21.80m,2.14,3.94,3.19,2.09,3.85,3.37,2.0,3.4,3.75
N1,15/09/2019,For Sittard,Twente,A,3.0,3.6,2.2,3.0,3.75,2.2,2019/20,€13.08m,€21.28m,3.12,3.88,2.19,3.31,3.95,2.08,3.3,3.6,2.05
N1,20/09/2019,Twente,Heracles,A,2.37,3.4,2.87,2.35,3.75,2.8,2019/20,€21.28m,€22.48m,2.46,3.82,2.73,2.59,3.77,2.61,2.5,3.4,2.7
N1,21/09/2019,Sparta Rotterdam,Waalwijk,H,1.45,4.5,6.0,1.5,4.75,5.75,2019/20,€15.50m,€10.78m,1.53,4.51,6.01,1.4,5.51,6.79,1.44,4.75,6.0
N1,21/09/2019,Groningen,Zwolle,H,1.85,3.6,4.0,1.85,3.75,4.1,2019/20,€30.40m,€16.50m,1.89,3.82,4.09,1.85,3.76,4.36,1.8,3.75,4.33
N1,21/09/2019,Willem II,VVV Venlo,H,1.66,4.2,4.5,1.7,4.0,4.75,2019/20,€21.80m,€12.03m,1.7,4.25,4.65,1.71,4.14,4.71,1.66,4.2,4.5
N1,21/09/2019,Vitesse,For Sittard,H,1.25,5.75,11.0,1.28,6.25,9.25,2019/20,€30.53m,€13.08m,1.31,6.26,8.53,1.22,7.56,10.69,1.2,7.0,11.0
N1,22/09/2019,Heerenveen,Utrecht,D,3.3,3.8,2.0,3.2,3.8,2.1,2019/20,€26.75m,€48.58m,3.25,3.9,2.12,3.28,4.02,2.08,3.25,3.75,2.05
N1,22/09/2019,FC Emmen,Feyenoord,D,6.0,5.0,1.44,7.0,5.0,1.42,2019/20,€13.23m,€102.73m,6.76,4.76,1.47,6.23,5.04,1.47,6.0,4.5,1.5
N1,22/09/2019,Den Haag,AZ Alkmaar,A,5.75,4.2,1.53,5.25,4.25,1.6,2019/20,€19.40m,€130.05m,5.21,4.75,1.57,5.54,4.82,1.53,6.5,4.5,1.45
N1,22/09/2019,PSV Eindhoven,Ajax,D,2.9,3.6,2.25,2.95,3.75,2.25,2019/20,€219.58m,€400.40m,2.88,3.99,2.29,3.12,4.09,2.13,3.1,3.75,2.1
N1,25/09/2019,PSV Eindhoven,Groningen,H,1.25,6.0,10.0,1.25,6.5,10.5,2019/20,€219.58m,€30.40m,1.24,6.86,11.03,1.36,5.22,8.77,1.33,5.25,7.5
N1,25/09/2019,Ajax,For Sittard,H,1.03,15.0,34.0,1.03,17.5,41.0,2019/20,€400.40m,€13.08m,1.04,17.49,33.28,1.04,16.43,38.52,1.03,15.0,34.0
N1,26/09/2019,Feyenoord,AZ Alkmaar,A,2.15,3.5,3.2,2.15,3.5,3.1,2019/20,€102.73m,€130.05m,2.17,3.79,3.23,2.19,3.72,3.23,2.05,3.5,3.4
N1,27/09/2019,FC Emmen,Den Haag,H,2.0,3.75,3.4,2.1,3.75,3.25,2019/20,€13.23m,€19.40m,2.13,3.9,3.24,2.11,3.94,3.25,2.1,3.75,3.25
N1,28/09/2019,VVV Venlo,Heerenveen,A,3.3,3.6,2.05,3.2,3.5,2.2,2019/20,€12.03m,€26.75m,3.4,3.69,2.13,3.54,3.92,2.01,3.75,3.6,1.9
N1,28/09/2019,Ajax,Groningen,H,1.12,9.0,15.0,1.13,9.5,16.0,2019/20,€400.40m,€30.40m,1.14,8.29,18.8,1.12,9.55,20.33,1.12,9.0,15.0
N1,28/09/2019,For Sittard,Sparta Rotterdam,D,3.6,4.0,1.85,3.9,4.0,1.85,2019/20,€13.08m,€15.50m,3.82,3.94,1.93,3.93,4.4,1.8,3.8,4.0,1.8
N1,29/09/2019,Waalwijk,Vitesse,A,6.0,4.2,1.53,6.25,4.6,1.48,2019/20,€10.78m,€30.53m,5.84,4.41,1.56,5.45,4.73,1.55,5.5,4.33,1.55
N1,29/09/2019,Utrecht,Willem II,H,1.5,4.33,6.0,1.53,4.4,6.0,2019/20,€48.58m,€21.80m,1.54,4.32,6.32,1.66,3.94,5.51,1.55,4.2,5.5
N1,29/09/2019,Zwolle,PSV Eindhoven,A,6.5,5.0,1.4,7.0,5.25,1.4,2019/20,€16.50m,€219.58m,7.18,5.15,1.41,7.69,6.04,1.34,8.0,5.25,1.33
N1,29/09/2019,AZ Alkmaar,Heracles,H,1.55,4.2,5.5,1.6,4.0,5.75,2019/20,€130.05m,€22.48m,1.56,4.44,5.76,1.52,4.61,6.14,1.45,4.5,6.0
N1,29/09/2019,Feyenoord,Twente,H,1.4,4.75,7.0,1.45,5.0,6.25,2019/20,€102.73m,€21.28m,1.44,5.02,6.78,1.35,5.59,8.27,1.33,5.25,8.0
N1,04/10/2019,Groningen,Waalwijk,H,1.36,5.0,7.5,1.35,5.25,8.25,2019/20,€30.40m,€10.78m,1.4,5.2,7.42,1.43,5.09,6.93,1.4,5.0,7.0
