Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue
G1,11/12/2004,Aris,Egaleo,0.0,0.0,D,0.0,0.0,2.5,3.1,2.5,2.65,2.7,2.85,2004/5,€12.16m,€15.06m
G1,11/12/2004,Iraklis,Panionios,0.0,1.0,A,0.0,1.0,1.9,3.2,3.5,2.1,3.0,3.45,2004/5,€17.25m,€14.00m
G1,11/12/2004,Xanthi,AEK,1.0,1.0,D,0.0,0.0,3.2,3.0,2.1,3.35,2.85,2.2,2004/5,€13.78m,€31.63m
G1,12/12/2004,Ionikos,Chalkidona,0.0,0.0,D,0.0,0.0,2.3,2.87,2.9,2.6,2.75,2.85,2004/5,€8.41m,€9.45m
G1,12/12/2004,Kallithea,Kerkyra,1.0,2.0,A,0.0,1.0,1.57,3.5,5.0,1.65,3.4,5.0,2004/5,€8.27m,€8.16m
G1,12/12/2004,OFI Crete,PAOK,2.0,2.0,D,1.0,1.0,2.3,2.87,2.9,2.4,3.0,2.85,2004/5,€9.95m,€19.95m
G1,12/12/2004,Olympiakos,Kalamaria,2.0,0.0,H,1.0,0.0,1.08,7.0,17.0,1.07,8.0,25.0,2004/5,€48.60m,€6.94m
G1,12/12/2004,Panathinaikos,Ergotelis,1.0,0.0,H,0.0,0.0,1.08,7.0,17.0,1.07,8.0,25.0,2004/5,€56.50m,€8.58m
G1,18/12/2004,Kerkyra,Aris,0.0,0.0,D,0.0,0.0,2.2,3.0,3.0,2.4,2.85,3.0,2004/5,€8.16m,€12.16m
G1,19/12/2004,AEK,OFI Crete,1.0,1.0,D,0.0,1.0,1.28,4.5,8.0,1.3,4.55,9.0,2004/5,€31.63m,€9.95m
G1,19/12/2004,Chalkidona,Panathinaikos,0.0,2.0,A,0.0,1.0,5.5,3.6,1.5,7.0,3.8,1.44,2004/5,€9.45m,€56.50m
G1,19/12/2004,Egaleo,Olympiakos,2.0,2.0,D,0.0,1.0,5.5,3.6,1.5,7.0,3.8,1.44,2004/5,€15.06m,€48.60m
G1,19/12/2004,Ergotelis,Kalamaria,4.0,1.0,H,0.0,0.0,2.3,3.0,2.8,2.1,3.0,3.45,2004/5,€8.58m,€6.94m
G1,19/12/2004,Iraklis,Xanthi,1.0,1.0,D,1.0,1.0,2.0,3.1,3.3,1.85,3.2,4.1,2004/5,€17.25m,€13.78m
G1,19/12/2004,Panionios,Kallithea,1.0,1.0,D,1.0,0.0,1.61,3.5,4.5,1.45,3.75,7.0,2004/5,€14.00m,€8.27m
G1,19/12/2004,PAOK,Ionikos,3.0,0.0,H,1.0,0.0,1.57,3.5,5.0,1.55,3.55,5.75,2004/5,€19.95m,€8.41m
G1,29/12/2004,Aris,Panionios,1.0,0.0,H,0.0,0.0,2.4,2.9,2.75,2.7,2.75,2.75,2004/5,€12.16m,€14.00m
G1,29/12/2004,Ergotelis,Egaleo,2.0,1.0,H,1.0,0.0,3.2,3.0,2.1,3.25,2.85,2.25,2004/5,€8.58m,€15.06m
G1,29/12/2004,Ionikos,AEK,2.0,3.0,A,1.0,2.0,3.8,3.2,1.8,4.15,3.15,1.85,2004/5,€8.41m,€31.63m
G1,29/12/2004,Kalamaria,Chalkidona,0.0,2.0,A,0.0,1.0,2.5,3.1,2.5,2.6,2.95,2.65,2004/5,€6.94m,€9.45m
G1,29/12/2004,Kallithea,Iraklis,2.0,1.0,H,1.0,1.0,2.1,3.2,3.0,2.35,3.15,2.8,2004/5,€8.27m,€17.25m
G1,29/12/2004,Olympiakos,Kerkyra,3.0,0.0,H,2.0,0.0,1.1,7.0,13.0,1.08,7.5,23.0,2004/5,€48.60m,€8.16m
G1,29/12/2004,Panathinaikos,PAOK,2.0,1.0,H,1.0,1.0,1.3,4.0,9.5,1.3,4.3,10.0,2004/5,€56.50m,€19.95m
G1,29/12/2004,Xanthi,OFI Crete,2.0,1.0,H,0.0,0.0,1.8,3.2,3.8,1.85,3.05,4.3,2004/5,€13.78m,€9.95m
G1,08/01/2005,Chalkidona,Egaleo,1.0,1.0,D,0.0,1.0,2.1,3.1,3.1,2.3,2.8,3.25,2004/5,€9.45m,€15.06m
G1,08/01/2005,Kallithea,Xanthi,2.0,3.0,A,0.0,0.0,2.2,3.2,2.8,2.25,3.0,3.1,2004/5,€8.27m,€13.78m
G1,09/01/2005,AEK,Panathinaikos,1.0,0.0,H,0.0,0.0,2.6,3.0,2.5,2.95,2.9,2.4,2004/5,€31.63m,€56.50m
G1,09/01/2005,Iraklis,Aris,0.0,0.0,D,0.0,0.0,2.1,3.0,3.2,2.1,2.85,3.65,2004/5,€17.25m,€12.16m
G1,09/01/2005,Kerkyra,Ergotelis,0.0,1.0,A,0.0,1.0,1.8,3.2,4.0,1.75,3.2,4.55,2004/5,€8.16m,€8.58m
G1,09/01/2005,OFI Crete,Ionikos,2.0,0.0,H,2.0,0.0,1.8,3.2,4.0,1.7,3.2,5.0,2004/5,€9.95m,€8.41m
G1,09/01/2005,PAOK,Kalamaria,5.0,2.0,H,4.0,1.0,1.33,4.33,7.0,1.3,4.55,9.0,2004/5,€19.95m,€6.94m
G1,15/01/2005,Egaleo,PAOK,2.0,1.0,H,0.0,1.0,2.25,3.0,2.87,2.3,3.0,3.0,2004/5,€15.06m,€19.95m
G1,15/01/2005,Kalamaria,AEK,2.0,1.0,H,2.0,0.0,6.0,3.75,1.44,7.35,4.0,1.4,2004/5,€6.94m,€31.63m
G1,16/01/2005,Aris,Kallithea,2.0,2.0,D,1.0,1.0,1.9,3.2,3.5,1.85,2.95,4.5,2004/5,€12.16m,€8.27m
G1,16/01/2005,Chalkidona,Kerkyra,0.0,0.0,D,0.0,0.0,1.57,3.5,5.0,1.45,3.75,7.0,2004/5,€9.45m,€8.16m
G1,16/01/2005,Ergotelis,Panionios,0.0,3.0,A,0.0,2.0,2.37,3.1,2.62,2.75,2.9,2.55,2004/5,€8.58m,€14.00m
G1,16/01/2005,Olympiakos,Iraklis,1.0,0.0,H,0.0,0.0,1.14,6.0,12.0,1.15,6.0,16.0,2004/5,€48.60m,€17.25m
G1,16/01/2005,Panathinaikos,OFI Crete,5.0,1.0,H,2.0,0.0,1.14,6.0,12.0,1.12,7.0,15.0,2004/5,€56.50m,€9.95m
G1,17/01/2005,Xanthi,Ionikos,2.0,0.0,H,1.0,0.0,1.53,3.6,5.0,1.5,3.6,6.5,2004/5,€13.78m,€8.41m
G1,22/01/2005,Aris,Xanthi,2.0,1.0,H,1.0,0.0,2.5,2.87,2.62,2.45,2.75,3.05,2004/5,€12.16m,€13.78m
G1,22/01/2005,Panionios,Chalkidona,0.0,0.0,D,0.0,0.0,1.9,3.0,3.75,1.95,2.95,4.0,2004/5,€14.00m,€9.45m
G1,23/01/2005,AEK,Egaleo,1.0,0.0,H,0.0,0.0,1.5,3.4,6.0,1.5,3.6,6.4,2004/5,€31.63m,€15.06m
G1,23/01/2005,Ionikos,Panathinaikos,0.0,0.0,D,0.0,0.0,8.0,4.0,1.33,9.0,4.0,1.35,2004/5,€8.41m,€56.50m
G1,23/01/2005,Iraklis,Ergotelis,2.0,0.0,H,1.0,0.0,1.61,3.5,4.5,1.65,3.4,5.0,2004/5,€17.25m,€8.58m
G1,23/01/2005,Kallithea,Olympiakos,1.0,1.0,D,0.0,1.0,8.0,4.0,1.33,9.0,4.0,1.35,2004/5,€8.27m,€48.60m
G1,23/01/2005,Kerkyra,PAOK,0.0,1.0,A,0.0,0.0,2.7,3.0,2.37,3.05,2.9,2.35,2004/5,€8.16m,€19.95m
G1,23/01/2005,OFI Crete,Kalamaria,0.0,0.0,D,0.0,0.0,1.5,3.5,5.5,1.5,3.45,7.0,2004/5,€9.95m,€6.94m
G1,30/01/2005,Egaleo,OFI Crete,2.0,0.0,H,0.0,0.0,1.8,3.2,4.0,1.8,3.2,4.3,2004/5,€15.06m,€9.95m
G1,30/01/2005,Ergotelis,Kallithea,1.0,1.0,D,1.0,0.0,2.37,3.0,2.75,2.3,3.0,3.0,2004/5,€8.58m,€8.27m
G1,30/01/2005,Kerkyra,AEK,2.0,2.0,D,1.0,1.0,4.5,3.5,1.61,5.4,3.45,1.6,2004/5,€8.16m,€31.63m
G1,30/01/2005,Olympiakos,Aris,2.0,1.0,H,1.0,1.0,1.12,6.0,15.0,1.15,5.9,16.0,2004/5,€48.60m,€12.16m
G1,30/01/2005,Xanthi,Panathinaikos,3.0,1.0,H,2.0,1.0,4.33,3.39,1.66,5.35,3.25,1.65,2004/5,€13.78m,€56.50m
G1,05/02/2005,Panionios,Olympiakos,0.0,2.0,A,0.0,0.0,5.5,3.25,1.57,5.3,3.1,1.7,2004/5,€14.00m,€48.60m
G1,12/02/2005,Aris,Ergotelis,1.0,1.0,D,0.0,1.0,1.66,3.4,4.33,1.6,3.25,6.0,2004/5,€12.16m,€8.58m
G1,12/02/2005,Olympiakos,Xanthi,0.0,0.0,D,0.0,0.0,1.22,5.0,9.5,1.25,5.0,10.0,2004/5,€48.60m,€13.78m
G1,12/02/2005,Panathinaikos,Kalamaria,5.0,1.0,H,3.0,0.0,1.12,6.5,12.0,1.1,7.5,18.0,2004/5,€56.50m,€6.94m
G1,13/02/2005,Ionikos,Egaleo,1.0,1.0,D,0.0,1.0,2.62,2.9,2.5,2.7,2.85,2.65,2004/5,€8.41m,€15.06m
G1,13/02/2005,Iraklis,PAOK,1.0,0.0,H,0.0,0.0,2.62,3.1,2.37,2.75,3.0,2.5,2004/5,€17.25m,€19.95m
G1,13/02/2005,Kallithea,Chalkidona,3.0,1.0,H,2.0,1.0,2.2,3.0,3.0,2.35,2.95,3.0,2004/5,€8.27m,€9.45m
G1,13/02/2005,OFI Crete,Kerkyra,3.0,1.0,H,1.0,1.0,1.57,3.5,5.0,1.6,3.35,5.65,2004/5,€9.95m,€8.16m
G1,13/02/2005,Panionios,AEK,1.0,1.0,D,1.0,0.0,3.75,3.2,1.83,3.9,2.9,2.0,2004/5,€14.00m,€31.63m
G1,19/02/2005,AEK,Iraklis,2.0,1.0,H,0.0,0.0,1.36,4.0,7.0,1.35,4.25,8.0,2004/5,€31.63m,€17.25m
G1,19/02/2005,Kerkyra,Ionikos,2.0,2.0,D,0.0,1.0,2.1,3.0,3.2,2.05,2.95,3.65,2004/5,€8.16m,€8.41m
G1,19/02/2005,Xanthi,Kalamaria,4.0,1.0,H,2.0,1.0,1.36,4.0,7.0,1.4,4.0,7.5,2004/5,€13.78m,€6.94m
G1,20/02/2005,Chalkidona,Aris,1.0,0.0,H,0.0,0.0,2.0,3.0,3.4,1.95,2.95,4.0,2004/5,€9.45m,€12.16m
