Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue
T1,06/08/2004,Rizespor,Fenerbahce,D,6.0,3.4,1.5,6.0,3.6,1.5,2004/5,€22.85m,€90.60m
T1,07/08/2004,Denizlispor,Gaziantepspor,H,2.2,3.25,2.75,2.1,3.3,3.0,2004/5,€27.24m,€38.60m
T1,07/08/2004,Genclerbirligi,Sakaryaspor,H,1.5,3.4,6.0,1.45,3.7,6.5,2004/5,€46.95m,€14.85m
T1,07/08/2004,Kayserispor,Trabzonspor,A,4.33,3.4,1.66,5.0,3.5,1.6,2004/5,€30.03m,€63.60m
T1,07/08/2004,Malatyaspor,Besiktas,D,3.2,3.2,2.0,3.3,3.2,2.0,2004/5,€33.95m,€76.25m
T1,08/08/2004,A. Sebatspor,Ankaraspor,A,2.2,3.25,2.75,2.2,3.35,2.75,2004/5,€26.73m,€32.75m
T1,08/08/2004,Galatasaray,Konyaspor,H,1.36,4.0,7.0,1.35,4.1,7.75,2004/5,€79.65m,€37.25m
T1,08/08/2004,Istanbulspor,Diyarbakirspor,D,2.2,3.25,2.75,2.25,3.15,2.8,2004/5,€27.55m,€22.93m
T1,08/08/2004,Samsunspor,Ankaragucu,D,1.83,3.25,3.6,2.0,3.3,3.2,2004/5,€34.65m,€32.76m
T1,13/08/2004,Gaziantepspor,Galatasaray,H,3.0,3.2,2.1,3.35,3.3,1.95,2004/5,€38.60m,€79.65m
T1,14/08/2004,Ankaragucu,Istanbulspor,D,1.72,3.4,4.0,1.85,3.3,3.7,2004/5,€32.76m,€27.55m
T1,14/08/2004,Ankaraspor,Malatyaspor,A,2.25,3.2,2.75,2.3,3.35,2.6,2004/5,€32.75m,€33.95m
T1,14/08/2004,Diyarbakirspor,Kayserispor,H,1.72,3.4,4.0,1.75,3.15,4.45,2004/5,€22.93m,€30.03m
T1,14/08/2004,Fenerbahce,Samsunspor,H,1.2,5.0,11.0,1.3,4.5,8.25,2004/5,€90.60m,€34.65m
T1,15/08/2004,Genclerbirligi,Besiktas,D,3.0,3.2,2.1,2.95,3.4,2.1,2004/5,€46.95m,€76.25m
T1,15/08/2004,Konyaspor,Rizespor,D,1.9,3.2,3.5,2.0,3.0,3.6,2004/5,€37.25m,€22.85m
T1,15/08/2004,Sakaryaspor,Denizlispor,A,2.6,3.2,2.37,2.75,3.4,2.2,2004/5,€14.85m,€27.24m
T1,15/08/2004,Trabzonspor,A. Sebatspor,H,1.22,5.0,9.0,1.3,4.5,8.25,2004/5,€63.60m,€26.73m
T1,21/08/2004,Denizlispor,Besiktas,H,3.0,3.25,2.1,3.1,3.2,2.1,2004/5,€27.24m,€76.25m
T1,21/08/2004,Genclerbirligi,Ankaraspor,D,1.615,3.5,4.5,1.55,3.5,5.5,2004/5,€46.95m,€32.75m
T1,21/08/2004,Istanbulspor,Fenerbahce,A,6.0,3.75,1.444,6.75,3.65,1.45,2004/5,€27.55m,€90.60m
T1,21/08/2004,Malatyaspor,Trabzonspor,A,3.25,3.25,2.0,3.55,3.3,1.9,2004/5,€33.95m,€63.60m
T1,21/08/2004,Samsunspor,Konyaspor,D,1.833,3.25,3.75,1.9,3.4,3.4,2004/5,€34.65m,€37.25m
T1,22/08/2004,A. Sebatspor,Diyarbakirspor,D,2.25,3.25,2.75,2.4,3.3,2.55,2004/5,€26.73m,€22.93m
T1,22/08/2004,Galatasaray,Rizespor,H,1.25,5.0,8.5,1.3,4.5,8.25,2004/5,€79.65m,€22.85m
