Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,HF,AF
B1,26/07/2019,Genk,Kortrijk,2.0,1.0,H,0.0,1.0,A,1.36,4.75,8.5,1.4,5.0,8.0,2019/20,€113.53m,€19.90m,10.0,8.0,2.0,4.0,6.0,2.0,0.0,1.0,0.0,0.0,7.0,22.0
B1,27/07/2019,Cercle Brugge,Standard,0.0,2.0,A,0.0,0.0,D,3.75,3.75,1.85,3.8,3.75,1.95,2019/20,€31.93m,€76.68m,13.0,14.0,5.0,9.0,3.0,7.0,2.0,2.0,1.0,0.0,16.0,15.0
B1,27/07/2019,St Truiden,Mouscron,0.0,1.0,A,0.0,1.0,A,1.9,3.75,3.75,1.95,3.5,4.1,2019/20,€26.75m,€26.15m,10.0,10.0,4.0,6.0,5.0,5.0,2.0,4.0,0.0,0.0,10.0,21.0
B1,27/07/2019,Waregem,Mechelen,0.0,2.0,A,0.0,1.0,A,2.15,3.6,3.1,2.2,3.75,3.1,2019/20,€30.08m,€23.63m,7.0,10.0,2.0,5.0,4.0,2.0,3.0,1.0,0.0,0.0,14.0,21.0
B1,27/07/2019,Waasland-Beveren,Club Brugge,1.0,3.0,A,1.0,1.0,D,6.5,4.0,1.5,6.0,4.5,1.53,2019/20,€14.93m,€160.73m,7.0,25.0,2.0,22.0,1.0,14.0,3.0,1.0,0.0,0.0,18.0,12.0
B1,28/07/2019,Anderlecht,Oostende,1.0,2.0,A,1.0,1.0,D,1.36,4.5,9.0,1.36,5.0,9.25,2019/20,€137.28m,€23.85m,15.0,8.0,6.0,6.0,5.0,2.0,1.0,3.0,0.0,0.0,12.0,17.0
B1,28/07/2019,Charleroi,Gent,1.0,1.0,D,0.0,0.0,D,3.1,3.25,2.3,3.0,3.5,2.35,2019/20,€31.65m,€95.10m,7.0,5.0,4.0,4.0,5.0,6.0,0.0,2.0,0.0,0.0,20.0,21.0
B1,28/07/2019,Eupen,Antwerp,1.0,4.0,A,1.0,1.0,D,3.8,3.3,1.95,3.8,3.6,2.0,2019/20,€26.05m,€49.98m,12.0,14.0,3.0,8.0,3.0,10.0,1.0,2.0,0.0,0.0,18.0,10.0
B1,02/08/2019,Club Brugge,St Truiden,6.0,0.0,H,4.0,0.0,H,1.25,5.5,12.0,1.26,6.25,11.0,2019/20,€160.73m,€26.75m,16.0,4.0,10.0,2.0,6.0,2.0,1.0,3.0,1.0,0.0,19.0,12.0
B1,03/08/2019,Standard,Waregem,4.0,0.0,H,2.0,0.0,H,1.53,4.33,5.5,1.5,4.6,6.25,2019/20,€76.68m,€30.08m,16.0,3.0,7.0,1.0,4.0,2.0,0.0,2.0,0.0,1.0,19.0,18.0
