Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA
SP1,16/08/2019,Ath Bilbao,Barcelona,H,5.25,3.8,1.65,5.5,3.8,1.65,2019/20,€211.75m,€930.28m,5.15,3.84,1.74,5.34,3.62,1.78,5.25,3.8,1.65
SP1,17/08/2019,Celta,Real Madrid,A,4.75,4.2,1.65,4.4,4.2,1.72,2019/20,€167.00m,€913.75m,4.73,4.18,1.72,5.1,4.46,1.65,5.25,4.2,1.57
SP1,17/08/2019,Valencia,Sociedad,D,1.66,3.75,5.5,1.67,3.75,5.5,2019/20,€427.80m,€347.55m,1.68,3.94,5.47,1.69,3.88,5.47,1.66,3.75,5.5
SP1,17/08/2019,Mallorca,Eibar,H,2.8,3.2,2.6,2.95,3.1,2.6,2019/20,€64.68m,€53.75m,2.98,3.14,2.66,2.96,3.26,2.6,2.87,3.2,2.55
SP1,17/08/2019,Leganes,Osasuna,A,2.0,3.2,4.2,2.05,3.25,3.9,2019/20,€109.70m,€62.78m,2.1,3.21,4.13,1.9,3.18,5.3,1.9,3.1,5.0
SP1,17/08/2019,Villarreal,Granada,D,1.6,3.8,6.5,1.6,3.8,6.25,2019/20,€208.68m,€56.58m,1.62,3.99,6.13,1.54,4.19,6.87,1.53,4.0,6.5
SP1,18/08/2019,Alaves,Levante,H,2.15,3.2,3.6,2.15,3.3,3.6,2019/20,€106.75m,€90.50m,2.29,3.31,3.45,2.43,3.27,3.2,2.3,3.4,3.2
SP1,18/08/2019,Espanol,Sevilla,A,3.2,3.3,2.3,3.1,3.4,2.3,2019/20,€156.05m,€294.75m,3.13,3.56,2.33,3.13,3.38,2.41,3.0,3.4,2.4
SP1,18/08/2019,Betis,Valladolid,A,1.66,3.75,5.5,1.65,3.75,5.75,2019/20,€244.35m,€87.78m,1.63,3.81,6.38,1.82,3.53,5.07,1.8,3.6,4.75
SP1,18/08/2019,Ath Madrid,Getafe,H,1.44,4.33,8.0,1.45,4.33,7.5,2019/20,€720.15m,€175.45m,1.49,4.34,7.58,1.57,3.78,7.66,1.5,4.0,8.0
