Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA
F1,09/08/2019,Monaco,Lyon,A,3.0,3.3,2.37,2.85,3.3,2.4,2019/20,€331.03m,€384.55m,2.95,3.57,2.43,3.37,3.65,2.19,3.5,3.4,2.05
F1,10/08/2019,Marseille,Reims,A,1.66,3.5,6.0,1.62,3.6,5.75,2019/20,€216.15m,€81.68m,1.65,3.82,6.06,1.78,3.39,5.7,1.66,3.4,6.0
F1,10/08/2019,Angers,Bordeaux,H,2.37,3.1,3.2,2.35,3.1,3.1,2019/20,€89.48m,€125.35m,2.34,3.29,3.35,2.1,3.24,4.08,2.05,3.2,3.8
F1,10/08/2019,Brest,Toulouse,D,2.37,3.2,3.1,2.4,3.1,3.0,2019/20,€47.78m,€71.88m,2.42,3.33,3.17,2.1,3.44,3.81,2.0,3.3,3.8
F1,10/08/2019,Dijon,St Etienne,A,4.0,3.2,2.05,3.6,3.25,2.05,2019/20,€50.23m,€104.83m,3.69,3.46,2.13,3.84,3.47,2.08,3.8,3.4,2.0
F1,10/08/2019,Montpellier,Stade Rennais FC,A,2.25,3.1,3.5,2.3,3.1,3.2,2019/20,€81.68m,€171.88m,2.32,3.28,3.4,2.29,3.26,3.49,2.2,3.2,3.5
F1,10/08/2019,Nice,Amiens,H,2.2,3.0,3.8,2.1,3.0,3.8,2019/20,€173.45m,€61.93m,2.2,3.01,4.11,2.36,3.01,3.64,2.25,3.0,3.75
F1,11/08/2019,Lille,Nantes,H,1.95,3.3,4.2,1.85,3.25,4.5,2019/20,€247.78m,€106.15m,1.99,3.14,4.84,2.42,3.03,3.5,2.3,3.1,3.25
F1,11/08/2019,Strasbourg,Metz,D,2.05,3.2,4.0,2.05,3.25,3.6,2019/20,€91.13m,€54.10m,2.07,3.3,4.11,2.33,3.0,3.74,2.2,3.1,3.5
F1,11/08/2019,Paris SG,Nimes,H,1.1,10.0,23.0,1.1,9.0,21.0,2019/20,€874.15m,€49.65m,1.1,10.78,28.65,1.08,12.97,31.01,1.07,11.0,29.0
F1,16/08/2019,Lyon,Angers,H,1.5,4.33,6.0,1.48,4.5,6.5,2019/20,€384.55m,€89.48m,1.51,4.51,6.74,1.52,4.62,6.6,1.45,4.33,7.0
F1,17/08/2019,Nantes,Marseille,D,2.6,3.1,2.9,2.6,3.2,2.8,2019/20,€106.15m,€216.15m,2.62,3.16,3.01,2.53,3.19,3.12,2.4,3.1,3.1
F1,17/08/2019,Amiens,Lille,H,3.3,3.1,2.37,3.4,3.1,2.3,2019/20,€61.93m,€247.78m,3.3,3.15,2.44,3.3,3.15,2.44,3.3,3.1,2.37
F1,17/08/2019,Bordeaux,Montpellier,D,2.62,3.0,3.0,2.8,2.9,2.85,2019/20,€125.35m,€81.68m,2.79,3.0,2.96,2.65,2.99,3.15,2.55,3.0,3.1
F1,17/08/2019,Metz,Monaco,H,3.0,3.2,2.5,3.1,3.1,2.5,2019/20,€54.10m,€331.03m,3.05,3.15,2.6,3.19,3.19,2.48,3.1,3.2,2.4
F1,17/08/2019,Nimes,Nice,A,2.1,3.3,3.6,2.2,3.25,3.5,2019/20,€49.65m,€173.45m,2.15,3.45,3.63,2.11,3.45,3.76,2.0,3.4,3.8
F1,17/08/2019,Toulouse,Dijon,H,2.1,3.1,4.0,1.95,3.5,3.9,2019/20,€71.88m,€50.23m,2.02,3.49,4.03,2.02,3.5,4.04,1.9,3.5,4.1
F1,18/08/2019,St Etienne,Brest,D,1.61,3.75,6.0,1.62,4.0,5.5,2019/20,€104.83m,€47.78m,1.63,3.99,5.94,1.64,3.91,6.05,1.6,3.8,6.0
F1,18/08/2019,Reims,Strasbourg,D,2.0,3.2,4.0,2.0,3.3,4.0,2019/20,€81.68m,€91.13m,2.07,3.21,4.25,2.12,3.09,4.25,2.1,3.2,3.8
F1,18/08/2019,Stade Rennais FC,Paris SG,H,8.0,5.25,1.36,7.75,5.75,1.34,2019/20,€171.88m,€874.15m,7.57,5.61,1.38,8.36,5.28,1.39,8.0,5.25,1.36
F1,24/08/2019,Amiens,Nantes,A,2.6,3.1,2.8,2.7,2.95,2.75,2019/20,€61.93m,€106.15m,2.77,3.09,2.91,2.87,3.01,2.87,2.75,3.1,2.7
F1,24/08/2019,Angers,Metz,H,2.1,3.25,3.75,2.0,3.2,3.9,2019/20,€89.48m,€54.10m,2.18,3.2,3.88,2.17,3.16,3.96,2.1,3.2,3.6
F1,24/08/2019,Brest,Reims,H,2.7,3.0,2.87,2.65,2.95,2.8,2019/20,€47.78m,€81.68m,2.71,3.13,2.93,2.7,3.1,2.98,2.6,3.0,3.0
F1,24/08/2019,Dijon,Bordeaux,A,2.62,3.1,2.8,2.55,3.1,2.8,2019/20,€50.23m,€125.35m,2.71,3.36,2.75,3.0,3.1,2.68,3.0,3.1,2.55
F1,25/08/2019,Monaco,Nimes,D,1.6,3.8,6.0,1.6,3.8,5.5,2019/20,€331.03m,€49.65m,1.63,4.23,5.47,1.67,3.95,5.56,1.65,3.75,5.75
F1,25/08/2019,Strasbourg,Stade Rennais FC,A,2.75,3.1,2.7,2.65,3.1,2.7,2019/20,€91.13m,€171.88m,2.73,3.16,2.89,2.87,3.16,2.74,2.8,3.0,2.7
F1,25/08/2019,Paris SG,Toulouse,H,1.1,10.0,21.0,1.1,9.0,21.0,2019/20,€874.15m,€71.88m,1.12,10.69,22.86,1.1,12.04,25.7,1.1,10.0,23.0
F1,27/08/2019,Montpellier,Lyon,H,3.6,3.4,2.05,3.5,3.4,2.05,2019/20,€81.68m,€384.55m,3.7,3.6,2.08,3.99,3.65,1.99,4.0,3.4,1.8
F1,28/08/2019,Lille,St Etienne,H,2.2,3.2,3.4,2.15,3.25,3.4,2019/20,€247.78m,€104.83m,2.27,3.48,3.3,2.16,3.43,3.63,2.05,3.4,3.6
F1,28/08/2019,Nice,Marseille,A,3.0,3.2,2.4,3.0,3.3,2.3,2019/20,€173.45m,€216.15m,3.1,3.26,2.5,3.57,3.28,2.25,3.4,3.2,2.2
F1,30/08/2019,Metz,Paris SG,A,7.5,4.75,1.4,7.0,4.75,1.44,2019/20,€54.10m,€874.15m,7.62,4.81,1.44,6.55,4.51,1.52,6.0,4.5,1.5
F1,31/08/2019,Lyon,Bordeaux,D,1.36,5.0,8.5,1.36,5.0,8.5,2019/20,€384.55m,€125.35m,1.39,5.08,8.61,1.55,4.08,6.97,1.5,4.2,6.5
F1,31/08/2019,Angers,Dijon,H,1.7,3.6,5.0,1.7,3.75,5.25,2019/20,€89.48m,€50.23m,1.71,3.93,5.18,1.7,3.88,5.39,1.61,3.75,5.5
F1,31/08/2019,Nantes,Montpellier,H,2.1,3.1,3.75,2.2,3.1,3.6,2019/20,€106.15m,€81.68m,2.29,3.07,3.73,2.64,3.08,3.06,2.5,3.1,3.1
F1,31/08/2019,Nimes,Brest,H,2.0,3.25,4.2,2.05,3.3,3.8,2019/20,€49.65m,€47.78m,2.11,3.41,3.82,2.0,3.45,4.2,2.1,3.25,3.75
F1,31/08/2019,Toulouse,Amiens,H,2.05,3.0,4.2,2.15,3.1,3.8,2019/20,€71.88m,€61.93m,2.17,3.22,3.87,2.32,3.16,3.55,2.3,3.0,3.5
F1,01/09/2019,Reims,Lille,H,2.87,2.87,2.8,2.9,2.95,2.7,2019/20,€81.68m,€247.78m,2.95,3.01,2.79,2.98,3.0,2.77,3.0,2.87,2.7
F1,01/09/2019,Stade Rennais FC,Nice,A,1.72,3.5,5.5,1.7,3.6,5.5,2019/20,€171.88m,€173.45m,1.72,3.59,5.81,1.74,3.66,5.43,1.7,3.5,5.25
F1,01/09/2019,Strasbourg,Monaco,D,2.7,3.2,2.75,2.65,3.2,2.8,2019/20,€91.13m,€331.03m,2.7,3.25,2.85,2.51,3.27,3.08,2.45,3.2,3.0
F1,01/09/2019,Marseille,St Etienne,H,2.05,3.5,3.6,1.95,3.5,3.9,2019/20,€216.15m,€104.83m,2.01,3.57,4.01,1.84,3.51,4.96,1.8,3.75,4.5
F1,13/09/2019,Lille,Angers,H,1.95,3.2,4.5,1.91,3.3,4.4,2019/20,€247.78m,€89.48m,1.99,3.33,4.47,1.93,3.4,4.64,1.95,3.4,4.0
F1,13/09/2019,Amiens,Lyon,D,5.0,3.75,1.72,5.0,3.75,1.72,2019/20,€61.93m,€384.55m,5.18,3.77,1.75,4.32,3.55,1.94,4.2,3.5,1.9
F1,14/09/2019,Paris SG,Strasbourg,H,1.2,7.0,13.0,1.2,7.0,14.0,2019/20,€874.15m,€91.13m,1.21,7.54,13.41,1.17,8.62,15.33,1.2,7.0,13.0
F1,14/09/2019,Bordeaux,Metz,H,1.85,3.3,4.75,1.85,3.4,4.6,2019/20,€125.35m,€54.10m,1.83,3.56,4.88,2.08,3.11,4.39,2.0,3.2,4.0
F1,14/09/2019,Brest,Stade Rennais FC,D,3.3,3.3,2.25,3.2,3.3,2.3,2019/20,€47.78m,€171.88m,3.3,3.2,2.41,3.26,3.19,2.44,3.1,3.2,2.37
F1,14/09/2019,Dijon,Nimes,D,2.7,3.3,2.62,2.65,3.4,2.65,2019/20,€50.23m,€49.65m,2.76,3.44,2.65,2.86,3.38,2.6,2.8,3.3,2.5
F1,14/09/2019,Montpellier,Nice,H,2.0,3.5,3.75,1.95,3.1,4.6,2019/20,€81.68m,€173.45m,1.93,3.35,4.73,2.01,3.5,4.08,1.9,3.4,4.33
F1,15/09/2019,Nantes,Reims,H,2.05,3.1,4.0,2.15,3.0,3.9,2019/20,€106.15m,€81.68m,2.2,2.98,4.18,2.25,3.09,3.82,2.15,3.1,3.75
F1,15/09/2019,St Etienne,Toulouse,D,1.61,4.0,5.5,1.67,3.9,5.25,2019/20,€104.83m,€71.88m,1.67,4.14,5.22,1.63,4.2,5.54,1.57,4.0,6.0
F1,15/09/2019,Monaco,Marseille,A,2.4,3.6,2.8,2.45,3.5,2.8,2019/20,€331.03m,€216.15m,2.41,3.69,2.91,2.07,3.68,3.66,2.0,3.6,3.6
