Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue,PSH,PSD,PSA,PSCH,PSCD,PSCA,B365CH,B365CD,B365CA
E0,09/08/2019,Liverpool,Norwich,H,1.14,10.0,19.0,1.14,8.25,18.5,2019/20,€1.00bn,€145.33m,1.15,9.59,18.05,1.14,10.43,19.63,1.14,9.5,21.0
E0,10/08/2019,West Ham,Man City,A,12.0,6.5,1.22,11.5,5.75,1.26,2019/20,€303.60m,€1.05bn,11.68,6.53,1.26,11.11,6.68,1.27,12.0,7.0,1.25
E0,10/08/2019,Bournemouth,Sheffield United,D,1.95,3.6,3.6,1.95,3.6,3.9,2019/20,€272.18m,€138.60m,2.04,3.57,3.9,1.98,3.67,4.06,1.95,3.7,4.2
E0,10/08/2019,Burnley,Southampton,H,2.62,3.2,2.75,2.65,3.2,2.75,2019/20,€163.88m,€210.75m,2.71,3.31,2.81,2.71,3.19,2.9,2.7,3.25,2.9
E0,10/08/2019,Crystal Palace,Everton,D,3.0,3.25,2.37,3.2,3.2,2.35,2019/20,€189.33m,€420.55m,3.21,3.37,2.39,3.37,3.45,2.27,3.4,3.5,2.25
E0,10/08/2019,Watford,Brighton,A,1.9,3.4,4.0,1.9,3.4,4.33,2019/20,€199.60m,€200.78m,1.98,3.44,4.37,2.05,3.38,4.12,2.1,3.25,4.2
E0,10/08/2019,Tottenham,Aston Villa,H,1.3,5.25,10.0,1.3,5.5,10.0,2019/20,€806.80m,€231.70m,1.3,5.84,10.96,1.39,5.35,8.42,1.36,5.5,9.0
E0,11/08/2019,Leicester,Wolves,D,2.2,3.2,3.4,2.25,3.3,3.3,2019/20,€411.10m,€320.33m,2.21,3.34,3.66,2.5,3.12,3.3,2.4,3.25,3.3
E0,11/08/2019,Newcastle,Arsenal,A,4.5,3.75,1.72,4.5,3.75,1.78,2019/20,€252.48m,€607.65m,4.58,3.93,1.81,3.36,3.56,2.25,3.4,3.6,2.2
E0,11/08/2019,Man United,Chelsea,H,2.1,3.3,3.5,2.15,3.3,3.5,2019/20,€670.45m,€705.85m,2.21,3.37,3.63,2.04,3.44,4.14,2.05,3.5,4.0
