Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue
SC0,07/08/2004,Aberdeen,Rangers,D,7.5,4.0,1.4,6.5,3.75,1.45,2004/5,€6.88m,€80.78m
SC0,07/08/2004,Dundee,Hearts,A,3.0,3.3,2.2,2.5,3.3,2.4,2004/5,€9.05m,€11.08m
SC0,07/08/2004,Dunfermline,Dundee United,D,2.1,3.25,3.2,2.2,3.3,2.8,2004/5,€6.03m,€8.13m
SC0,07/08/2004,Hibernian,Kilmarnock,A,1.83,3.25,4.0,1.9,3.3,3.5,2004/5,€13.25m,€3.78m
SC0,07/08/2004,Livingston,Inverness C,H,1.8,3.4,4.0,2.1,3.3,3.0,2004/5,€9.75m,€2.38m
SC0,08/08/2004,Celtic,Motherwell,H,1.12,7.0,15.0,1.12,6.5,15.0,2004/5,€77.55m,€4.83m
SC0,14/08/2004,Hearts,Aberdeen,D,1.57,3.75,5.0,1.65,3.25,5.0,2004/5,€11.08m,€6.88m
SC0,14/08/2004,Kilmarnock,Celtic,A,8.5,5.5,1.25,8.25,4.5,1.3,2004/5,€3.78m,€77.55m
SC0,14/08/2004,Motherwell,Hibernian,A,2.1,3.25,3.2,2.25,3.25,2.75,2004/5,€4.83m,€13.25m
SC0,14/08/2004,Rangers,Livingston,H,1.16,6.0,13.0,1.25,5.0,9.0,2004/5,€80.78m,€9.75m
SC0,15/08/2004,Dundee United,Dundee,A,2.2,3.25,3.2,2.0,3.25,3.3,2004/5,€8.13m,€9.05m
SC0,15/08/2004,Inverness C,Dunfermline,H,2.7,3.25,2.37,2.8,3.2,2.25,2004/5,€2.38m,€6.03m
SC0,21/08/2004,Dundee,Motherwell,A,2.1,3.25,3.0,2.0,3.25,3.25,2004/5,€9.05m,€4.83m
SC0,21/08/2004,Dunfermline,Aberdeen,A,2.1,3.25,3.0,2.1,3.3,3.0,2004/5,€6.03m,€6.88m
SC0,21/08/2004,Hearts,Kilmarnock,H,1.61,3.4,5.0,1.6,3.5,5.0,2004/5,€11.08m,€3.78m
SC0,21/08/2004,Livingston,Dundee United,D,2.3,3.2,2.7,2.25,3.25,2.75,2004/5,€9.75m,€8.13m
SC0,21/08/2004,Rangers,Hibernian,H,1.16,5.5,13.0,1.2,5.5,10.0,2004/5,€80.78m,€13.25m
SC0,28/08/2004,Aberdeen,Livingston,H,1.8,3.25,4.0,1.9,3.3,3.5,2004/5,€6.88m,€9.75m
SC0,28/08/2004,Dundee United,Inverness C,H,1.8,3.25,4.0,1.75,3.4,4.0,2004/5,€8.13m,€2.38m
SC0,28/08/2004,Hibernian,Dundee,D,2.0,3.25,3.25,2.1,3.2,3.1,2004/5,€13.25m,€9.05m
SC0,28/08/2004,Motherwell,Hearts,H,2.75,3.25,2.25,2.75,3.1,2.35,2004/5,€4.83m,€11.08m
SC0,29/08/2004,Celtic,Rangers,H,2.0,3.2,3.75,1.85,3.25,3.75,2004/5,€77.55m,€80.78m
SC0,29/08/2004,Kilmarnock,Dunfermline,H,2.0,3.25,3.25,2.2,3.1,3.0,2004/5,€3.78m,€6.03m
SC0,11/09/2004,Celtic,Dundee,H,1.125,7.0,12.0,1.15,6.5,11.0,2004/5,€77.55m,€9.05m
SC0,11/09/2004,Dundee United,Aberdeen,D,2.25,3.25,2.75,2.25,3.3,2.75,2004/5,€8.13m,€6.88m
SC0,11/09/2004,Dunfermline,Motherwell,D,2.3,3.2,2.7,2.35,3.15,2.7,2004/5,€6.03m,€4.83m
SC0,11/09/2004,Inverness C,Hibernian,A,2.5,3.2,2.5,2.35,3.25,2.65,2004/5,€2.38m,€13.25m
SC0,11/09/2004,Livingston,Kilmarnock,A,2.25,3.25,2.75,2.25,3.2,2.8,2004/5,€9.75m,€3.78m
SC0,12/09/2004,Hearts,Rangers,D,5.5,3.6,1.615,4.5,3.5,1.65,2004/5,€11.08m,€80.78m
SC0,18/09/2004,Dundee,Livingston,D,2.1,3.25,3.2,2.0,3.2,3.35,2004/5,€9.05m,€9.75m
SC0,18/09/2004,Kilmarnock,Aberdeen,A,2.25,3.4,2.75,2.2,3.2,2.9,2004/5,€3.78m,€6.88m
SC0,18/09/2004,Motherwell,Dundee United,H,2.0,3.4,3.25,2.0,3.2,3.35,2004/5,€4.83m,€8.13m
SC0,19/09/2004,Dunfermline,Hearts,H,3.0,3.2,2.2,2.9,3.2,2.2,2004/5,€6.03m,€11.08m
SC0,19/09/2004,Hibernian,Celtic,D,8.0,5.0,1.33,9.0,5.0,1.25,2004/5,€13.25m,€77.55m
SC0,19/09/2004,Rangers,Inverness C,H,1.12,7.0,13.0,1.2,5.25,11.0,2004/5,€80.78m,€2.38m
SC0,25/09/2004,Aberdeen,Hibernian,A,1.9,3.25,3.5,2.0,3.2,3.35,2004/5,€6.88m,€13.25m
SC0,25/09/2004,Celtic,Dunfermline,H,1.12,7.0,12.0,1.12,7.0,13.0,2004/5,€77.55m,€6.03m
SC0,25/09/2004,Hearts,Inverness C,H,1.5,3.75,5.5,1.4,3.9,7.0,2004/5,€11.08m,€2.38m
SC0,25/09/2004,Kilmarnock,Dundee United,H,2.0,3.25,3.25,2.2,3.2,2.9,2004/5,€3.78m,€8.13m
SC0,25/09/2004,Livingston,Motherwell,A,2.4,3.2,2.6,2.4,3.2,2.6,2004/5,€9.75m,€4.83m
SC0,26/09/2004,Dundee,Rangers,A,6.5,3.75,1.44,7.0,3.9,1.4,2004/5,€9.05m,€80.78m
SC0,02/10/2004,Aberdeen,Dundee,D,1.8,3.3,4.0,1.8,3.25,4.0,2004/5,€6.88m,€9.05m
SC0,02/10/2004,Dunfermline,Hibernian,D,2.5,3.25,2.5,2.5,3.2,2.5,2004/5,€6.03m,€13.25m
SC0,03/10/2004,Dundee United,Celtic,A,10.0,5.0,1.28,9.0,5.0,1.25,2004/5,€8.13m,€77.55m
SC0,03/10/2004,Hearts,Livingston,D,1.53,3.5,6.0,1.55,3.5,5.5,2004/5,€11.08m,€9.75m
SC0,03/10/2004,Inverness C,Motherwell,D,3.0,3.4,2.1,2.9,3.2,2.2,2004/5,€2.38m,€4.83m
SC0,03/10/2004,Rangers,Kilmarnock,H,1.2,5.5,11.0,1.18,5.75,11.0,2004/5,€80.78m,€3.78m
SC0,16/10/2004,Celtic,Hearts,H,1.16,6.0,13.0,1.2,5.65,10.0,2004/5,€77.55m,€11.08m
SC0,16/10/2004,Dundee,Kilmarnock,H,2.3,3.25,2.75,2.4,3.05,2.7,2004/5,€9.05m,€3.78m
SC0,16/10/2004,Hibernian,Dundee United,H,1.8,3.3,4.0,2.0,3.15,3.4,2004/5,€13.25m,€8.13m
SC0,16/10/2004,Inverness C,Aberdeen,A,4.5,3.5,1.66,4.5,3.5,1.65,2004/5,€2.38m,€6.88m
SC0,16/10/2004,Livingston,Dunfermline,H,2.1,3.4,3.0,2.25,3.1,2.9,2004/5,€9.75m,€6.03m
SC0,17/10/2004,Motherwell,Rangers,A,6.5,3.75,1.53,6.0,3.6,1.5,2004/5,€4.83m,€80.78m
SC0,23/10/2004,Aberdeen,Motherwell,H,2.1,3.4,3.0,1.95,3.2,3.5,2004/5,€6.88m,€4.83m
SC0,23/10/2004,Dundee,Dunfermline,A,1.9,3.4,3.5,1.9,3.2,3.65,2004/5,€9.05m,€6.03m
SC0,23/10/2004,Kilmarnock,Inverness C,D,1.57,3.6,5.0,1.55,3.5,5.5,2004/5,€3.78m,€2.38m
SC0,24/10/2004,Hearts,Hibernian,H,2.1,3.2,3.2,2.1,3.15,3.15,2004/5,€11.08m,€13.25m
SC0,24/10/2004,Livingston,Celtic,A,10.0,5.5,1.25,10.0,6.0,1.18,2004/5,€9.75m,€77.55m
SC0,24/10/2004,Rangers,Dundee United,D,1.14,6.5,13.0,1.18,6.0,10.0,2004/5,€80.78m,€8.13m
SC0,27/10/2004,Celtic,Aberdeen,A,1.14,6.5,13.0,1.18,6.0,10.0,2004/5,€77.55m,€6.88m
SC0,27/10/2004,Dundee United,Hearts,D,2.6,3.2,2.4,2.5,3.2,2.5,2004/5,€8.13m,€11.08m
SC0,27/10/2004,Dunfermline,Rangers,A,7.5,4.0,1.36,9.0,5.0,1.25,2004/5,€6.03m,€80.78m
SC0,27/10/2004,Hibernian,Livingston,H,1.72,3.5,4.0,1.7,3.3,4.5,2004/5,€13.25m,€9.75m
SC0,27/10/2004,Inverness C,Dundee,H,2.4,3.2,2.6,2.8,3.2,2.25,2004/5,€2.38m,€9.05m
SC0,27/10/2004,Motherwell,Kilmarnock,A,2.0,3.25,3.25,2.05,3.2,3.2,2004/5,€4.83m,€3.78m
SC0,30/10/2004,Dundee United,Dunfermline,A,2.1,3.4,3.0,2.15,3.2,3.0,2004/5,€8.13m,€6.03m
SC0,30/10/2004,Hearts,Dundee,H,1.66,3.5,4.5,1.6,3.5,5.0,2004/5,€11.08m,€9.05m
SC0,30/10/2004,Inverness C,Livingston,H,2.4,3.25,2.62,2.65,3.25,2.35,2004/5,€2.38m,€9.75m
SC0,30/10/2004,Kilmarnock,Hibernian,H,2.3,3.25,2.75,2.4,3.2,2.6,2004/5,€3.78m,€13.25m
SC0,30/10/2004,Motherwell,Celtic,A,11.0,5.5,1.2,13.0,6.0,1.15,2004/5,€4.83m,€77.55m
SC0,31/10/2004,Rangers,Aberdeen,H,1.28,5.0,10.0,1.3,4.5,8.25,2004/5,€80.78m,€6.88m
SC0,06/11/2004,Celtic,Kilmarnock,H,1.16,6.0,13.0,1.13,6.4,14.0,2004/5,€77.55m,€3.78m
SC0,06/11/2004,Dundee,Dundee United,H,2.3,3.25,2.75,2.25,3.2,2.8,2004/5,€9.05m,€8.13m
SC0,06/11/2004,Dunfermline,Inverness C,D,1.72,3.4,4.33,1.9,3.15,3.7,2004/5,€6.03m,€2.38m
SC0,06/11/2004,Hibernian,Motherwell,H,1.83,3.4,3.75,1.8,3.3,3.9,2004/5,€13.25m,€4.83m
SC0,07/11/2004,Aberdeen,Hearts,A,2.2,3.3,2.87,2.25,3.2,2.8,2004/5,€6.88m,€11.08m
SC0,07/11/2004,Livingston,Rangers,A,10.0,5.5,1.25,10.0,5.6,1.2,2004/5,€9.75m,€80.78m
SC0,13/11/2004,Aberdeen,Dunfermline,H,1.8,3.3,4.0,1.8,3.35,3.85,2004/5,€6.88m,€6.03m
SC0,13/11/2004,Celtic,Inverness C,H,1.12,7.0,13.0,1.13,6.0,16.0,2004/5,€77.55m,€2.38m
SC0,13/11/2004,Dundee United,Livingston,H,2.0,3.3,3.3,2.1,3.2,3.1,2004/5,€8.13m,€9.75m
SC0,13/11/2004,Kilmarnock,Hearts,D,2.5,3.25,2.5,2.4,3.3,2.55,2004/5,€3.78m,€11.08m
SC0,13/11/2004,Motherwell,Dundee,H,1.9,3.25,3.6,1.85,3.5,3.5,2004/5,€4.83m,€9.05m
SC0,14/11/2004,Hibernian,Rangers,A,7.5,4.33,1.4,7.0,4.4,1.35,2004/5,€13.25m,€80.78m
SC0,20/11/2004,Dundee,Hibernian,A,2.6,3.2,2.4,2.55,3.0,2.6,2004/5,€9.05m,€13.25m
