Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,Season,HomeValue,AwayValue
I1,11/09/2004,Chievo,Inter,D,4.5,3.2,1.727,5.35,3.25,1.65,2004/5,€46.28m,€240.63m
I1,11/09/2004,Milan,Livorno,D,1.167,6.5,15.0,1.15,6.0,13.0,2004/5,€273.70m,€25.00m
I1,12/09/2004,Atalanta,Lecce,D,2.0,3.0,3.5,2.0,3.1,3.6,2004/5,€41.70m,€44.90m
I1,12/09/2004,Brescia,Juventus,A,4.0,3.1,1.833,4.5,3.1,1.8,2004/5,€45.25m,€304.90m
I1,12/09/2004,Cagliari,Bologna,H,2.375,2.875,2.875,2.3,2.9,3.1,2004/5,€23.90m,€29.94m
I1,12/09/2004,Palermo,Siena,H,1.727,3.2,4.5,1.66,3.15,5.5,2004/5,€78.75m,€54.90m
I1,12/09/2004,Parma,Messina,D,1.533,3.4,6.0,1.55,3.25,6.5,2004/5,€110.05m,€32.65m
I1,12/09/2004,Reggina,Udinese,D,2.6,2.875,2.6,2.7,2.9,2.55,2004/5,€29.30m,€83.95m
I1,12/09/2004,Roma,Fiorentina,H,1.571,3.4,5.5,1.55,3.5,5.75,2004/5,€201.60m,€111.83m
I1,12/09/2004,Sampdoria,Lazio,A,2.1,3.0,3.75,2.0,3.05,3.5,2004/5,€51.00m,€77.05m
I1,18/09/2004,Inter,Palermo,D,1.36,4.33,9.0,1.35,4.0,8.0,2004/5,€240.63m,€78.75m
I1,18/09/2004,Lecce,Brescia,H,2.0,3.0,3.5,1.95,3.25,3.55,2004/5,€44.90m,€45.25m
I1,19/09/2004,Bologna,Milan,A,5.5,3.2,1.61,5.55,3.35,1.6,2004/5,€29.94m,€273.70m
I1,19/09/2004,Fiorentina,Cagliari,H,1.57,3.4,5.5,1.55,3.4,6.1,2004/5,€111.83m,€23.90m
I1,19/09/2004,Juventus,Atalanta,H,1.2,5.0,12.0,1.2,5.75,9.0,2004/5,€304.90m,€41.70m
I1,19/09/2004,Lazio,Reggina,D,1.5,3.4,6.5,1.57,3.2,6.5,2004/5,€77.05m,€29.30m
I1,19/09/2004,Livorno,Chievo,A,2.37,2.75,3.0,2.3,2.9,3.1,2004/5,€25.00m,€46.28m
I1,19/09/2004,Messina,Roma,H,3.25,3.0,2.1,3.8,3.05,1.95,2004/5,€32.65m,€201.60m
I1,19/09/2004,Siena,Sampdoria,H,2.37,2.87,2.87,2.7,2.7,2.8,2004/5,€54.90m,€51.00m
I1,19/09/2004,Udinese,Parma,H,2.25,3.0,3.4,2.2,2.8,3.45,2004/5,€83.95m,€110.05m
I1,22/09/2004,Atalanta,Inter,A,4.0,3.2,1.8,4.75,3.3,1.7,2004/5,€41.70m,€240.63m
I1,22/09/2004,Brescia,Lazio,A,2.62,3.0,2.5,2.9,2.9,2.45,2004/5,€45.25m,€77.05m
I1,22/09/2004,Cagliari,Siena,H,2.0,2.87,3.75,2.05,2.85,3.9,2004/5,€23.90m,€54.90m
I1,22/09/2004,Chievo,Udinese,D,2.3,3.0,2.87,2.35,2.85,3.1,2004/5,€46.28m,€83.95m
I1,22/09/2004,Milan,Messina,A,1.2,5.0,12.0,1.13,6.5,16.0,2004/5,€273.70m,€32.65m
I1,22/09/2004,Palermo,Fiorentina,D,2.0,3.0,3.5,1.95,2.85,4.2,2004/5,€78.75m,€111.83m
I1,22/09/2004,Parma,Bologna,A,1.83,3.1,4.0,1.85,2.9,4.5,2004/5,€110.05m,€29.94m
I1,22/09/2004,Reggina,Livorno,H,1.9,2.9,4.0,1.9,2.9,4.2,2004/5,€29.30m,€25.00m
I1,22/09/2004,Roma,Lecce,D,1.57,3.6,5.0,1.55,3.75,5.4,2004/5,€201.60m,€44.90m
I1,22/09/2004,Sampdoria,Juventus,A,5.0,3.1,1.8,4.4,3.3,1.75,2004/5,€51.00m,€304.90m
I1,25/09/2004,Bologna,Roma,H,2.75,3.0,2.37,3.0,2.95,2.35,2004/5,€29.94m,€201.60m
I1,25/09/2004,Juventus,Palermo,D,1.3,5.0,9.0,1.3,4.4,9.25,2004/5,€304.90m,€78.75m
I1,26/09/2004,Fiorentina,Sampdoria,A,1.8,3.0,4.33,2.05,2.9,3.75,2004/5,€111.83m,€51.00m
I1,26/09/2004,Inter,Parma,D,1.5,3.4,6.5,1.4,4.0,7.5,2004/5,€240.63m,€110.05m
I1,26/09/2004,Lazio,Milan,A,3.5,3.2,2.1,3.55,3.1,2.0,2004/5,€77.05m,€273.70m
I1,26/09/2004,Lecce,Cagliari,H,1.83,3.0,4.33,1.9,3.15,3.85,2004/5,€44.90m,€23.90m
I1,26/09/2004,Livorno,Atalanta,D,2.2,3.0,3.1,2.3,2.95,3.05,2004/5,€25.00m,€41.70m
I1,26/09/2004,Messina,Chievo,D,2.25,3.0,3.0,2.2,2.9,3.3,2004/5,€32.65m,€46.28m
I1,26/09/2004,Siena,Reggina,D,2.2,3.0,3.1,2.25,2.9,3.25,2004/5,€54.90m,€29.30m
I1,26/09/2004,Udinese,Brescia,A,1.61,3.2,5.5,1.55,3.35,6.5,2004/5,€83.95m,€45.25m
